"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Asteraceae","Acritopappus","prunifolius","R.M.King & H.Rob.","ASTERACEAE Acritopappus prunifolius R.M.King & H.Rob.","36136","GBIF","SJRP","Ventura, E.","10","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Bignoniaceae","Pyrostegia","venusta","(Ker Gawl.) Miers","BIGNONIACEAE Pyrostegia venusta (Ker Gawl.) Miers","36135","GBIF","SJRP","Ventura, E.","11","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Bromeliaceae","Aechmea","distichantha","Lem.","BROMELIACEAE Aechmea distichantha Lem.","36128","GBIF","SJRP","Ventura, E.","17","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Bromeliaceae","Tillandsia","pohliana","Mez","BROMELIACEAE Tillandsia pohliana Mez","36130","GBIF","SJRP","Ventura, E.","12","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Celastraceae","Plenckia","populnea","Reissek","CELASTRACEAE Plenckia populnea Reissek","36129","GBIF","SJRP","Ventura, E.","18","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Cordiaceae","Cordia","superba","Cham.","CORDIACEAE Cordia superba Cham.","36142","GBIF","SJRP","Ventura, E.","2","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Fabaceae","Dimorphandra","mollis","Benth.","FABACEAE Dimorphandra mollis Benth.","36126","GBIF","SJRP","Ventura, E.","19","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Malvaceae","Abutilon",,"Mill.","MALVACEAE Abutilon Mill.","23165","GBIF","SJRP","Stranghetti, V.","745",,"Bronze","Estação Ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Malvaceae","Ayenia",,"L.","MALVACEAE Ayenia L.","23178","GBIF","SJRP","Stranghetti, V.","766",,"Bronze","Estação Ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Malvaceae","Helicteres","brevispira","A.St.-Hil.","MALVACEAE Helicteres brevispira A.St.-Hil.","23141","GBIF","SJRP","Stranghetti, V.","698","Native","Latão","Estação Ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Malvaceae","Helicteres","lhotzkyana","(Schott & Endl.) K.Schum.","MALVACEAE Helicteres lhotzkyana (Schott & Endl.) K.Schum.","23115","GBIF","SJRP","Stranghetti, V.","668","Native","Latão","Estação Ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Myrtaceae","Psidium","guajava","L.","MYRTACEAE Psidium guajava L.",,"GBIF",,,,"Naturalized","Latão",,"Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Plantaginaceae","Plantago",,"L.","PLANTAGINACEAE Plantago L.","36133","GBIF","SJRP","Ventura, E.","23",,"Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Solanaceae","Solanum","adspersum","Witasek","SOLANACEAE Solanum adspersum Witasek","36132","GBIF","SJRP","Ventura, E.","16","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Verbenaceae","Lantana","hypoleuca","Briq.","VERBENACEAE Lantana hypoleuca Briq.","36141","GBIF","SJRP","Ventura, E.","3","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","Angiosperms","Vitaceae","Cissus","erosa","Rich.","VITACEAE Cissus erosa Rich.","36139","GBIF","SJRP","Ventura, E.","7","Native","Bronze","Estação ecológica do Noroeste Paulista","Não"
