"loc","loc.correct","Freq"
"brazil_sao paulo_monte alegre sul_iac","",1897
"brazil_sao paulo_nazare paulista_estrada em torno represa atibainha","",1652
"brazil_sao paulo_iguape_estacao ecologica jureia","",1323
"brazil_sao paulo_corumbatai_reserva cerrado unesp","",1317
"brazil_sao paulo_santa rita passa quatro_arie","",1292
"brazil_sao paulo_sao paulo_parque estadual serra mar nucleo curucutu","",1210
"brazil_sao paulo_ilha comprida","",1205
"brazil_sao paulo_analandia_serra cuscuzeiro","",1151
"brazil_sao paulo_cananeia_estrada entre a balsa e a praia ilha comprida","",1060
"brazil_sao paulo_sao luiz paraitinga","",966
"brazil_sao paulo_campos jordao_campos jordao","",964
"brazil_sao paulo_cananeia_ilha comprida","",901
"brazil_sao paulo_iporanga_parque estadual intervales","",828
"brazil_sao paulo_ibiuna_proximo ao distrito caucaia alto","",810
"brazil_sao paulo_iguape_barra ribeira","",720
"brazil_NA_sao paulo","",635
"brazil_sao paulo_sao paulo_sao paulo","",611
"brazil_NA_NA_sao paulo","",590
"brazil_sao paulo_parque estado","",583
"brazil_sao paulo_botucatu_18km north of botucatu","",570
"brazil_sao paulo_parque estadual intervales","",568
"brazil_sao paulo_parelheiros","",566
"brazil_sao paulo_parque estado_parque estado","",559
"brazil_sao paulo_ibiuna_bairro sorocabucu","",551
"brazil_sao paulo_rio claro_campus unesp bela vista","",513
"brazil_sao paulo_avai_aldeia guarani","",506
"brazil_sao paulo_brasil","",461
"brazil_sao paulo_eldorado_parque estadualjacupiranga","",450
"brazil_sao paulo_serra paranapiacaba","",443
"brazil_sao paulo_itirapina_estacao experimental itirapina","",440
"brazil_sao paulo_pariquera acu_propriedade senhor flavio","",438
"brazil_sao paulo_miracatu_serra cafezal","",436
"brazil_sao paulo_campos jordao_horto florestal","",434
"brazil_sao paulo_amparo_monte alegre","",431
"brazil_sao paulo_estacao experimental boraceia","",426
"brazil_sao paulo_salesopolis_atual estacao biologica boraceia","",426
"brazil_sao paulo_atibaia_pedra grande","",414
"brazil_sao paulo_jardim botanico arariba rppn","",414
"brazil_sao paulo_sao bento sapucai_pedra bauzinho","",410
"brazil_sao paulo_ilha cardoso","",403
"brazil_sao paulo_jardim botanico","",400
"brazil_sao paulo_amparo_jardim botanico arariba rppn, rppn","",398
"brazil_sao paulo_monte alegre sul_estacao experimental iac","",398
"brazil_sao paulo_campos jordao_parque estadual instituto florestal","",389
"brazil_sao paulo_guaruja_forte andradas","",382
"brazil_sao paulo_jardim botanico_jardim botanico","",371
"brazil_sao paulo_ubatuba_praia fazenda","",359
"brazil_sao paulo_analandia_parque rauvitscher, fazenda pedra vermelha","",358
"brazil_sao paulo_parque rauvitscher","",358
"brazil_sao paulo_iiha comprida","",356
"brazil_sao paulo_botucatu_parque ecologico pavuna sede ate a trilha esquerda na entrada cachoeiras","",352
"brazil_sao paulo_campos jordao_morro elefante","",347
"brazil_sao paulo_campinas_sousas","",345
"brazil_sao paulo_bertioga_parque neblinas","",333
"brazil_sao paulo_paranapiacaba","",332
"brazil_sao paulo_sao luiz paraitinga_pesm","",332
"brazil_sao paulo_rio claro_floresta estadual edmundo navarro andrade","",329
"brazil_sao paulo_campos jordao_umuarama","",323
"brazil_sao paulo_ubatuba_planicie litoranea picinguaba","",315
"brazil_sao paulo_bairro sorocabucu","",313
"brazil_sao paulo_campos jordao_pico itapeva","",313
"brazil_sao paulo_sao jose campos_reserva florestal boa vista","",309
"brazil_sao paulo_a 20 km botucatu","",298
"brazil_sao paulo_cananeia_propriedade senhor flavio","",297
"brazil_sao paulo_peruibe_nucleo arpoador","",296
"brazil_sao paulo_ilha comprida_arredores","",293
"brazil_sao paulo_bertioga_parque estadual restinga bertioga","",292
"brazil_sao paulo_ribeirao grande_parque estadual intervales, com inicio na estrada carmo","brazil_sao paulo_ribeirao grande_parque estadual intervales",292
"brazil_sao paulo_ubatuba_ubatuba","",289
"brazil_sao paulo_campinas_campinas","",288
"brazil_sao paulo_campos jordao_fazenda guarda","",283
"brazil_sao paulo_cananeia_cananeia","",283
"brazil_sao paulo_sao paulo_instituto botanica","",281
"brazil_sao paulo_mairipora_parque estadualcantareira","",280
"brazil_sao paulo_miracatu_reserva votorantim","",279
"brazil_sao paulo_peruibe_estacao biologica jureia","",275
"brazil_sao paulo_mairipora_serra cantareira","",271
"brazil_sao paulo_itirapina_rodovia washington luiz","",264
"brazil_sao paulo_campos jordao_reserva instituto florestal","",262
"brazil_sao paulo_sao jose campos_distrito sao francisco xavier","",261
"brazil_sao paulo_juquia_trilha casa pedra","",258
"brazil_sao paulo_brasil_brasil","",256
"brazil_sao paulo_iguape_estacao ecologicajureia itatins","",256
"brazil_sao paulo_sao luiz paraitinga_propriedade joao","",254
"brazil_sao paulo_itanhaem_km 325 rodovia pe manoel nobrega","",252
"brazil_sao paulo_cananeia_o parque estadual ilha cardoso, 500 ha e foi transformada em parque estadual pelo decreto 40","",251
"brazil_sao paulo_marsilac","",251
"brazil_sao paulo_o parque estadual ilha cardoso","",251
"brazil_sao paulo_botucatu_parque ecologico pavuna sede ate o lago e volta contornando toda a borda","",250
"brazil_sao paulo_pederneiras_horto fepasa","",250
"brazil_sao paulo_caraguatatuba_floresta ombrofila densa montana","",248
"brazil_sao paulo_av","",245
"brazil_sao paulo_campinas_mata santana atalaia","",245
"brazil_sao paulo_trilha almada","",244
"brazil_sao paulo_ibiuna_bairro gabriel","",242
"brazil_sao paulo_ubatuba_trilha e estrada almada","",234
"brazil_sao paulo_jundiai_unidade desenvolvimento ambiental","",233
"brazil_sao paulo_monte alegre sul_estacao experimental ibiti","",229
"brazil_sao paulo_tiete_iac","",227
"brazil_sao paulo_campos jordao_sao jose alpes","",225
"brazil_sao paulo_sao jose campos_flora reserva florestal boa vista","",223
"brazil_sao paulo_sao carlos_parcela sca","",220
"brazil_sao paulo_pariquera acu_estrada para cananeia","",219
"brazil_sao paulo_14","",218
"brazil_sao paulo_itirapina_itirapina","",215
"brazil_sao paulo_miracatu_miracatu","",214
"brazil_sao paulo_itirapina_cerrado","",211
"brazil_sao paulo_cananeia_south tip of the island of ilha comprida","",210
"brazil_sao paulo_sao paulo_reserva estadual curucutu","",210
"brazil_sao paulo_santos_monumento nacional ruinas engenho sao jorge erasmos","",206
"brazil_sao paulo_campinas_mata fazenda recreio","",202
"brazil_sao paulo_santo andre_estacao biologicado alto serra paranapiacaba","",202
"brazil_sao paulo_serra mantiqueira","",202
"brazil_sao paulo_eldorado_parque estadual intervales, estrada sao pedro","",200
"brazil_sao paulo_itanhaem_ilha queimada grande","",200
"brazil_sao paulo_ubatuba_praia puruba","",200
"brazil_sao paulo_cananeia_fazenda aroeira","",199
"brazil_sao paulo_rio claro_horto florestal navarro andrade","",199
"brazil_sao paulo_sete barras_nucleo saibadela","",199
"brazil_sao paulo_ubatuba_km 13 rodovia rio","",199
"brazil_sao paulo_estacao ecologica chauas","",198
"brazil_sao paulo_parque estadual jurupara","",198
"brazil_sao paulo_sao pedro_cachoeira peroba","",198
"brazil_sao paulo_cunha_estacao experimental serra mar","",195
"brazil_sao paulo_sao bernardo campo_ibb","",195
"brazil_sao paulo_subauma","",195
"brazil_sao paulo_itirapina_cerrado itirapina","",194
"brazil_sao paulo_botucatu_fazenda mac","",192
"brazil_sao paulo_campinas_distrito souzas","",192
"brazil_sao paulo_iguape_estacao ecologicachauas","",192
"brazil_sao paulo_silveiras_serra bocaina","",191
"brazil_sao paulo_tapirai_uhe alecrim","",189
"brazil_sao paulo_campos jordao_floresta ombrofila mista","",187
"brazil_sao paulo_cunha_trilha pedreira","",186
"brazil_sao paulo_iguape_estacao ecologica chauas","",184
"brazil_sao paulo_serra japi","",184
"brazil_sao paulo_iguape_morro pedras","",183
"brazil_sao paulo_ibiuna_8km estrada sp 250 no km 63","",182
"brazil_sao paulo_pindamonhangaba_serra mantiqueira","",182
"brazil_sao paulo_sete barras_3 km base nucleo sete barras","",182
"brazil_sao paulo_itirapina_estrada entre itirapina e sao carlos","",179
"brazil_sao paulo_cruzeiro_estrada fazenda boa vista","",178
"brazil_sao paulo_reginopolis_fazenda planalto","",177
"brazil_sao paulo_ubatuba_agriculture experiment station","",177
"brazil_sao paulo_campinas_ribeirao cachoeira","",176
"brazil_sao paulo_fazenda bacury","",174
"brazil_sao paulo_itirapina_fragmento ao lado rodovia","",173
"brazil_sao paulo_bauru_area posseiros","",171
"brazil_sao paulo_tiete_estacao experimental iac","",170
"brazil_sao paulo_aguas santa barbara_estacao ecologica santa b arbara","",168
"brazil_sao paulo_area invasao proximo a um plantio pinus","",168
"brazil_sao paulo_guapiara_parque estadual intervales","",168
"brazil_sao paulo_juquitiba_estrada palestina","",168
"brazil_sao paulo_sao jose campos_area protecao ambiental","",168
"brazil_sao paulo_corumbatai_reserva cerrado corumbatai","",167
"brazil_sao paulo_km 31 rodovia sp 226","",167
"brazil_sao paulo_monte alegre","",167
