"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","RB00845000","GBIF","RB","Goncalves, L.N.","226","Native","Bronze","Pico dos Marins - APA Serra da Mantiqueira. Trilha entre o Acampamento Base Marins e a estrada Morro do Careca.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","RB00809242","GBIF","RB","Fernandez, E.P.","85",,"Bronze","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG), Serra da Mantiqueira; Floresta Ombrófila Densa entre Acampamento-Base do Pico dos Marins e local de estacionamento antes da subida ao Morro do Careca.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Alstroemeriaceae","Alstroemeria","fuscovinosa","Ravenna","ALSTROEMERIACEAE Alstroemeria fuscovinosa Ravenna","RB00853216","GBIF","RB","Goncalves, L.N.","298","Native","Bronze","Estrada Marins-Marmelópolis. Pico dos Marins - APA Serra da Mantiqueira","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Alstroemeriaceae","Alstroemeria","isabelleana","Herb.","ALSTROEMERIACEAE Alstroemeria isabelleana Herb.","RB00796936","GBIF","RB","Goncalves, L.N.","3","Native","Latão","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o 1º mirante.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Amaryllidaceae","Hippeastrum","puniceum","(Lam.) Kuntze","AMARYLLIDACEAE Hippeastrum puniceum (Lam.) Kuntze","RB00809244","GBIF","RB","Fernandez, E.P.","87","Native","Bronze","Pico dos Marins - APA Serra da Mantiqueira. Estrada entre Acampamento-Base Pico dos Marins e a cidade de Piquete, em Floresta Ciliar em avançado estado de regeneração.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","RB00974721","GBIF","RB","Gonzaga, D.R.","515",,"Latão","Serra Fina - Trilha para o Pico do Capim Amarelo. Apa Serra da Mantiqueira","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Apocynaceae","Oxypetalum","insigne","(Decne.) Fontella & E.A.Schwarz","APOCYNACEAE Oxypetalum insigne var. glabrum (Decne.) Fontella & E.A.Schwarz","RB00853170","GBIF","RB","Goncalves, L.N.","245","Native","Bronze","Trilha de acesso ao Morro do Careca. Pico dos Marins - APA Serra da Mantiqueira","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Apocynaceae","Oxypetalum","sublanatum","Malme","APOCYNACEAE Oxypetalum sublanatum Malme","RB00940096","GBIF","RB","Gonzaga, D.R.","491","Native","Bronze","Serra Fina, Trilha para o Pico do Capim Amarelo, Crista. APA Serra da Mantiqueira","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Araliaceae","Hydrocotyle","quinqueloba","Ruiz & Pav.","ARALIACEAE Hydrocotyle quinqueloba Ruiz & Pav.","RB00797001","GBIF","RB","Goncalves, L.N.","77","Unknown","Latão","Pico dos Marins - APA Serra da Mantiqueira. Estrada de acesso ao Morro do Careca, depois da ultima porteira.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Asteraceae","Achyrocline","satureioides","(Lam.) DC.","ASTERACEAE Achyrocline satureioides (Lam.) DC.","RB00796943","GBIF","RB","Goncalves, L.N.","13","Native","Bronze","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o 1º mirante.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","RB00844908","GBIF","RB","Goncalves, L.N.","135",,"Latão","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o 1º mirante.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Asteraceae","Austroeupatorium","inulaefolium","(Kunth) R.M.King & H.Rob.","ASTERACEAE Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.","ECT0002065","Reflora","ECT","Goncalves, L.N.","217","Native","Ouro","Pico dos Marins - APA Serra da Mantiqueira. Morro do Careca.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Asteraceae","Baccharis","altimontana","G.Heiden et al.","ASTERACEAE Baccharis altimontana G.Heiden et al.","RB00796979","GBIF","RB","Goncalves, L.N.","55","Native","Latão","Pico dos Marins - APA Serra da Mantiqueira. Arredores do acampamento do 1º mirante.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Asteraceae","Baccharis","calvescens","DC.","ASTERACEAE Baccharis calvescens DC.","RB00844920","GBIF","RB","Goncalves, L.N.","146","Native","Ouro","Pico dos Marins - APA Serra da Mantiqueira. Trilha para o 1º mirante.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Angiosperms","Asteraceae","Baccharis","dracunculifolia","DC.","ASTERACEAE Baccharis dracunculifolia DC.","HUFU00041007","GBIF","HUFU","Goncalves, L.N.","135","Native","Prata","APA Serra da Mantiqueira","Não"
