"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","ESA125087","Splink","ESA","Polisel, R.T.",,,"Latão","Reserva Particular da Votorantim (CBA). Trilha da Casa de Pedra, próximo a UHE Serraria. Floresta Ombrófila Densa bem conservada.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Aphelandra","chamissoniana","Nees","ACANTHACEAE Aphelandra chamissoniana Nees","ESA084441","Reflora","ESA","Medeiros, D.A.","30","Native","Ouro","Parque Estadual Intervales. Trilha da Cachoeira das Pedrinhas com início na Estrada de São Pedro até a Cachoeira do rio do Carmo. Floresta Ombrófila Densa Montana com intensa exploração seletiva.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","202669","GBIF","SPF","Assis, L.C.S.","1216","Native","Bronze","Parque Estadual Intervales","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","HUEFS00106603","GBIF","HUEFS",,"108","Native","Bronze","Parque estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Mirante do Angico.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","ESA116745","Splink","ESA","Souza, V.C.","36227","Native","Ouro","Serra do Cafezal. Área da futura duplicação da BR-116 . Floresta Ombrófila Densa. Projeto ""Levantamento Florístico, Fitossociológico e Inventário Florestal - Obras de Duplicação da BR-116 (km 344-363)#?#","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","ESA116746","Splink","ESA","Souza, V.C.","36228","Native","Prata","Serra do Cafezal. Área da futura duplicação da BR-116 . Floresta Ombrófila Densa. Projeto ""Levantamento Florístico, Fitossociológico e Inventário Florestal - Obras de Duplicação da BR-116 (km 344-363)#?#","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Brillantaisia","lamium","(Nees) Benth.","ACANTHACEAE Brillantaisia lamium (Nees) Benth.","251691568","GBIF","Observations","Terraluminous",,"Naturalized","Bronze","Juquitiba, BR-SP, BR","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Dyschoriste","schottiana","(Nees) Kobuski","ACANTHACEAE Dyschoriste schottiana (Nees) Kobuski","HRCB022656","Splink","HRCB","Miyagi, P.H.","489","Native","Ouro","Reserva floresta Carlos Botelho","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Hygrophila","costata","Nees & T. Nees","ACANTHACEAE Hygrophila costata Nees & T. Nees","ESA019342","Reflora","ESA","Miyagi, P.H.","489","Native","Ouro",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","285793","Splink","SP","Pastore, J.A.","637","Native","Ouro","Parque Estadual de Jurupará, Ribeirão do Mico","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Justicia","dusenii","(Lindau) Wassh. & L.B.Sm.","ACANTHACEAE Justicia dusenii (Lindau) Wassh. & L.B.Sm.","NY00498966","Splink","NY","Mattos, J.","9137","Native","Ouro","Miracatu, próximo ao Rio S. Lourenço.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Justicia","kleinii","Wassh. & L.B.Sm.","ACANTHACEAE Justicia kleinii Wassh. & L.B.Sm.","SPF00110438","GBIF","SPF","Rodrigues, R.R.","152","Native","Ouro","Parque Estadual de Jacupiranga","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Justicia","schenckiana","Lindau","ACANTHACEAE Justicia schenckiana Lindau","334472","Splink","SP","Godoy, J.R.L.","111","Native","Ouro","Fazenda Intervales, Núcleo Saibadela","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Lepidagathis","kameyamana","Gnanasek. & Arisdason","ACANTHACEAE Lepidagathis kameyamana Gnanasek. & Arisdason","334475","Splink","SP","Batista, E.R.","42","Native","Ouro","Estação Ecológica Chauás","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Megaskepasma","erythrochlamys","Lindau","ACANTHACEAE Megaskepasma erythrochlamys Lindau","225963783","GBIF","Observations","Kowalske, N.",,"Cultivated","Bronze","Sítio das Águas, Juquitiba - SP, 06950-000, Brazil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","ESA084841","Reflora","ESA","Viani, R.A.G.","203","Native","Ouro","Parque Estadual Intervales, trilha de acesso a Estação Ecológica Xituêvegetação secundária de Floresta Ombrófila Densa Montana, com intenso histórico de degradação, a partir do extrativismo seletivo de palmito e madeira, com vários trechos dominados por b","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","ESA084840","Reflora","ESA","Medeiros, D.A.","93","Native","Ouro","Parque Estadual Intervales. Trilha saindo 500m antes da sede do Núcleo Barra Grande em direção à E.E. Xiutê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e com exploração de palmito.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Pseuderanthemum","riedelianum","(Nees) Radlk.","ACANTHACEAE Pseuderanthemum riedelianum (Nees) Radlk.","SPF00110261","GBIF","SPF","Leitao Filho, H.F.","30966","Native","Ouro",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","141266124","GBIF","Observations","Caja-Manga",,"Native","Bronze","Pedro Barros, Miracatu - SP, 11850-000, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Staurogyne","alba","Braz & R.Monteiro","ACANTHACEAE Staurogyne alba Braz & R.Monteiro","ESA128744","Splink","ESA","Delfini, C.","973","Native","Bronze","UHE Alecrim. Trilha da Chaminé. Floresta Ombrófila Densa, na beira do ribeirão do Veado.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Staurogyne","mandioccana","(Nees) Kuntze","ACANTHACEAE Staurogyne mandioccana (Nees) Kuntze","ESA123443","Splink","ESA","Cabral, F.N.","876","Native","Bronze","Trilha da Casa da Pedra, UHE da Serraria, Floresta Ombrófila Densa","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Staurogyne","sylvatica","Lindau ex Braz & R.Monteiro","ACANTHACEAE Staurogyne sylvatica Lindau ex Braz & R.Monteiro","280009","Splink","SP","Moncaio, E.","31","Native","Ouro","31 km de Juquiá em direção a Tapiraí (Km 180)","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Stenostephanus","lobeliiformis","Nees","ACANTHACEAE Stenostephanus lobeliiformis Nees","205245","Splink","SP","Martuscelli, P.","168","Native","Ouro","Sítio Irapuã, BR-116, Km 343,5","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Acanthaceae","Thunbergia","grandiflora","Roxb.","ACANTHACEAE Thunbergia grandiflora Roxb.","135239484","GBIF","Observations","Bernardes, L.",,"Naturalized","Bronze","Trilha dos Tucanos, Tapiraí - SP, 18180-000, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Alismataceae","Echinodorus",,"Rich. ex Engelm.","ALISMATACEAE Echinodorus Rich. ex Engelm.","SPF00224939","Splink","SPF","Francisco, J.N.C.","10",,"Latão","Bairro Guaraú. Viela dezesseis. Propriedade particular. Sítio da dona Fátima.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Alismataceae","Hydrocleys",,"Rich.","ALISMATACEAE Hydrocleys Rich.","UEC129904","Splink","UEC","Francisco, J.N.C.","10",,"Latão","Bairro Guaraú. Viela dezeseis. Propriedade particular. Sítio da Dona Fátima","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Amaranthaceae","Alternanthera","brasiliana","(L.) Kuntze","AMARANTHACEAE Alternanthera brasiliana (L.) Kuntze","280012","Splink","SP","Moncaio, E.","12","Native","Latão","10 km de Juquiá em direção a Tapiraí","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","HRCB041688","Splink","HRCB","Barreto, K.D.","3344",,"Latão","Fazenda Primavera","Não"
