"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","144963","GBIF","BHCB","Giacomin, L.L.","851",,"Latão","Estacão Ecológica de Bananal, Trilha das Sete Quedas.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","SPSF00042306","Splink","SPSF","Polisel, R.T.","647",,"Latão","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","1462","GBIF","SHPR","Biral, L.","2530",,"Latão","Estação Ecológica Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","SPSF00042445","Splink","SPSF","Polisel, R.T.","882","Native","Bronze","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae","Staurogyne","itatiaiae","(Wawra) Leonard","ACANTHACEAE Staurogyne itatiaiae (Wawra) Leonard","SPSF00042205","Splink","SPSF","Polisel, R.T.","533","Native","Ouro","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae","Stenostephanus","lobeliiformis","Nees","ACANTHACEAE Stenostephanus lobeliiformis Nees","64104","GBIF","CESJ","Dittrich, V.A.O.","956","Native","Bronze","Estação Ecológica de Bananal, Altitude aproximada","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Acanthaceae|Rubiaceae","Gonzalagunia",,"Ruiz & Pav.","ACANTHACEAE|RUBIACEAE Gonzalagunia Ruiz & Pav.","SHPR001462","Splink","SHPR","Biral, L.","2530",,"Latão","Estação Ecológica Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Alliaceae",,,"J. St.-Hil.","ALLIACEAE Amaryllidaceae J. St.-Hil.","SHPR001482","Splink","SHPR","Biral, L.","2550",,"Latão","Estrada Sertão do Ariró","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","SHPR001561","Splink","SHPR","Biral, L.","2628",,"Latão","Estrada de terra Sertão do Ariró, sentido Rio Claro (RJ),","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Amaranthaceae","Hebanthe","erianthos","(Poir.) Pedersen","AMARANTHACEAE Hebanthe erianthos (Poir.) Pedersen","BHCB054925","Splink","BHCB","Morais, P.O.","109","Native","Latão","Estacão Ecológica de Bananal, Rio das Cobras entre a primeira e a sétima queda.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Amaranthaceae","Hebanthe","pulverulenta","Mart.","AMARANTHACEAE Hebanthe pulverulenta Mart.","SPSF00042340","Splink","SPSF","Polisel, R.T.","754","Native","Prata","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Amaranthaceae","Pfaffia",,"Mart.","AMARANTHACEAE Pfaffia Mart.","HEPH00019243","Reflora","HEPH","Giacomin, L.L.","872",,"Ouro","Estação ecológica de bananal; margens da estrada que dá acesso à Estação.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Amaryllidaceae","Hippeastrum","calyptratum","(Ker Gawl.) Herb.","AMARYLLIDACEAE Hippeastrum calyptratum (Ker Gawl.) Herb.","PMSP006217","GBIF","PMSP","Garcia, R.J.F.","1967","Native","Bronze","Estação Ecológica de Bananal. Trilha do rio da Pedra vermelha, entre 1200 e 1900m.s.m.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","65931","GBIF","BHCB","Morais, P.O.","102",,"Latão","Estacão Ecológica de Bananal, Pedra Vermelha e Córrego do Barbosa. Aproximadamente 1300 m de altitude.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","SHPR001528","Splink","SHPR","Biral, L.","2595","Native","Bronze","Estação Ecológica Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Ferns and Lycophytes","Anemiaceae","Anemia","villosa","Humb. & Bonpl. ex Willd.","ANEMIACEAE Anemia villosa Humb. & Bonpl. ex Willd.","SPSF00055905","Splink","SPSF","Biral, L.","2545","Native","Bronze",,"Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Annonaceae","Annona","dolabripetala","Raddi","ANNONACEAE Annona dolabripetala Raddi","SPSF00042367","Splink","SPSF","Polisel, R.T.","783","Native","Ouro","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Annonaceae","Annona","sylvatica","A.St.-Hil.","ANNONACEAE Annona sylvatica A.St.-Hil.","SPSF00042410","Splink","SPSF","Polisel, R.T.","839","Native","Ouro","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","HURB000030377","Reflora","HURB","Biral, L.","2518","Native","Ouro","Estação Ecológica Bananal. Trilha Cachoeira Sete Quedas. Estação Ecológica Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Annonaceae","Xylopia","langsdorffiana","A.St.-Hil.","ANNONACEAE Xylopia langsdorffiana A.St.-Hil.","SPSF00045459","Splink","SPSF","Ivanauskas, N.M.","6390","Native","Prata","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Apocynaceae","Condylocarpon","isthmicum","(Vell.) A.DC.","APOCYNACEAE Condylocarpon isthmicum (Vell.) A.DC.","SPSF00042496","Splink","SPSF","Polisel, R.T.","986","Native","Bronze","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","144980","GBIF","BHCB","Giacomin, L.L.","868",,"Latão","Estacão Ecológica de Bananal, Trilha do Pico do Caracol.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Apocynaceae","Tabernaemontana","laeta","Mart.","APOCYNACEAE Tabernaemontana laeta Mart.","SPSF00042300","Splink","SPSF","Polisel, R.T.","631","Native","Prata","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Aquifoliaceae","Ilex","theezans","Mart. ex Reissek","AQUIFOLIACEAE Ilex theezans Mart. ex Reissek","SPSF00053678","Splink","SPSF","Ivanauskas, N.M.","6862","Native","Prata","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araceae","Anthurium","comtum","Schott","ARACEAE Anthurium comtum Schott","65930","Splink","BHCB","Morais, P.O.","101","Native","Latão","Estacão Ecológica de Bananal, Pedra Vermelha e Córrego do Barbosa.","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araceae","Anthurium","minarum","Sakur. & Mayo","ARACEAE Anthurium minarum Sakur. & Mayo","SPSF00042310","Splink","SPSF","Polisel, R.T.","651","Native","Prata","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araceae",,,"Juss.","ARACEAE Araceae Juss.","SHPR001508","Splink","SHPR","Biral, L.","2575",,"Latão","Estação Ecológica Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araceae","Philodendron","propinquum","Schott","ARACEAE Philodendron propinquum Schott","SHPR001567","Splink","SHPR","Biral, L.","2634","Native","Bronze","Estrada de terra Sertão do Ariró, sentido Rio Claro (RJ),","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araliaceae","Dendropanax","cuneatus","(DC.) Decne. & Planch.","ARALIACEAE Dendropanax cuneatus (DC.) Decne. & Planch.","SPSF00042396","Splink","SPSF","Polisel, R.T.","825","Native","Bronze","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araliaceae","Dendropanax","denticulatus","Fiaschi","ARALIACEAE Dendropanax denticulatus Fiaschi","198235","GBIF","SPF","Polisel, R.T.","579","Native","Prata","Estação Ecológica de Bananal","Não"
"ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Araliaceae","Didymopanax","angustissimus","Marchal","ARALIACEAE Didymopanax angustissimus Marchal","20831","GBIF","SMDB","Ivanauskas, N.M.","6358","Native","Prata","E.Ec. Bananal (Datum SAD69, Zona 23 K, 5640034 e 7","Não"
