"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"APA CABREUVA","CABREÚVA (SP) - INDAIATUBA (SP) - ITU (SP) - SALTO (SP)",0,0,0,0,0
"APA CAJAMAR","CAJAMAR (SP)",0,0,0,0,0
"APA CAJATI","CAJATI (SP)",0,0,0,0,0
"APA CAMPOS DO JORDÃO","CAMPOS DO JORDÃO (SP)",0,0,0,0,0
"APA DO BANHADO","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"APA IBITINGA","IBITINGA (SP)",0,0,0,0,0
"APA ILHA COMPRIDA","ILHA COMPRIDA (SP)",0,0,0,0,0
"APA ITUPARARANGA","ALUMÍNIO (SP) - COTIA (SP) - IBIÚNA (SP) - MAIRINQUE (SP) - PIEDADE (SP) - SÃO ROQUE (SP) - VARGEM GRANDE PAULISTA (SP) - VOTORANTIM (SP)",0,0,0,0,0
"APA JUNDIAÍ","CAMPO LIMPO PAULISTA (SP) - ITUPEVA (SP) - JARINU (SP) - JUNDIAÍ (SP)",0,0,0,0,0
"APA MARINHA DO LITORAL CENTRO","BERTIOGA (SP) - GUARUJÁ (SP) - ITANHAÉM (SP) - MONGAGUÁ (SP) - PERUÍBE (SP) - PRAIA GRANDE (SP) - SANTOS (SP) - SÃO VICENTE (SP)",0,0,0,0,0
"APA MARINHA DO LITORAL SUL","CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP)",0,0,0,0,0
"APA MATA DO IGUATEMÍ","SÃO PAULO (SP)",4,2,2,2,2
"APA MORRO DE SÃO BENTO","RIBEIRÃO PRETO (SP)",0,0,0,0,0
"APA PARQUE E FAZENDA DO CARMO","SÃO PAULO (SP)",121,66,62,46,28
