"Nome.da.UC","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumOuro","NumPrata","NumBronze","NumLatao","NumNoMatch"
"ÁREA DE PROTEÇÃO AMBIENTAL AVECUIA",205,151,146,125,55,19,0,108,24,1
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL",4591,1400,1349,713,210,446,120,569,265,25
"ÁREA DE PROTEÇÃO AMBIENTAL BALEIA SAHY",16,9,9,8,8,1,0,1,7,0
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO",94,16,15,12,7,6,0,5,5,0
"ÁREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO",1382,395,378,258,91,200,14,147,34,3
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA",737,252,247,188,80,71,20,117,44,6
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA",832,384,355,285,105,131,17,147,89,11
"ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE",376,208,205,173,54,45,16,117,30,2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR",117,74,74,61,35,10,0,30,34,0
"ÁREA DE PROTEÇÃO AMBIENTAL CAJATI",7,2,2,2,2,0,0,2,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS",2505,791,762,464,123,262,13,359,157,4
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPO GRANDE",5,5,5,5,4,0,0,0,5,0
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO",17234,2449,2271,1065,262,856,131,924,538,132
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE",17605,2353,2280,1018,228,984,203,798,368,104
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ",12387,2038,1951,902,212,845,129,715,349,46
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI",3516,993,949,557,140,228,17,590,158,7
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA",386,163,146,137,64,44,40,50,29,0
"ÁREA DE PROTEÇÃO AMBIENTAL ENGENHO D'AGUA",1,1,1,1,1,0,0,0,1,0
"ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ÁREA DE PROTEÇÃO AMBIENTAL IBITINGA",227,102,91,93,50,33,3,26,40,0
"ÁREA DE PROTEÇÃO AMBIENTAL ILHA COMPRIDA",1067,360,336,252,105,142,6,124,88,16
"ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
