"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,"https://specieslink.net/col/8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","019565","2180","Barreto, K.D. et al.",,"1994-03-17","1994","3","17",,,,"Brasil","BR","São Paulo",,"Cabreúva","Mata da Casa Branca, Mata Mesófila Semidecidua",,,,,,,,,,,,"Magnoliophyta",,,,,"phylum",,"SYNONYM",,,"Tracheophyta",,,,"Magnoliophyta",,,"WGS84",,,,,"GBIF","ESA",,"Barreto, K.D.","2180","1994",,,,"Barreto",,"brazil","sao paulo","cabreuva","mata da casa branca",,"municipality","brazil_sao paulo_cabreuva","brazil_sao paulo_cabreuva",-23.30092444,-47.08008496,"county",1871865,"Magnoliophyta sp.",,"indet",,"Magnoliophyta sp.",,"phylum","not found",,,,"Magnoliophyta sp.",,"Magnoliaceae","brazil_sao paulo_cabreuva","Brazil","São Paulo","Cabreúva",,"ibge",TRUE,-23.266833,-47.047278,"coord_original","miliseconds","unknown",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","ESA_19565","BHCB_42057|ESA_19565","1","0.25",,"BHCB_42057","BHCB_42057","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,,,"K","K",,"PRESERVED_SPECIMEN","K000941958","31005",,,,"1933","10","4",,,,"Brasil",,,"Cabreúva","Cabreúva",,,,"-23.299999","-47.130001","16877",,,,"Moldenke, H.N.",,,"Verbenaceae",,,"Verbenaceae",,,,,"-23.299999","-47.130001",,,,,,,,,,,,"K000941958","Splink","K",,,"31005","1933","Moldenke, H.N.",,,,,"brazil",,"cabreuva",,,"country","brazil_NA_cabreuva","brazil_sao paulo_cabreuva",-23.30092444,-47.08008496,"county",1784335,"Verbenaceae","J.St.-Hil.","family_as_genus","Verbenaceae","Verbenaceae","J.St.-Hil.","family","name accepted","bfo-246",,,"Verbenaceae J.St.-Hil.",,"Verbenaceae","brazil_sao paulo_cabreuva","Brazil","São Paulo","Cabreúva",,"ibge",TRUE,-23.299999,-47.130001,"coord_original","miliseconds","high",,"ok_country2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","K_941958",,"cc","cc",,,,"coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA019866","2118","Barreto, K.D. et al.",,,"1994","8","03",,,,"Brasil",,"São Paulo",,"Cabreúva","Jacaré",,,,,,,,"não","Sem determinador",,,"viscosa",,,"Sapindaceae","Dodonaea","species",,,,,,,,,"SAPINDACEAE","viscosa",,,,,,,"Reflora","ESA",,"Barreto, K.D.","2118","1994","Determinador, S.",,,"Barreto",,"brazil","sao paulo","cabreuva","jacare",,"municipality","brazil_sao paulo_cabreuva","brazil_sao paulo_cabreuva_jacare",-23.25969773,-47.0943859,"locality",1800387,"Sapindaceae","Juss.","family_as_genus","Sapindaceae","Sapindaceae","Juss.","family","name accepted","bfo-216",,,"Sapindaceae Juss.",,"Sapindaceae","brazil_sao paulo_cabreuva","Brazil","São Paulo","Cabreúva",,"ibge",TRUE,-23.299999,-47.130001,"coord_original","miliseconds","high",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_19866","ESA_19866|RB_1186016","4","1",,"ESA_19866","RB_1186016","coords_both","High","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00811553","2169","K. D. Barreto; G.D. Fernandes & F.X. Vitti",,"1994-03-16","1994","3","16",,,,"Brasil","BR","São Paulo",,"Cabreúva","Mata da Casa Branca. Mata mesófila semidecídua. Borda.",,,"-23.266944","-47.047222",,"23º16´1´´","47º2´50´´W",,,"2016-10-01",,"Phytolaccaceae","Magnoliopsida","Caryophyllales","Phytolaccaceae",,"family",,"ACCEPTED",,,"Phytolaccaceae",,,,"Phytolaccaceae",,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/81/15/53/00811553.jpg",,,,"GBIF","RB",,"Barreto, K.D.","2169","1994","Determinador, S.","2016","Fernandes, G.D.; Vitti, F.X.","Barreto",,"brazil","sao paulo","cabreuva","mata da casa branca",,"locality","brazil_sao paulo_cabreuva","brazil_sao paulo_cabreuva",-23.30092444,-47.08008496,"county",1763806,"Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","brazil_sao paulo_cabreuva","Brazil","São Paulo","Cabreúva",,"ibge",TRUE,-23.266944,-47.047222,"coord_original","seconds","high",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","RB_811553","ESA_19379|RB_811553","4","1","RB_811553","RB_811553","RB_811553","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3051092",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA019379","2169","Barreto, K.D.;Fernandes, G.D.,Vitti, F.X.","Árvore, 5 m alt.; flores verde-claras. Borda.","1994-03-16","1994","3","16","3/16/1994",,"Árvore, 5 m alt.; flores verde-claras. Borda.","Brasil","BR","São Paulo",,"Cabreúva","Mata da Casa Branca. Mata mesófila semidecídua. Borda.",,,,,,,,,,,,"Chrysobalanaceae","Magnoliopsida","Malpighiales","Chrysobalanaceae",,"family",,"ACCEPTED",,,"Chrysobalanaceae",,,,,,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/1/93/79/esa00019379.dzi",,,,"GBIF","ESA",,"Barreto, K.D.","2169","1994","Determinador, S.","2016","Fernandes, G.D.; Vitti, F.X.","Barreto",,"brazil","sao paulo","cabreuva","mata da casa branca",,"locality","brazil_sao paulo_cabreuva","brazil_sao paulo_cabreuva",-23.30092444,-47.08008496,"county",1767266,"Phytolaccaceae","R.Br.","family_as_genus","Chrysobalanaceae","Chrysobalanaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","brazil_sao paulo_cabreuva","Brazil","São Paulo","Cabreúva",,"ibge",TRUE,-23.266944,-47.047222,"coord_original","seconds","high",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_19379","ESA_19379|RB_811553","1","0.25","RB_811553","RB_811553","RB_811553","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","89591","2112",,,"1994-03-08","1994","3","8",,,,"Brasil","BR","São Paulo",,"Cabreúva","Jacaré. 23o14'13, 6""S, 47o02'34, 1""W. Cerrado.",,,"-23.237222","-47.394444",,,,,,,,"Crotalaria breviflora DC.","Magnoliopsida","Fabales","Fabaceae","Crotalaria","species","A.DC.","ACCEPTED",,,"Crotalaria breviflora DC.",,,,"Crotalaria breviflora","Crotalaria breviflora",,,"https://images.cria.org.br/viewer/UEC151706",,,,"GBIF","UEC",,,"2112","1994","Devecchi, M.F.","2010",,,,"brazil","sao paulo","cabreuva","jacare",,"locality","brazil_sao paulo_cabreuva_jacare","brazil_sao paulo_cabreuva_jacare",-23.25969773,-47.0943859,"locality",91526,"Fabaceae","Lindl.","family_as_genus","Fabaceae","Crotalaria breviflora","DC.","family","name accepted","bfo-115",,,"Fabaceae Lindl.",,"Fabaceae","brazil_sao paulo_cabreuva_jacare","Brazil","São Paulo","Cabreúva","Jacare","gadm_new",TRUE,-23.299999,-47.130001,"coord_original","miliseconds","high",,"ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_89591","ESA_19365|UEC_89591","1","0.25","ESA_19365","ESA_19365","ESA_19365","coords_both","High","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2623209",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA019365","2112","Barreto, K.D.;Fernandes, G.D.,Vitti, F.X.","Erva, 1 m alt.; flores amarelas.","1994-08-03","1994","8","3","3/8/1994",,"Erva, 1 m alt.; flores amarelas.","Brasil","BR","São Paulo",,"Cabreúva","Jacaré. 23o14'13, 6""S, 47o02'34, 1""W. Cerrado.",,,,,,,,,"Devecchi, M.F.","2010-01-01",,"Crotalaria breviflora DC.","Magnoliopsida","Fabales","Fabaceae","Crotalaria","species",,"ACCEPTED",,,"Crotalaria breviflora DC.",,,,"Crotalaria breviflora","Crotalaria breviflora",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/1/93/65/esa00019365.dzi",,,,"GBIF","ESA",,"Barreto, K.D.","2112","1994","Devecchi, M.F.","2010","Fernandes, G.D.; Vitti, F.X.","Barreto",,"brazil","sao paulo","cabreuva","jacare",,"locality","brazil_sao paulo_cabreuva_jacare","brazil_sao paulo_cabreuva_jacare",-23.25969773,-47.0943859,"locality",490526,"Fabaceae","Lindl.","family_as_genus","Fabaceae","Crotalaria breviflora","DC.","family","name accepted","bfo-115",,,"Fabaceae Lindl.",,"Fabaceae","brazil_sao paulo_cabreuva_jacare","Brazil","São Paulo","Cabreúva","Jacare","gadm_new",TRUE,-23.299999,-47.130001,"coord_original","miliseconds","high",,"ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","ESA_19365","ESA_19365|UEC_89591","4","1","ESA_19365","ESA_19365","ESA_19365","coords_both","High","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","197446","1105","Monge, M; Dias, E; Escobar, NAG; Reis, TR; Oswaldo",,"2012-07-29","2012","7","29",,,,"Brazil","BR","São Paulo",,"Jundiaí","Serra do Japi. Torre Antena. Cabreúva",,,"-23.336667","-47.025278",,,,,"Monge, M",,,"Bignoniaceae","Magnoliopsida","Lamiales","Bignoniaceae",,"family",,"ACCEPTED",,,"Bignoniaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC160358",,,,"GBIF","UEC",,"Monge, M.","1105","2012",,,"Dias, E.; Escobar, N.A.G.; Reis, T.R.; Oswaldo","Monge",,"brazil","sao paulo","jundiai","serra do japi",,"locality","brazil_sao paulo_jundiai_serra japi","brazil_sao paulo_jundiai_serra japi",-23.246268,-46.940612,"locality",1765545,"Bignoniaceae","Juss.","family_as_genus","Bignoniaceae","Bignoniaceae","Juss.","family","name accepted","bfo-112305",,,"Bignoniaceae Juss.",,"Bignoniaceae","brazil_sao paulo_jundiai","Brazil","São Paulo","Jundiaí",,"ibge",TRUE,-23.336667,-47.025278,"coord_original","seconds","high",,"ok_same_resolution","ok_state",,FALSE,"no_cannot_check","full_name_match","UEC_197446","UEC_197446[virtual]","1","0.25",,"UEC_197446","UEC_197446","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,"https://specieslink.net/col/64",,"IAC","IAC",,"PRESERVED_SPECIMEN","21860","s/nº","A. Daniel",,"1971-10-14","1971","10","14",,,,"Brasil","BR","São Paulo",,"Cabreúva",,,,"-23.3075","-47.1328",,,,,"A. Daniel","1971-10-14",,"Malvaceae","Magnoliopsida","Malvales","Malvaceae",,"family",,"ACCEPTED",,,"Malvaceae",,,,,,,"WGS84",,,,,"GBIF","IAC",,"Daniel, A.",,"1971","Daniel, A.","1971",,"Daniel",,"brazil","sao paulo","cabreuva",,,"municipality","brazil_sao paulo_cabreuva","brazil_sao paulo_cabreuva",-23.30092444,-47.08008496,"county",1761352,"Malvaceae","Juss.","family_as_genus","Malvaceae","Malvaceae","Juss.","family","name accepted","bfo-156",,,"Malvaceae Juss.",,"Malvaceae","brazil_sao paulo_cabreuva","Brazil","São Paulo","Cabreúva",,"ibge",TRUE,-23.3075,-47.1328,"coord_original","miliseconds","low",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","IAC_21860",,"cc","cc",,,,"coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","197449","1112B","Monge, M; Dias, E; Escobar, NAG; Reis, TR; Oswaldo",,"2012-07-29","2012","7","29",,,,"Brazil","BR","São Paulo",,"Jundiaí","Serra do Japi. Na beira da estrada da Antena",,,"-23.329167","-47.046389",,,,,"Monge, M",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC190350",,,,"GBIF","UEC",,"Monge, M.","1112-B","2012","Monge, M.",,"Dias, E.; Escobar, N.A.G.; Reis, T.R.; Oswaldo","Monge",,"brazil","sao paulo","jundiai","serra do japi, na beira da estrada da antena","serra do japi","locality","brazil_sao paulo_jundiai","brazil_sao paulo_jundiai",-23.19469617,-46.91286083,"county",1765108,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_jundiai","Brazil","São Paulo","Jundiaí",,"ibge",TRUE,-23.329167,-47.046389,"coord_original","seconds","low",,"check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","UEC_197449","UEC_197449[virtual]","1","0.25","UEC_197449","UEC_197449","UEC_197449","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA"
