"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","50642","19","A. Maruyama & L. Cicco",,"2015-05-17","2015","5","17",,,,"Brasil","BR","Sp",,"Guarulhos",,,,"-23.370278","-46.458611",,,,,,,,"Lamiaceae","Lamiaceae",,"family",,"ACCEPTED",,,"Lamiaceae",,,,,,,"WGS84",,,,,"GBIF","SPSF",,"Maruyama, A.","19","2015",,,"Cicco, L.","Maruyama",,"brazil","sao paulo","guarulhos",,,"municipality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Lamiaceae","Martinov","family_as_genus","Lamiaceae","Lamiaceae","Martinov","family","name accepted","bfo-142",,,"Lamiaceae Martinov",,"Lamiaceae",,1725846,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.370278,-46.458611,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","50642","19","A. Maruyama & L. Cicco",,,"2015","05","17",,,,"Brasil",,"SP","Guarulhos","Guarulhos",,,,"-23.370278","-46.458611",,,,,,,,"Lamiaceae","Lamiaceae",,,,,,,,,,,,,,,,,,"SPSF00050642","Splink","SPSF",,"Maruyama, A.","19","2015",,,"Cicco, L.","Maruyama",,"brazil","sao paulo","guarulhos",,,"municipality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Lamiaceae","Martinov","family_as_genus","Lamiaceae","Lamiaceae","Martinov","family","name accepted","bfo-142",,,"Lamiaceae Martinov",,"Lamiaceae",,1739707,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.370278,-46.458611,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","50642","19","A. Maruyama & L. Cicco",,,"2015","05","17",,,,"Brasil",,"SP","Guarulhos","Guarulhos",,,,"-23.370278","-46.458611",,,,,,,,"Lamiaceae","Lamiaceae",,,,,,,,,,,,,,,,,,"SPSF00050642","Splink","SPSF",,"Maruyama, A.","19","2015",,,"Cicco, L.","Maruyama",,"brazil","sao paulo","guarulhos",,,"municipality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Lamiaceae","Martinov","family_as_genus","Lamiaceae","Lamiaceae","Martinov","family","name accepted","bfo-142",,,"Lamiaceae Martinov",,"Lamiaceae",,1741157,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.370278,-46.458611,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","491666","3108","Shirasuna, RT",,"2013-11-13","2013","11","13",,,,"Brasil","BR","São Paulo",,"Guarulhos","Lote 5 entre a OAE 503 e emboque oeste 501",,,"-23.401556","-46.503111",,,,,,,,"Apocynaceae","Apocynaceae",,"family",,"ACCEPTED",,,"Apocynaceae",,,,,,,"WGS84",,,,,"GBIF","SP","code not found","Shirasuna, R.T.","3108","2013",,,,"Shirasuna",,"brazil","sao paulo","guarulhos","lote 5 entre a oae 503 e emboque oeste 501",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Apocynaceae","Juss.","family_as_genus","Apocynaceae","Apocynaceae","Juss.","family","name accepted","bfo-48",,,"Apocynaceae Juss.",,"Apocynaceae",,1728219,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.401556,-46.503111,"coord_original","miliseconds","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","491667","4536","Nicolau, SA; Kameyama, C; Shirasuna, RT; Kondrat, H",,"2013-04-02","2013","4","2",,,,"Brasil","BR","São Paulo",,"Guarulhos","Cabuçu. Próximo ao Sítio B. Jacutinga.",,,"-23.412778","-46.531444",,,,,,,,"Apocynaceae","Apocynaceae",,"family",,"ACCEPTED",,,"Apocynaceae",,,,,,,"WGS84",,,,,"GBIF","SP","code not found","Nicolau, S.A.","4536","2013",,,"Kameyama, C.; Shirasuna, R.T.; Kondrat, H.","Nicolau",,"brazil","sao paulo","guarulhos","cabucu",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Apocynaceae","Juss.","family_as_genus","Apocynaceae","Apocynaceae","Juss.","family","name accepted","bfo-48",,,"Apocynaceae Juss.",,"Apocynaceae",,1728230,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.412778,-46.531444,"coord_original","seconds","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","491667","4536","Nicolau, SA; Kameyama, C; Shirasuna, RT; Kondrat, H",,,"2013","04","02",,,,"Brasil",,"São Paulo","Guarulhos","Guarulhos","Cabuçu. Próximo ao Sítio B. Jacutinga.",,,"-23.412778","-46.531444",,"-23.412778","-46.531444",,,,,"Apocynaceae","Apocynaceae",,,,,,,,,,,,,,,,,,,"Splink","SP",,"Nicolau, S.A.","4536","2013",,,"Kameyama, C.; Shirasuna, R.T.; Kondrat, H.","Nicolau",,"brazil","sao paulo","guarulhos","cabucu",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Apocynaceae","Juss.","family_as_genus","Apocynaceae","Apocynaceae","Juss.","family","name accepted","bfo-48",,,"Apocynaceae Juss.",,"Apocynaceae",,1743907,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.412778,-46.531444,"coord_original","seconds","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","491666","3108","Shirasuna, RT",,,"2013","11","13",,,,"Brasil",,"São Paulo","Guarulhos","Guarulhos","Lote 5 entre a OAE 503 e emboque oeste 501",,,"-23.401556","-46.503111",,"-23.401556","-46.503111",,,,,"Apocynaceae","Apocynaceae",,,,,,,,,,,,,,,,,,,"Splink","SP",,"Shirasuna, R.T.","3108","2013",,,,"Shirasuna",,"brazil","sao paulo","guarulhos","lote 5 entre a oae 503 e emboque oeste 501",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Apocynaceae","Juss.","family_as_genus","Apocynaceae","Apocynaceae","Juss.","family","name accepted","bfo-48",,,"Apocynaceae Juss.",,"Apocynaceae",,1744610,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.401556,-46.503111,"coord_original","miliseconds","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","491671","1948","Simão Bianchini, R; Fortes, EP; Shirasuna, RT",,"2013-05-03","2013","5","3",,,,"Brasil","BR","São Paulo",,"Guarulhos","Divisa de Guarulhos com São Paulo, Lote 4.",,,"-23.414028","-46.552972",,,,,"Zuntini, AR","2022-08-01",,"Mansoa DC.","Bignoniaceae","Mansoa","genus",,"ACCEPTED",,,"Mansoa DC.",,,,"Mansoa",,,"WGS84",,,,,"GBIF","SP","code not found","Bianchini, R.S.","1948","2013","Zuntini, A.R.","2022","Fortes, E.P.; Shirasuna, R.T.","Bianchini",,"brazil","sao paulo","guarulhos","divisa de guarulhos com sao paulo",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Mansoa","DC.","name_w_authors","Bignoniaceae","Mansoa","DC.","genus","name accepted","bfo-113521",,,"Mansoa DC.","Mansoa","Bignoniaceae",,1580681,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.414028,-46.552972,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","491671","1948","Simão Bianchini, R; Fortes, EP; Shirasuna, RT",,,"2013","05","03",,,,"Brasil",,"São Paulo","Guarulhos","Guarulhos","Divisa de Guarulhos com São Paulo, Lote 4.",,,"-23.414028","-46.552972",,"-23.414028","-46.552972",,"Zuntini, AR","2022-08-NA",,"Mansoa","Bignoniaceae","Mansoa",,,,,,,,"08","2022",,,,,,,,,"Splink","SP",,"Bianchini, R.S.","1948","2013","Zuntini, A.R.","2022","Fortes, E.P.; Shirasuna, R.T.","Bianchini",,"brazil","sao paulo","guarulhos","divisa de guarulhos com sao paulo",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Mansoa","DC.","indet","Bignoniaceae","Mansoa","DC.","genus","name accepted","bfo-113521",,,"Mansoa DC.","Mansoa","Bignoniaceae",,1646423,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.414028,-46.552972,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","50644","21","A. Maruyama & L. Cicco",,"2015-05-17","2015","5","17",,,,"Brasil","BR","Sp",,"Guarulhos",,,,"-23.370556","-46.458611",,,,,,,,"Mikania Willd.","Asteraceae","Mikania","genus",,"ACCEPTED",,,"Mikania Willd.",,,,"Mikania",,,"WGS84",,,,,"GBIF","SPSF",,"Maruyama, A.","21","2015",,,"Cicco, L.","Maruyama",,"brazil","sao paulo","guarulhos",,,"municipality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","Mikania","Willd.","name_w_authors","Asteraceae","Mikania","Willd.","genus","name accepted","bfo-5344",,,"Mikania Willd.","Mikania","Asteraceae",,1565545,"brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.370556,-46.458611,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CABUÇU TANQUE GRANDE"
