"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN","13071","1279","J. Y. Tamashiro, R. R. Rodrigues, R. Goldenberg, N. Ivanauskas, R. Belinello & J. C. Galvão",,"1995-06-14","1995","6","14",,,,"Brasil","BR","São Paulo",,"Timburi","Fazenda Domiciana",,,"-23.231389","-49.634444",,,,,"F. R. Cruz","2007-06-01",,"Malvaceae","Malvaceae",,"family",,"ACCEPTED",,,"Malvaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/SJRP00011172",,,,"GBIF","SJRP",,"Tamashiro, J.Y.","1279","1995","Cruz, F.R.","2007","Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231389,-49.634444,"coord_original","seconds","Malvaceae","Juss.","family_as_genus","Malvaceae","Malvaceae","Juss.","family","name accepted","bfo-156",,,"Malvaceae Juss.",,"Malvaceae","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1614806,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","71873","1279","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC",,"1995-06-14","1995","6","14",,,,"Brazil","BR","São Paulo",,"Timburi","Fazenda Domiciana",,,"-23.231639","-49.6345",,,,,"Tamashiro, JY","2013-01-01",,"Phytolaccaceae","Phytolaccaceae",,"family",,"ACCEPTED",,,"Phytolaccaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC002701",,,,"GBIF","UEC",,"Tamashiro, J.Y.","1279","1995","Tamashiro, J.Y.","2013","Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.M.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","low","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1610437,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"2",,"UNICAMP","UEC",,,"71873","1279","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC",,,"1995","06","14",,,,"Brazil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana",,,"-23.231639","-49.6345",,"-23.231639","-49.6345",,"Tamashiro, JY","2013-NA-NA",,"Phytolaccaceae","Phytolaccaceae",,,,,,,,,,"2013",,,,,,,,"UEC002701","Splink","UEC",,"Tamashiro, J.Y.","1279","1995","Tamashiro, J.Y.","2013","Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.M.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","low","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1633496,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"https://specieslink.net/col/667",,"UTFPR-SL","SHPR",,"PRESERVED_SPECIMEN","2645","3107","Biral, L.;P.A. Freitas",,"2021-12-14","2021","12","14",,,,"Brasil","BR","São Paulo",,"Timburi","Fazenda Palmital",,,"-23.1625","-49.548889",,,,,,,,"Rubiaceae","Rubiaceae",,"family","Juss.","ACCEPTED",,,"Rubiaceae",,,,,,,"WGS84",,,,,"GBIF","SHPR",,"Biral, L.","3107","2021",,,"Freitas, P.A.","Biral",,"brazil","sao paulo","timburi","fazenda palmital",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.1625,-49.548889,"coord_original","seconds","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae","unknown","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match",,1619748,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"667",,"UTFPR-SL","SHPR",,"PRESERVED_SPECIMEN","2645","3107","Biral, L. | P.A. Freitas",,,"2021","12","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Palmital",,,"-23.1625","-49.548889",,"23°09'45"" S","49°32'56"" W",,,,,"Rubiaceae","Rubiaceae",,,"Juss.",,,,,,,,,,,,,,,"SHPR002645","Splink","SHPR",,"Biral, L.","3107","2021",,,"Freitas, P.A.","Biral",,"brazil","sao paulo","timburi","fazenda palmital",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.1625,-49.548889,"coord_original","seconds","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae","unknown","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match",,1640732,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","101173","1279","Tamashiro, JY",,"1995-06-14","1995","6","14",,,,"Brasil","BR","São Paulo",,"Timburi","Fazenda Domiciana.",,,"-23.231639","-49.6345",,,,,,,,"Phytolaccaceae","Phytolaccaceae",,"family",,"ACCEPTED",,,"Phytolaccaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/SPF00101173",,,,"GBIF","SPF","code not found","Tamashiro, J.Y.","1279","1995",,,,"Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1612135,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4268116",,,"SPF","SPF",,"PRESERVED_SPECIMEN","SPF00101173","1279","Tamashiro, JY",,"1995-06-14","1995","6","14","14/06/95",,,"Brasil","BR","São Paulo",,"Timburi","Fazenda Domiciana.",,,"-23.231667","-49.634444",,,,,,,,"Phytolaccaceae","Phytolaccaceae",,"family",,"ACCEPTED",,,"Phytolaccaceae",,,,,,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/10/11/73/spf00101173.dzi",,,,"GBIF","SPF",,"Tamashiro, J.Y.","1279","1995",,,,"Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231667,-49.634444,"coord_original","seconds","Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1618351,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"7",,"USP","SPF",,"PRESERVED_SPECIMEN","101173","1279","Tamashiro, JY",,,"1995","06","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana.",,,"-23.231639","-49.6345",,"-23.231639","-49.6345",,,,,"Phytolaccaceae","Phytolaccaceae",,,,,,,,,,,,,,,,,,"SPF00101173","Splink","SPF",,"Tamashiro, J.Y.","1279","1995",,,,"Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1633763,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"https://specieslink.net/col/667",,"UTFPR-SL","SHPR",,"PRESERVED_SPECIMEN","2626","3088","Biral, L.;P.A. Freitas",,"2021-12-14","2021","12","14",,,,"Brasil","BR","São Paulo",,"Timburi","Lajeado de afloramento basáltico vesicular",,,"-23.171331","-49.6414",,,,,,,,"Myrtaceae","Myrtaceae",,"family","Juss.","ACCEPTED",,,"Myrtaceae",,,,,,,"WGS84",,,,,"GBIF","SHPR",,"Biral, L.","3088","2021",,,"Freitas, P.A.","Biral",,"brazil","sao paulo","timburi","lajeado de afloramento basaltico vesicular",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.171331,-49.6414,"coord_original","miliseconds","Myrtaceae","Juss.","family_as_genus","Myrtaceae","Myrtaceae","Juss.","family","name accepted","bfo-171",,,"Myrtaceae Juss.",,"Myrtaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1619745,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","55938","3088","L.Biral & P.A.Freitas",,"2021-12-14","2021","12","14",,,,"Brasil","BR","Sp",,"Timburi",,,,"-23.171111","-49.641389",,,,,,,,"Myrtaceae","Myrtaceae",,"family",,"ACCEPTED",,,"Myrtaceae",,,,,,,"WGS84",,,,,"GBIF","SPSF",,"Biral, L.","3088","2021",,,"Freitas, P.A.","Biral",,"brazil","sao paulo","timburi",,,"municipality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.171111,-49.641389,"coord_original","seconds","Myrtaceae","Juss.","family_as_genus","Myrtaceae","Myrtaceae","Juss.","family","name accepted","bfo-171",,,"Myrtaceae Juss.",,"Myrtaceae","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match",,1622745,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
