"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","94837","64/96","Feres, FR; Faria, AD; Aona, LYS; Matsumoto, K; Galvão, JC; Belinello, R",,"1996-12-17","1996","12","17",,,,"Brazil","BR","São Paulo",,"IIha Comprida","na praia, em areia encharcada.",,,"-25.192131","-47.876844",,,,,,,,"Cyperaceae","Cyperaceae",,"family",,"ACCEPTED",,,"Cyperaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC021153",,,,"GBIF","UEC",,"Feres, F.R.","64/96","1996",,,"Faria, A.D.; Aona, L.Y.S.; Matsumoto, K.; Galvao, J.C.; Belinello, R.","Feres",,"brazil","sao paulo","iiha comprida","na praia",,"locality","brazil_sao paulo_iiha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",,1722932,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_94837","UEC_94837[virtual]","4","1","UEC_94837","UEC_94837","UEC_94837","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","94836","65/96","Feres, FR; Faria, AD; Aona, LYS; Matsumoto, K; Galvão, JC; Belinello, R",,"1996-12-17","1996","12","17",,,,"Brazil","BR","São Paulo",,"IIha Comprida","Na praia, em areia encharcada.",,,"-25.192131","-47.876844",,,,,,,,"Cyperaceae","Cyperaceae",,"family",,"ACCEPTED",,,"Cyperaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC002253",,,,"GBIF","UEC",,"Feres, F.R.","65/96","1996",,,"Faria, A.D.; Aona, L.Y.S.; Matsumoto, K.; Galvao, J.C.; Belinello, R.","Feres",,"brazil","sao paulo","iiha comprida","na praia",,"locality","brazil_sao paulo_iiha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",,1722933,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_94836","UEC_94836[virtual]","4","1","UEC_94836","UEC_94836","UEC_94836","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","94838","61/96","Feres, FR; Faria, AD; Aona, LYS; Matsumoto, K; Galvão, JC; Belinello, R",,"1996-12-17","1996","12","17",,,,"Brazil","BR","São Paulo",,"IIha Comprida","na praia, em areia encharcada.",,,"-25.192131","-47.876844",,,,,,,,"Cyperaceae","Cyperaceae",,"family",,"ACCEPTED",,,"Cyperaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC021151",,,,"GBIF","UEC",,"Feres, F.R.","61/96","1996",,,"Faria, A.D.; Aona, L.Y.S.; Matsumoto, K.; Galvao, J.C.; Belinello, R.","Feres",,"brazil","sao paulo","iiha comprida","na praia",,"locality","brazil_sao paulo_iiha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",,1722934,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_94838","UEC_94838[virtual]","4","1","UEC_94838","UEC_94838","UEC_94838","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","94833","67/96","Feres, FR; Faria, AD; Aona, LYS; Matsumoto, K; Galvão, JC; Belinello, R",,"1996-12-17","1996","12","17",,,,"Brazil","BR","São Paulo",,"IIha Comprida","Na praia, em areia encharcada.",,,"-25.192131","-47.876844",,,,,,,,"Cyperaceae","Cyperaceae",,"family",,"ACCEPTED",,,"Cyperaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC002262",,,,"GBIF","UEC",,"Feres, F.R.","67/96","1996",,,"Faria, A.D.; Aona, L.Y.S.; Matsumoto, K.; Galvao, J.C.; Belinello, R.","Feres",,"brazil","sao paulo","iiha comprida","na praia",,"locality","brazil_sao paulo_iiha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae",,1722937,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_94833","UEC_94833[virtual]","4","1","UEC_94833","UEC_94833","UEC_94833","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/224",,"UnB","UB",,"PRESERVED_SPECIMEN","167620","4737","Clayton, WD; Eiten, G",,"1965-02-17","1965","2","17",,,,"Brasil","BR","São Paulo",,"Cananéia","1 km NE of center of city of CANANEIA, along east shore of Cananeia Island.",,,"-25.166667","-47.916667",,,,,"Prata, AP","2011-01-01",,"Rhynchospora Vahl","Cyperaceae","Rhynchospora","genus",,"ACCEPTED",,,"Rhynchospora Vahl",,,,"Rhynchospora",,,,"https://images.cria.org.br/viewer/UB0010429",,,,"GBIF","UB",,"Clayton, W.D.","4737","1965","Prata, A.P.","2011","Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","1 km ne of center of city of cananeia",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Rhynchospora","Vahl","name_w_authors","Cyperaceae","Rhynchospora","Vahl","genus","name accepted","bfo-7258",,,"Rhynchospora Vahl","Rhynchospora","Cyperaceae",,1561578,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.1666667,-47.9166667,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UB_167620","Botany_L.1400432|UB_167620","1","0.25","UB_167620","UB_167620","UB_167620","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,,,,"Botany",,"PRESERVED_SPECIMEN","L.1400432","Clayton, WD; Eiten, G 4737","Clayton WD; Eiten G",,"1965-02-17","1965","2","17",,,,"Brasil","BR","São Paulo",,"Cananéia","1 km NE of center of city of CANANEIA, along east shore of Cananeia Island.",,,"-25","-47.91667",,,,,,,,"Rhynchospora Vahl","Cyperaceae","Rhynchospora","genus","Vahl","ACCEPTED",,,"Rhynchospora Vahl",,,,"Rhynchospora",,,,,,,,"GBIF","Botany","code not found","Clayton, W.D.","4737","1965","Prata, A.P.","2011","Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","1 km ne of center of city of cananeia",,"locality","brazil_sao paulo_cananeia island","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Rhynchospora","Vahl","name_w_authors","Cyperaceae","Rhynchospora","Vahl","genus","name accepted","bfo-7258",,,"Rhynchospora Vahl","Rhynchospora","Cyperaceae",,1581417,"brazil_sao paulo","Brazil","São Paulo",,,"gadm","high",TRUE,-25.1666667,-47.9166667,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","Botany_L.1400432","Botany_L.1400432|UB_167620","1","0.25","UB_167620","UB_167620","UB_167620","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","72174","32802",,,"1995-02-11","1995","2","11",,,,"Brazil","BR","São Paulo",,"IIha Comprida",,,,"-25.192131","-47.876844",,,,,,,,"Stigmaphyllon A.Juss.","Malpighiaceae","Stigmaphyllon","genus","A.Juss.","ACCEPTED",,,"Stigmaphyllon A.Juss.",,,,"Stigmaphyllon",,,"WGS84",,,,,"GBIF","UEC",,,"32802","1995",,,,,,"brazil","sao paulo","iiha comprida",,,"municipality","brazil_sao paulo_iiha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Stigmaphyllon","A.Juss.","name_w_authors","Malpighiaceae","Stigmaphyllon","A.Juss.","genus","name accepted","bfo-8939",,,"Stigmaphyllon A.Juss.","Stigmaphyllon","Malpighiaceae",,1550082,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","ok_same_resolution","shore",,FALSE,"no_cannot_check","full_name_match","UEC_72174","UEC_72174[virtual]","1","0.25","UEC_72174","UEC_72174","UEC_72174","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","10007","802","Yano, O",,"1977-08-29","1977","8","29",,,,"Brazil","BR","São Paulo",,"Ilha Comprida","Estrada de acesso à praia",,,"-25.192131","-47.876844",,,,,,,,"Stigmaphyllon A.Juss.","Malpighiaceae","Stigmaphyllon","genus","A.Juss.","ACCEPTED",,,"Stigmaphyllon A.Juss.",,,,"Stigmaphyllon",,,"WGS84",,,,,"GBIF","UEC",,"Yano, O.","802","1977",,,,"Yano",,"brazil","sao paulo","ilha comprida","estrada de acesso a praia",,"locality","brazil_sao paulo_ilha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Stigmaphyllon","A.Juss.","name_w_authors","Malpighiaceae","Stigmaphyllon","A.Juss.","genus","name accepted","bfo-8939",,,"Stigmaphyllon A.Juss.","Stigmaphyllon","Malpighiaceae",,1548904,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_10007","UEC_10007[virtual]","4","1","UEC_10007","UEC_10007","UEC_10007","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","194401","33319",,,"1995-02-11","1995","2","11",,,,"Brazil","BR","São Paulo",,"Ilha Comprida","Estrada de acesso à praia",,,"-25.192131","-47.876844",,,,,,,,"Sesbania Adans.","Fabaceae","Sesbania","genus",,"ACCEPTED",,,"Sesbania Adans.",,,,"Sesbania",,,"WGS84","https://images.cria.org.br/viewer/UEC131265",,,,"GBIF","UEC",,,"33319","1995",,,,,,"brazil","sao paulo","ilha comprida","estrada de acesso a praia",,"locality","brazil_sao paulo_ilha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Sesbania","Scop.","name_w_authors","Fabaceae","Sesbania","Scop.","genus","author misspelled","bfo-29852",,,"Sesbania Scop.","Sesbania","Fabaceae",,1567769,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_194401","UEC_194401|UEC_88672","1","0.25","UEC_194401","UEC_194401","UEC_194401","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
,,"2",,"UNICAMP","UEC",,,"88672","33319",,,,"1995","02","11",,,,"Brazil",,"São Paulo","Ilha Comprida","Ilha Comprida","Estrada de acesso à praia",,,"-25.192131","-47.876844",,"-25.192131","-47.876844",,,,,"Sesbania","Fabaceae","Sesbania",,,,,,,,,,,,,"WGS84",,,,,"Splink","UEC",,,"33319","1995",,,,,,"brazil","sao paulo","ilha comprida","estrada de acesso a praia",,"locality","brazil_sao paulo_ilha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county","Sesbania","Scop.","indet","Fabaceae","Sesbania","Scop.","genus","name accepted","bfo-29852",,,"Sesbania Scop.","Sesbania","Fabaceae",,1652152,"brazil_sao paulo_ilha comprida","Brazil","São Paulo","Ilha Comprida",,"ibge","unknown",TRUE,-25.192131,-47.876844,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","full_name_match","UEC_88672","UEC_194401|UEC_88672","1","0.25","UEC_194401","UEC_194401","UEC_194401","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL"
