"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,"https://specieslink.net/col/391",,"UFSCar","SORO",,"PRESERVED_SPECIMEN","1271","51","Gorestein M.R.;Souza F.M., Betini G.S., Costa C.G., Garrote V., Franco G.",,"1999-01-07","1999","1","7",,,,"Brasil","BR","São Paulo",,"Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João Caçador, no km 78 da Rodovia Pariquera - Iguape",,,,,,,,,,,,"Marlierea eugeniopsoides (Kausel & D.Legrand) D.Legrand","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","species","(O. Berg) McVaugh","SYNONYM",,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine",,,,"Marlierea eugeniopsoides","Myrcia eugeniopsoides",,,,,,,"GBIF","SORO",,"Gorestein, M.R.","51","1999","Francischetti, R.J.","2023","Souza, F.M.; Betini, G.S.; Costa, C.G.; Garrote, V.; Franco, G.","Gorestein",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",67527,"Myrcia","DC.","name_w_authors","Myrtaceae","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","genus","author misspelled|replaced synonym","bfo-10660","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Myrcia DC.","Myrcia","Myrtaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SORO_1271","ESA_61943|RB_1116968|SORO_1271|SPSF_24451|UEC_107508","1","0.25","UEC_107508","RB_1116968","RB_1116968","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB01116968","51","M.R. Gorenstein; et al","Floresta Ombrófila Densa. No trecho com Floresta de Restinga de baixada (paludosa)","1999-01-07","1999","1","7",,,"Floresta Ombrófila Densa. No trecho com Floresta de Restinga de baixada (paludosa)","Brasil","BR","São Paulo",,"Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João Caçador, no km 78 da Rodovia Pariquera - Iguape",,,"-24.783333","-47.7",,"24º47´","47º42´W",,"F.F. Mazine","2007-03-01",,"Marlierea eugeniopsoides (Kausel & D.Legrand) D.Legrand","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","species","( D.Legrand & Kausel) D.Legrand","SYNONYM",,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine",,,,"Marlierea eugeniopsoides ( D.Legrand & Kausel) D.Legrand","Myrcia eugeniopsoides",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/11/69/68/01116968.jpg",,,,"GBIF","RB",,"Gorenstein, M.R.","51","1999","Francischetti, R.J.","2023",,"Gorenstein",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera","estacao ecologica de chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",232289,"Myrcia","DC.","name_w_authors","Myrtaceae","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","genus","author misspelled|replaced synonym","bfo-10660","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Myrcia DC.","Myrcia","Myrtaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_1116968","ESA_61943|RB_1116968|SORO_1271|SPSF_24451|UEC_107508","4","1","UEC_107508","RB_1116968","RB_1116968","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"https://specieslink.net/col/8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","061943","51","Gorenstein, M.R. et al.",,"1999-01-07","1999","1","7",,,,"Brasil","BR","São Paulo",,"Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João Caçador, no km 78 da Rodovia Pariquera - Iguape",,,,,,,,,"Santos, M.F.","1905-11-07",,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","species","(D.Legrand & Kausel) Mazine","ACCEPTED",,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine",,,,"Myrcia eugeniopsoides","Myrcia eugeniopsoides",,,"https://images.cria.org.br/viewer/ESA061943",,,,"GBIF","ESA",,"Gorenstein, M.R.","51","1999","Francischetti, R.J.","2023",,"Gorenstein",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera",,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",722259,"Myrcia","DC.","name_w_authors","Myrtaceae","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","genus","name accepted","bfo-10660",,,"Myrcia DC.","Myrcia","Myrtaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","ESA_61943","ESA_61943|RB_1116968|SORO_1271|SPSF_24451|UEC_107508","4","1","UEC_107508","RB_1116968","RB_1116968","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","24451","51",,"<nO>XLS: SPSFAntigo; floresta de restinga ;</nO>",,"1999","1","07",,,"<nO>XLS: SPSFAntigo; floresta de restinga ;</nO>","Brasil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João Caçador, no km 78 da Rodovia Pariquera - Iguape",,,"-24.7","-47.55",,"24º41'60''S","47º32'60''W",,,,,"Myrcia neolucida",,,"Myrtaceae","Myrcia",,,,"-24.7","-47.55",,,,,,"neolucida",,,,,,"SPSF00024451","Splink","SPSF",,,"51","1999","Francischetti, R.J.","2023",,,,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",1084557,"Myrcia","DC.","name_w_authors","Myrtaceae","Myrcia neolucida","A.R.Lourenço & E.Lucas","genus","name accepted","bfo-10660",,,"Myrcia DC.","Myrcia","Myrtaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_24451","ESA_61943|RB_1116968|SORO_1271|SPSF_24451|UEC_107508","1","0.25","UEC_107508","RB_1116968","RB_1116968","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","107508","51","Gorenstein, MR; Souza, FM; Betini, GS; Costa, CG; Garrote, V; Franco, G",,"1999-01-07","1999","1","7",,,,"Brasil","BR","São Paulo",,"Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João Caçador, no km 78 da Rodovia Pariquera - Iguape",,,"-24.783333","-47.7",,,,"PARATYPE","Francischetti, RJ","2023-12-28",,"Myrcia DC. ex Guill.","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","genus","M.F. Santos & E. Barretto","ACCEPTED",,,"Myrcia DC. ex Guill.",,,,"Myrcia tenondeporan",,,,"https://images.cria.org.br/viewer/UEC063693",,,,"GBIF","UEC",,"Gorenstein, M.R.","51","1999","Francischetti, R.J.","2023","Souza, F.M.; Betini, G.S.; Costa, C.G.; Garrote, V.; Franco, G.","Gorenstein",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera","estacao ecologica de chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",1599203,"Myrcia","DC.","name_w_authors","Myrtaceae","Myrcia","DC.","genus","author misspelled","bfo-10660",,,"Myrcia DC.","Myrcia","Myrtaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","UEC_107508","ESA_61943|RB_1116968|SORO_1271|SPSF_24451|UEC_107508","4","1","UEC_107508","RB_1116968","RB_1116968","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00780457","778","C. Kozera; A. Vanini; A.H. Hayashi; C.B.K. Lima","Floresta Ombrófila Densa","1999-01-07","1999","1","7",,,"Floresta Ombrófila Densa","Brasil","BR","São Paulo",,"Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João caçador, no Km 78 da Rodovia Pariquera-Iguape, no trecho com floresta de Restinga mais preservada.",,,"-24.783333","-47.7",,"24º47´","47º42´W",,,,,"Vriesea incurvata Gaudich.","Liliopsida","Poales","Bromeliaceae","Vriesea","species","Gaudich.","ACCEPTED",,,"Vriesea incurvata Gaudich.",,,,"Vriesea incurvata Gaudich.","Vriesea incurvata",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/78/4/57/00780457.jpg",,,,"GBIF","RB",,"Kozera, C.","778","1999",,,"Vanini, A.; Hayashi, A.H.; Lima, C.B.K.","Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape, no trecho com floresta de restinga mais preservada","estacao ecologica de chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",255036,"Vriesea incurvata","Gaudich.","name_w_authors","Bromeliaceae","Vriesea incurvata","Gaudich.","species","name accepted","bfo-6483",,,"Vriesea incurvata Gaudich.","Vriesea","Bromeliaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high","Vriesea incurvata","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_780457","ESA_62711|RB_780457","4","1",,"RB_780457","RB_780457","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4881269",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA062711","778","Kozera, C. et al.",,"1999-07-01","1999","7","1","1/7/1999",,,"Brasil","BR","São Paulo",,"Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr. João caçador, no Km 78 da Rodovia Pariquera-Iguape, no trecho com floresta de Restinga mais preservada.",,,,,,,,,,,,"Vriesea incurvata Gaudich.","Liliopsida","Poales","Bromeliaceae","Vriesea","species","Gaudich.","ACCEPTED",,,"Vriesea incurvata Gaudich.",,,,"Vriesea incurvata Gaudich.","Vriesea incurvata",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/6/27/11/esa00062711.dzi",,,,"GBIF","ESA",,"Kozera, C.","778","1999",,,,"Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape, no trecho com floresta de restinga mais preservada",,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",493398,"Vriesea incurvata","Gaudich.","name_w_authors","Bromeliaceae","Vriesea incurvata","Gaudich.","species","name accepted","bfo-6483",,,"Vriesea incurvata Gaudich.","Vriesea","Bromeliaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7833333,-47.7,"coord_original","miliseconds","high","Vriesea incurvata","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","ESA_62711","ESA_62711|RB_780457","4","1",,"RB_780457","RB_780457","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","107771","84","Sampaio, D; Maltez, HM; Silva, C; Almeida, A; Silva, MMR",,"1999-01-07","1999","1","7",,,,"Brasil","BR","São Paulo",,"Iguape","Estação Ecológica dos Chauás, Trilha de acesso pelo sítio do sr. João Caçador, no km 78 da rodovia Pariquera-Iguape",,,"-24.783333","-47.7",,,,,"Rodrigues, RR","1999-03-11",,"Solanum swartzianum Roem. & Schult.","Magnoliopsida","Solanales","Solanaceae","Solanum","species","Roem. & Schult.","ACCEPTED",,,"Solanum swartzianum Roem. & Schult.",,,,"Solanum swartzianum","Solanum swartzianum",,"WGS84","https://images.cria.org.br/viewer/UEC049381",,,,"GBIF","UEC",,"Sampaio, D.","84","1999","Rodrigues, R.R.","1999","Maltez, H.M.; Silva, C.; Almeida, A.; Silva, M.M.R.","Sampaio",,"brazil","sao paulo","iguape","estacao ecologica dos chauas, no km 78 da rodovia pariquera-iguape","estacao ecologica de chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",97222,"Solanum swartzianum","Roem. & Schult.","name_w_authors","Solanaceae","Solanum swartzianum","Roem. & Schult.","species","name accepted","bfo-14872",,,"Solanum swartzianum Roem. & Schult.","Solanum","Solanaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","Solanum swartzianum","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","UEC_107771","BHCB_60623|ESA_62181|UEC_107771","2","0.5","ESA_62181","BHCB_60623","BHCB_60623","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6288198",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA062181","84","Sampaio, D.",,"1999-01-07","1999","1","7","7/1/1999",,,"Brasil","BR","São Paulo",,"Iguape","Estação Ecológica dos Chauás, Trilha de acesso pelo sítio do sr. João Caçador, no km 78 da rodovia Pariquera-Iguape",,,,,,,,,"Rodrigues, R.R.",,,"Solanum swartzianum Roem. & Schult.","Magnoliopsida","Solanales","Solanaceae","Solanum","species","Roem. & Schult.","ACCEPTED",,,"Solanum swartzianum Roem. & Schult.",,,,"Solanum swartzianum Roem. & Schult.","Solanum swartzianum",,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/6/21/81/esa00062181.dzi",,,,"GBIF","ESA",,"Sampaio, D.","84","1999","Rodrigues, R.R.","1999",,"Sampaio",,"brazil","sao paulo","iguape","estacao ecologica dos chauas, no km 78 da rodovia pariquera-iguape",,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",680619,"Solanum swartzianum","Roem. & Schult.","name_w_authors","Solanaceae","Solanum swartzianum","Roem. & Schult.","species","name accepted","bfo-14872",,,"Solanum swartzianum Roem. & Schult.","Solanum","Solanaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","Solanum swartzianum","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","ESA_62181","BHCB_60623|ESA_62181|UEC_107771","2","0.5","ESA_62181","BHCB_60623","BHCB_60623","coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,,,"UFMG","BHCB",,"PRESERVED_SPECIMEN","60618","46",,"<nO>Árvore de 10 m. Frutos imaturos verdes.; Floresta Ombrófila Densa. Floresta apresentando fortes sinais de perturbação antrópica</nO>",,"1999","1","6",,,"<nO>Árvore de 10 m. Frutos imaturos verdes.; Floresta Ombrófila Densa. Floresta apresentando fortes sinais de perturbação antrópica</nO>","Brasil",,"São Paulo","Iguape","Iguape","Estação Ecológica dos Chauás, Trilha de acesso pelo sitio do Sr. João Caçador, no km 78 da Rodovia Pariquera-Iguape",,,"-24.783333","-47.7",,"-24.783333","-47.7",,"Knapp, S","2013-0-   0",,"Solanum pseudoquina",,,"Solanaceae","Solanum",,,,"-24.783333","-47.7",,"0","0","2013",,"pseudoquina",,,,,,"BHCB018917","Splink","BHCB",,,"46","1999","Knapp, S.","2013",,,,"brazil","sao paulo","iguape","estacao ecologica dos chauas, no km 78 da rodovia pariquera-iguape","estacao ecologica dos chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county",1321044,"Solanum pseudoquina","A.St.-Hil.","possibly_ok","Solanaceae","Solanum pseudoquina","A.St.-Hil.","species","name accepted","bfo-14836",,,"Solanum pseudoquina A.St.-Hil.","Solanum","Solanaceae","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","Solanum pseudoquina","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","BHCB_60618",,"cc","cc",,,,"coord_original","Low","ESTAÇÃO ECOLÓGICA CHAÚAS"
