"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,,,"Mined from GenBank, NCBI","Mined from GenBank, NCBI",,"MATERIAL_SAMPLE","CCMA UFSCar 150",,,,"1992-01-01","1992","1","1",,,,"BR","BR",,,,,,,"-21.6079","-47.7703",,,,,,,,"Sphaeropleales","Chlorophyceae","Sphaeropleales",,,"order",,"ACCEPTED",,,"Sphaeropleales",,,,"Sphaeropleales",,,,,,,,"GBIF","Mined from GenBank, NCBI","code not found",,,"1992",,,,,,"brazil",,,,,"country","brazil","brazil",-10.74257447,-53.08032013,"country",1866892,"Sphaeropleales sp.",,"order_as_genus",,"Sphaeropleales sp.",,"order","not found",,,,"Sphaeropleales sp.",,,"brazil","Brazil",,,,"gadm",TRUE,-21.6079,-47.7703,"coord_original","miliseconds","unknown",,"ok_same_resolution","ok_country",,,"no_cannot_check","no_match","Mined from GenBank, NCBI_CCMAUFSCar150",,"cc","cc",,,,"coord_original","Low","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","194578","A7","Agostini, K; et al.",,"2000-05-19","2000","5","19",,,,"Brazil","BR","São Paulo",,,"Estação Ecológica de Jataí",,,,,,,,,"Tozzi, AMGA",,,"Vivianiaceae","Magnoliopsida","Geraniales","Vivianiaceae",,"family",,"ACCEPTED",,,"Vivianiaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC133990",,,,"GBIF","UEC",,"Agostini, K.","A7","2000","Tozzi, A.M.G.A.",,,"Agostini",,"brazil","sao paulo","estacao ecologica de jatai","estacao ecologica de jatai",,"locality","brazil_sao paulo_estacao ecologica jatai","brazil_sao paulo",-22.2584562,-48.7420254,"state",1763888,"Vivianiaceae","Klotzsch","family_as_genus","Vivianiaceae","Vivianiaceae","Klotzsch","family","name accepted","bfo-249",,,"Vivianiaceae Klotzsch",,"Vivianiaceae","brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","low",,"check_local.2state","ok_state_gazet",,,"no_cannot_check","full_name_match","UEC_194578",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","194573","s.n.","Agostini, K; et al.",,"2000-05-19","2000","5","19",,,,"Brazil","BR","São Paulo",,,"Estação ecológica de Jataí.",,,,,,,,,"Tozzi, AMGA",,,"Myrtaceae","Magnoliopsida","Myrtales","Myrtaceae",,"family",,"ACCEPTED",,,"Myrtaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC137419",,,,"GBIF","UEC",,"Agostini, K.",,"2000","Tozzi, A.M.G.A.",,,"Agostini",,"brazil","sao paulo","estacao ecologica de jatai","estacao ecologica de jatai",,"locality","brazil_sao paulo_estacao ecologica jatai","brazil_sao paulo",-22.2584562,-48.7420254,"state",1763979,"Myrtaceae","Juss.","family_as_genus","Myrtaceae","Myrtaceae","Juss.","family","name accepted","bfo-171",,,"Myrtaceae Juss.",,"Myrtaceae","brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","low",,"check_local.2state","ok_state_gazet",,FALSE,"no_cannot_check","full_name_match","UEC_194573",,"cc","cc",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","907","404","Marcondes-Ferreira, W.; Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,"1991-09-16","1991","9","16",,,,"Brasil","BR","São Paulo",,"Luiz Antônio","Estação Ecológica de Jataí",,,"-21.566667","-47.733333",,,,,"Barisela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84",,,,,"GBIF","SPFR",,"Marcondes-Ferreira, W.","404","1991","Barisela, J.R.",,"Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.","Marcondes-Ferreira","Amaral, H.V.; Mancini, G.V.; Silva, G.A.","brazil","sao paulo","luiz antonio","estacao ecologica de jatai",,"locality","brazil_sao paulo_luiz antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county",1771741,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_luis antonio","Brazil","São Paulo","Luís Antônio",,"ibge",TRUE,-21.566667,-47.733333,"coord_original","minutes","low",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPFR_907",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","905","429","Marcondes-Ferreira, W.; Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,"1991-09-19","1991","9","19",,,,"Brasil","BR","São Paulo",,"Luiz Antônio","Estação Ecológica de Jataí",,,"-21.566667","-47.733333",,,,,"Barisela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84",,,,,"GBIF","SPFR",,"Marcondes-Ferreira, W.","429","1991","Barisela, J.R.",,"Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.","Marcondes-Ferreira","Amaral, H.V.; Mancini, G.V.; Silva, G.A.","brazil","sao paulo","luiz antonio","estacao ecologica de jatai",,"locality","brazil_sao paulo_luiz antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county",1771746,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_luis antonio","Brazil","São Paulo","Luís Antônio",,"ibge",TRUE,-21.566667,-47.733333,"coord_original","minutes","low",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPFR_905",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","895","431","Marcondes-Ferreira, W.; Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,"1991-09-16","1991","9","16",,,,"Brasil","BR","São Paulo",,"Luiz Antônio","Estação Ecológica de Jataí",,,"-21.566667","-47.733333",,,,,"Barisela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84",,,,,"GBIF","SPFR",,"Marcondes-Ferreira, W.","431","1991","Barisela, J.R.",,"Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.","Marcondes-Ferreira","Amaral, H.V.; Mancini, G.V.; Silva, G.A.","brazil","sao paulo","luiz antonio","estacao ecologica de jatai",,"locality","brazil_sao paulo_luiz antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county",1771802,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_luis antonio","Brazil","São Paulo","Luís Antônio",,"ibge",TRUE,-21.566667,-47.733333,"coord_original","minutes","low",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPFR_895",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","894","430","Marcondes-Ferreira, W.; Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,"1991-09-16","1991","9","16",,,,"Brasil","BR","São Paulo",,"Luiz Antônio","Estação Ecológica de Jataí",,,"-21.566667","-47.733333",,,,,"Barisela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84",,,,,"GBIF","SPFR",,"Marcondes-Ferreira, W.","430","1991","Barisela, J.R.",,"Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.","Marcondes-Ferreira","Amaral, H.V.; Mancini, G.V.; Silva, G.A.","brazil","sao paulo","luiz antonio","estacao ecologica de jatai",,"locality","brazil_sao paulo_luiz antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county",1771803,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_luis antonio","Brazil","São Paulo","Luís Antônio",,"ibge",TRUE,-21.566667,-47.733333,"coord_original","minutes","low",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPFR_894",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","896","399","Marcondes-Ferreira, W.; Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,"1991-09-16","1991","9","16",,,,"Brasil","BR","São Paulo",,"Luiz Antônio","Estação Ecológica de Jataí",,,"-21.566667","-47.733333",,,,,"Barisela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84",,,,,"GBIF","SPFR",,"Marcondes-Ferreira, W.","399","1991","Barisela, J.R.",,"Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.","Marcondes-Ferreira","Amaral, H.V.; Mancini, G.V.; Silva, G.A.","brazil","sao paulo","luiz antonio","estacao ecologica de jatai",,"locality","brazil_sao paulo_luiz antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county",1771804,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_luis antonio","Brazil","São Paulo","Luís Antônio",,"ibge",TRUE,-21.566667,-47.733333,"coord_original","minutes","low",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPFR_896",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","2054","432","Marcondes-Ferreira, W.; Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,"1991-09-16","1991","9","16",,,,"Brasil","BR","São Paulo",,"Luiz Antônio","Estação Ecológica de Jataí",,,"-21.566667","-47.733333",,,,,"Barisela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.da",,,"Malpighiaceae","Magnoliopsida","Malpighiales","Malpighiaceae",,"family",,"ACCEPTED",,,"Malpighiaceae",,,,,,,"WGS84",,,,,"GBIF","SPFR",,"Marcondes-Ferreira, W.","432","1991","Barisela, J.R.",,"Barosela, J.R.; Amaral, H.V.; Mancini, G.V.; Silva, G.A.","Marcondes-Ferreira","Amaral, H.V.; Mancini, G.V.; Silva, G.A.","brazil","sao paulo","luiz antonio","estacao ecologica de jatai",,"locality","brazil_sao paulo_luiz antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county",1771815,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_luis antonio","Brazil","São Paulo","Luís Antônio",,"ibge",TRUE,-21.566667,-47.733333,"coord_original","minutes","low",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPFR_2054",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","194574","A9","Agostini, K; et al.",,"2000-05-19","2000","5","19",,,,"Brazil","BR","São Paulo",,,"Estação ecológica de Jataí.",,,,,,,,,"Tozzi, AMGA",,,"Bignoniaceae","Magnoliopsida","Lamiales","Bignoniaceae",,"family",,"ACCEPTED",,,"Bignoniaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC137418",,,,"GBIF","UEC",,"Agostini, K.","A9","2000","Tozzi, A.M.G.A.",,,"Agostini",,"brazil","sao paulo","estacao ecologica de jatai","estacao ecologica de jatai",,"locality","brazil_sao paulo_estacao ecologica jatai","brazil_sao paulo",-22.2584562,-48.7420254,"state",1763977,"Bignoniaceae","Juss.","family_as_genus","Bignoniaceae","Bignoniaceae","Juss.","family","name accepted","bfo-112305",,,"Bignoniaceae Juss.",,"Bignoniaceae","brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","low",,"check_local.2state","ok_state_gazet",,FALSE,"no_cannot_check","full_name_match","UEC_194574",,"0","0",,,,"plantr_exact","High","ESTAÇÃO ECOLÓGICA JATAÍ"
