"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN","36134","14","Ventura, E.",,"2023-07-05","2023","7","5",,,,"Brasil","BR","São Paulo",,"Mirassol","Estação ecológica do Noroeste Paulista",,,"-20.8466","-49.43674",,,,,"Ventura, E.","2023-01-01",,"Asteraceae","Asteraceae",,"family",,"ACCEPTED",,,"Asteraceae",,,,,,,"WGS84",,,,,"GBIF","SJRP",,"Ventura, E.","14","2023","Ventura, E.","2023",,"Ventura",,"brazil","sao paulo","mirassol","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_mirassol","brazil_sao paulo_mirassol",-20.82751902,-49.50436813,"county","Asteraceae","Bercht. & J.Presl","family_as_genus","Asteraceae","Asteraceae","Bercht. & J.Presl","family","name accepted","bfo-55",,,"Asteraceae Bercht. & J.Presl",,"Asteraceae",,1738483,"brazil_sao paulo_mirassol","Brazil","São Paulo","Mirassol",,"ibge","low",TRUE,-20.8466,-49.43674,"coord_original","miliseconds","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","SJRP_36134",,"0","0",,,,"High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4803616",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00011338","532","Valéria Stranghetti",,"1995-11-16","1995","11","16","1995-11-16",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Verbenaceae","Verbenaceae",,"family",,"ACCEPTED",,,"Verbenaceae",,,,,,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/1/13/38/sjrp00011338.dzi",,,,"GBIF","SJRP",,"Stranghetti, V.","532","1995",,,,"Stranghetti",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Verbenaceae","J.St.-Hil.","family_as_genus","Verbenaceae","Verbenaceae","J.St.-Hil.","family","name accepted","bfo-246",,,"Verbenaceae J.St.-Hil.",,"Verbenaceae",,1731208,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SJRP_11338","SJRP_11338|SJRP_23132","1","0.25","SJRP_23132","SJRP_23132","SJRP_23132","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN","23175","23","Bordin, Renata",,"1997-03-26","1997","3","26",,,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,"-20.81","-49.380556",,,,,,,,"Scrophulariaceae","Scrophulariaceae",,"family",,"ACCEPTED",,,"Scrophulariaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/SJRP00010844",,,,"GBIF","SJRP",,"Bordin, R.","23","1997",,,,"Bordin",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Scrophulariaceae","Juss.","family_as_genus","Scrophulariaceae","Scrophulariaceae","Juss.","family","name accepted","bfo-221",,,"Scrophulariaceae Juss.",,"Scrophulariaceae",,1727187,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SJRP_23175","SJRP_10844|SJRP_23175","4","1","SJRP_23175","SJRP_23175","SJRP_23175","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4803095",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00010844","23","Bordin, Renata",,"1997-03-26","1997","3","26","1997-03-26",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Scrophulariaceae","Scrophulariaceae",,"family",,"ACCEPTED",,,"Scrophulariaceae",,,,"mercadomia sp",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/1/8/44/sjrp00010844.dzi",,,,"GBIF","SJRP",,"Bordin, R.","23","1997",,,,"Bordin",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Scrophulariaceae","Juss.","family_as_genus","Scrophulariaceae","Scrophulariaceae","Juss.","family","name accepted","bfo-221",,,"Scrophulariaceae Juss.",,"Scrophulariaceae",,1730896,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SJRP_10844","SJRP_10844|SJRP_23175","4","1","SJRP_23175","SJRP_23175","SJRP_23175","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4803008",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00010769","492","Andréia Alves Rezende",,"1996-08-01","1996","8","1","1996-08-01",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Sapindaceae","Sapindaceae",,"family","Kunth","ACCEPTED",,,"Sapindaceae",,,,"Sapindaceae",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/1/7/69/sjrp00010769.dzi",,,,"GBIF","SJRP",,"Rezende, A.A.","492","1996",,,,"Rezende",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Sapindaceae sp.","Kunth","family_as_genus",,"Sapindaceae sp.","Kunth","family","not found",,,,"Sapindaceae sp. Kunth",,"Sapindaceae",,1767845,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","SJRP_10769","SJRP_10769|SJRP_13569","3","0.75","SJRP_13569","SJRP_13569","SJRP_13569","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4824860",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00009977","587","Andréia Alves Rezende",,"1997-04-23","1997","4","23","1997-04-23",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Rubiaceae","Rubiaceae",,"family","Schum.","ACCEPTED",,,"Rubiaceae",,,,"Rubiaceae",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/0/99/77/sjrp00009977.dzi",,,,"GBIF","SJRP",,"Rezende, A.A.","587","1997",,,,"Rezende",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Rubiaceae sp.","Schum.","family_as_genus",,"Rubiaceae sp.","Schum.","family","not found",,,,"Rubiaceae sp. Schum.",,"Arecaceae",,1767888,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","SJRP_9977","FUEL_27046|SJRP_17951|SJRP_9977","1","0.25","SJRP_17951","SJRP_17951","SJRP_17951","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4824865",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00009981","310","Andréia Alves Rezende",,"1996-02-23","1996","2","23","1996-02-23",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Rubiaceae","Rubiaceae",,"family","Schum.","ACCEPTED",,,"Rubiaceae",,,,"Rubiaceae",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/0/99/81/sjrp00009981.dzi",,,,"GBIF","SJRP",,"Rezende, A.A.","310","1996",,,,"Rezende",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Rubiaceae sp.","Schum.","family_as_genus",,"Rubiaceae sp.","Schum.","family","not found",,,,"Rubiaceae sp. Schum.",,"Arecaceae",,1767893,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","SJRP_9981","SJRP_13537|SJRP_9981|SP_314053|UEC_92996","1","0.25","SJRP_13537","SJRP_13537","SJRP_13537","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4819710",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00005263","662","Valéria Stranghetti",,"1996-04-17","1996","4","17","1996-04-17",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Poaceae","Poaceae",,"family",,"ACCEPTED",,,"Poaceae",,,,"penmisetum purpureum",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/0/52/63/sjrp00005263.dzi",,,,"GBIF","SJRP",,"Stranghetti, V.","662","1996",,,,"Stranghetti",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",,1730754,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SJRP_5263","SJRP_23159|SJRP_5263","3","0.75","SJRP_23159","SJRP_23159","SJRP_23159","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","45100","802","V.Stanghetti & F.D.Arantes",,"1997-06-11","1997","6","11",,,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,"-20.81","-49.380556",,,,,,,,"Myrtaceae","Myrtaceae",,"family",,"ACCEPTED",,,"Myrtaceae",,,,,,,"WGS84",,,,,"GBIF","SPSF",,"Stanghetti, V.","802","1997",,,"Arantes, F.D.","Stanghetti",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Myrtaceae","Juss.","family_as_genus","Myrtaceae","Myrtaceae","Juss.","family","name accepted","bfo-171",,,"Myrtaceae Juss.",,"Myrtaceae",,1720881,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPSF_45100","SJRP_24177|SJRP_8680|SPSF_45100","4","1","SJRP_24177","SJRP_24177","SJRP_24177","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4818593",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00004251","577","Stranghetti, V.",,"1995-12-06","1995","12","6","1995-12-06",,,"Brasil","BR","São Paulo",,"São José do Rio Preto","Estação Ecológica do Noroeste Paulista",,,,,,,,,,,,"Euphorbiaceae","Euphorbiaceae",,"family","Muell. Arg.","ACCEPTED",,,"Euphorbiaceae",,,,"Euphorbiaceae",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/0/42/51/sjrp00004251.dzi",,,,"GBIF","SJRP",,"Stranghetti, V.","577","1995",,,,"Stranghetti",,"brazil","sao paulo","sao jose do rio preto","estacao ecologica do noroeste paulista",,"locality","brazil_sao paulo_sao jose rio preto","brazil_sao paulo_sao jose rio preto",-20.79748841,-49.35832492,"county","Euphorbiaceae sp.","Muell. Arg.","family_as_genus",,"Euphorbiaceae sp.","Muell. Arg.","family","not found",,,,"Euphorbiaceae sp. Muell. Arg.",,"Euphorbiaceae",,1767835,"brazil_sao paulo_sao jose rio preto","Brazil","São Paulo","São José do Rio Preto",,"ibge","unknown",TRUE,-20.81,-49.380556,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","SJRP_4251","SJRP_22912|SJRP_4251","3","0.75","SJRP_22912","SJRP_22912","SJRP_22912","High","plantr_exact","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA"
