"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/229",,"UFJF","CESJ",,"PRESERVED_SPECIMEN","72016","395","L.N. Gonçalves",,"2017-07-29","2017","7","29",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins, Antecume do Pico dos Marins",,,"-22.5","-45.121667",,,,,,,,"Poaceae","Poaceae",,"family",,"ACCEPTED",,,"Poaceae",,,,,,,"WGS84",,,,,"GBIF","CESJ",,"Goncalves, L.N.","395","2017",,,,"Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.5,-45.121667,"coord_original","seconds","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1625566,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"https://specieslink.net/col/229",,"UFJF","CESJ",,"PRESERVED_SPECIMEN","72031","410","L.N. Gonçalves",,"2017-07-29","2017","7","29",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins, Antecume do Pico dos Marins",,,"-22.5","-45.122222",,,,,,,,"Poaceae","Poaceae",,"family",,"ACCEPTED",,,"Poaceae",,,,,,,"WGS84",,,,,"GBIF","CESJ",,"Goncalves, L.N.","410","2017",,,,"Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.5,-45.122222,"coord_original","seconds","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1625567,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"229",,"UFJF","CESJ",,"PRESERVED_SPECIMEN","72031","410","L.N. Gonçalves",,,"2017","07","29",,,,"Brasil",,"São Paulo","Piquete","Piquete","Pico dos Marins, Antecume do Pico dos Marins",,,"-22.5","-45.122222",,"-22.5","-45.122222",,,,,"Poaceae","Poaceae",,,,,,,,,,,,,,,,,,"CESJ072031","Splink","CESJ",,"Goncalves, L.N.","410","2017",,,,"Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.5,-45.122222,"coord_original","seconds","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1639144,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"229",,"UFJF","CESJ",,"PRESERVED_SPECIMEN","72016","395","L.N. Gonçalves",,,"2017","07","29",,,,"Brasil",,"São Paulo","Piquete","Piquete","Pico dos Marins, Antecume do Pico dos Marins",,,"-22.5","-45.121667",,"-22.5","-45.121667",,,,,"Poaceae","Poaceae",,,,,,,,,,,,,,,,,,"CESJ072016","Splink","CESJ",,"Goncalves, L.N.","395","2017",,,,"Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.5,-45.121667,"coord_original","seconds","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1639160,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
"Physical Object",,,,"JBRJ","RB",,,"RB00844934","160","L.N. Gonçalves; P. Duffles; E. Fernandez & T. Lima",,"2013-09-03","2013","9","3",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins. Bifurcação da trilha da cruz de ferro, próximo à pedra do golfinho. Area de Proteção Ambiental Serra da Mantiqueira",,,"-22.4972222","-45.1288889",,"22º29´50´´","45º7´44´´W",,"Denise Pinheiro da Costa","2016-6",,"Sphagnum","Sphagnaceae","Sphagnum","genus",,,,,,,,,"Sphagnum",,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/49/34/00844934.jpg",,,,"JABOT","RB",,"Goncalves, L.N.","160","2013","Costa, D.P.","2016","Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.4972222,-45.1288889,"coord_original","miliseconds","Sphagnum sp.",,"indet",,"Sphagnum sp.",,"genus","not found",,,,"Sphagnum sp.","Sphagnum","Asteraceae","low","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","no_match",,1705105,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00844934","160","L.N. Gonçalves; P. Duffles; E. Fernandez & T. Lima",,"2013-09-03","2013","9","3",,,,"Brasil","BR","São Paulo",,"Piquete","Pico dos Marins. Bifurcação da trilha da cruz de ferro, próximo à pedra do golfinho. Area de Proteção Ambiental Serra da Mantiqueira",,,"-22.497222","-45.128889",,"22º29´50´´","45º7´44´´W",,"Denise Pinheiro da Costa","2016-06-01",,"Sphagnum","Sphagnaceae","Sphagnum","genus","L.","ACCEPTED",,,"Sphagnum L.",,,,"Sphagnum L.",,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/49/34/00844934.jpg",,,,"GBIF","RB",,"Goncalves, L.N.","160","2013","Costa, D.P.","2016","Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.497222,-45.128889,"coord_original","seconds","Sphagnum","L.","name_w_authors",,"Sphagnum","L.","genus","not found",,,,"Sphagnum L.","Sphagnum","Asteraceae","low","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","no_match",,1664382,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"https://specieslink.net/col/48",,"UEL","FUEL",,"PRESERVED_SPECIMEN","32379","33","Moreira, AJL; Koch, I",,"1995-04-05","1995","4","5",,,,"Brasil","BR","São Paulo",,"Cruzeiro","estrada da fazenda Boa Vista",,,"-22.483333","-45.016667",,,,,"Kellog, EA","1997-02-15",,"Pennisetum Rich.","Poaceae","Cenchrus","genus",,"SYNONYM",,,"Cenchrus L.",,,,"Pennisetum",,,"WGS84",,,,,"GBIF","FUEL",,"Moreira, A.J.L.","33","1995","Kellog, E.A.","1997","Koch, I.","Moreira",,"brazil","sao paulo","cruzeiro","estrada da fazenda boa vista",,"locality","brazil_sao paulo_cruzeiro","brazil_sao paulo_cruzeiro",-22.55138262,-45.00586734,"county","brazil_sao paulo_cruzeiro","Brazil","São Paulo","Cruzeiro",,"ibge",TRUE,-22.483333,-45.016667,"coord_original","minutes","Cenchrus","L.","name_w_authors","Poaceae","Cenchrus","L.","genus","replaced synonym","bfo-13073","Cenchrus","L.","Cenchrus L.","Cenchrus","Poaceae","low","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1496867,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN","32379","33","Moreira, AJL; Koch, I",,,"1995","04","05",,,,"Brasil",,"São Paulo","Cruzeiro","Cruzeiro","estrada da fazenda Boa Vista",,,"-22.483333","-45.016667",,"-22.483333","-45.016667",,"Kellog, EA","1997-02-15",,"Pennisetum","Poaceae","Pennisetum",,,,,,,"15","02","1997",,,,,,,,"FUEL026444","Splink","FUEL",,"Moreira, A.J.L.","33","1995","Kellog, E.A.","1997","Koch, I.","Moreira",,"brazil","sao paulo","cruzeiro","estrada da fazenda boa vista",,"locality","brazil_sao paulo_cruzeiro","brazil_sao paulo_cruzeiro",-22.55138262,-45.00586734,"county","brazil_sao paulo_cruzeiro","Brazil","São Paulo","Cruzeiro",,"ibge",TRUE,-22.483333,-45.016667,"coord_original","minutes","Cenchrus","L.","indet","Poaceae","Cenchrus","L.","genus","replaced synonym","bfo-13073","Cenchrus","L.","Cenchrus L.","Cenchrus","Poaceae","low","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1587721,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"https://specieslink.net/col/220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN","188140","749","Machado, TM; Machado, VA",,"2015-04-29","2015","4","29",,,,"Brasil","BR","São Paulo",,"Piquete","Pico do Marins",,,"-22.498611","-45.131667",,,,,,,,"Mikania Willd.","Asteraceae","Mikania","genus",,"ACCEPTED",,,"Mikania Willd.",,,,"Mikania",,,"WGS84",,,,,"GBIF","BHCB",,"Machado, T.M.","749","2015",,,"Machado, V.A.","Machado",,"brazil","sao paulo","piquete","pico do marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.498611,-45.131667,"coord_original","seconds","Mikania","Willd.","name_w_authors","Asteraceae","Mikania","Willd.","genus","name accepted","bfo-5344",,,"Mikania Willd.","Mikania","Asteraceae","unknown","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","full_name_match",,1485347,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
,,"220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN","188140","749","Machado, TM; Machado, VA",,,"2015","04","29",,,,"Brasil",,"São Paulo","Piquete","Piquete","Pico do Marins",,,"-22.498611","-45.131667",,"-22.498611","-45.131667",,,,,"Mikania","Asteraceae","Mikania",,,,,,,,,,,,,,,,,"BHCB188140","Splink","BHCB",,"Machado, T.M.","749","2015",,,"Machado, V.A.","Machado",,"brazil","sao paulo","piquete","pico do marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"ibge",TRUE,-22.498611,-45.131667,"coord_original","seconds","Mikania","Willd.","indet","Asteraceae","Mikania","Willd.","genus","name accepted","bfo-5344",,,"Mikania Willd.","Mikania","Asteraceae","unknown","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","full_name_match",,1559478,"Low","coord_original","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA"
