"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/111",,"INMA","MBML-HERBARIO",,"PRESERVED_SPECIMEN","45126","0","G.J. Shepherd; R. Belinello",,"1995-04-05","1995","4","5",,,,"Brasil","BR","São Paulo",,"Cruzeiro","Estrada da Faz. Boa Vista",,,"-22.483889","-45.05",,,,,,,,"Cytharexylon Batsch.","Verbenaceae","Cytharexylon","genus",,"DOUBTFUL",,,"Cytharexylon Batsch.",,,,"Cytarexylon",,,"WGS84","https://images.cria.org.br/viewer/MBML045126",,,,"GBIF","MBML-HERBARIO","code not found","Shepherd, G.J.",,"1995",,,"Belinello, R.","Shepherd",,"brazil","sao paulo","cruzeiro","estrada da fazenda boa vista",,"locality","brazil_sao paulo_cruzeiro","brazil_sao paulo_cruzeiro",-22.55138262,-45.00586734,"county","brazil_sao paulo_cruzeiro","Brazil","São Paulo","Cruzeiro",,"ibge",TRUE,-22.483889,-45.05,"coord_original","seconds","Citharexylum","L.","indet","Verbenaceae","Citharexylum","L.","genus","replaced orth. variant","bfo-15134",,,"Citharexylum L.","Citharexylum","Verbenaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1476067,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,,"111",,"MBML","MBML-HERBARIO",,"PRESERVED_SPECIMEN","45126","0","G.J. Shepherd; R. Belinello",,,"1995","04","05",,,,"Brasil",,"São Paulo","Cruzeiro","Cruzeiro","Estrada da Faz. Boa Vista",,,"-22.483889","-45.05",,"22S29'2""","45W2'60""",,,,,"Cytharexylum","Verbenaceae","Cytharexylum",,,,,,,,,,,,,,,,,"MBML045126","Splink","MBML",,"Shepherd, G.J.",,"1995",,,"Belinello, R.","Shepherd",,"brazil","sao paulo","cruzeiro","estrada da fazenda boa vista",,"locality","brazil_sao paulo_cruzeiro","brazil_sao paulo_cruzeiro",-22.55138262,-45.00586734,"county","brazil_sao paulo_cruzeiro","Brazil","São Paulo","Cruzeiro",,"ibge",TRUE,-22.483889,-45.05,"coord_original","seconds","Citharexylum","L.","indet","Verbenaceae","Citharexylum","L.","genus","name misspelled","bfo-15134",,,"Citharexylum L.","Citharexylum","Verbenaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1590240,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,,"https://specieslink.net/col/224",,"UnB","UB",,"PRESERVED_SPECIMEN","118774","49295","Gentry, AH",,"1985-01-08","1985","1","8",,,,"Brasil","BR","São Paulo",,"Ubatuba",,,,"-22.5","-45.083333",,,,,"Farias, R",,,"Tabebuia cassinoides (Lam.) DC.","Bignoniaceae","Tabebuia","species","(Lam.) DC.","ACCEPTED",,,"Tabebuia cassinoides (Lam.) DC.",,,,"Tabebuia cassinoides","Tabebuia cassinoides",,"WGS84",,,,,"GBIF","UB",,"Gentry, A.H.","49295","1985","Farias, R.",,,"Gentry",,"brazil","sao paulo","ubatuba",,,"municipality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.083333,"coord_original","minutes","Tabebuia cassinoides","(Lam.) DC.","name_w_authors","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","ok_same_resolution","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",186841,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,,,,"K","Herbarium",,"PRESERVED_SPECIMEN","K000991922","49295","Gentry, A.; Zardini, E.",,"1985-01-08T00:00","1985","1","8",,,,"Brazil","BR",,,"Ubatuba","Swamps at edge of town.",,,"-22.5","-45.083333",,,,,,,,"Tabebuia cassinoides (Lam.) DC.","Bignoniaceae","Tabebuia","species","(Lam.) DC.","ACCEPTED",,,"Tabebuia cassinoides (Lam.) DC.",,,,"Tabebuia cassinoides","Tabebuia cassinoides",,,,,,,"GBIF","K",,"Gentry, A.","49295","1985",,,"Zardini, E.","Gentry",,"brazil",,"ubatuba","swamps at edge of town",,"country","brazil_NA_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.083333,"coord_original","minutes","Tabebuia cassinoides","(Lam.) DC.","name_w_authors","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","ok_country2municip.","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",201758,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
"PhysicalObject",,"http://biocol.org/urn:lsid:biocol.org:col:15556",,"NY","NY","Vascular plants","PRESERVED_SPECIMEN","402780","49295","A. H. Gentry",,"1985-01-08","1985","1","8","08 Jan 1985","Swamps at edge of town.",,"Brazil","BR","São Paulo","Ubatuba Mun.","Ubatuba",,,"ca. 16 ft","-22.5","-45.08",,,,,,,,"Tabebuia cassinoides (Lam.) DC.","Bignoniaceae","Tabebuia","species","(Lam.) DC.","ACCEPTED",,,"Tabebuia cassinoides (Lam.) DC.",,,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia cassinoides",,,,,,,"GBIF","NY",,"Gentry, A.H.","49295","1985",,,,"Gentry",,"brazil","sao paulo","ubatuba",,,"municipality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.08,"coord_original","miliseconds","Tabebuia cassinoides","(Lam.) DC.","name_w_authors","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","ok_same_resolution","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",305073,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",,"US","US","NMNH Extant Biology","PRESERVED_SPECIMEN","US 3057418","49295","A. H. Gentry & E. M. Zardini",,"1985-01-08","1985","1","8",,,,"Brazil","BR","São Paulo",,,"Ubatuba.",,,"-22.5","-45.08",,,,,,,,"Tabebuia cassinoides (Lam.) DC.","Bignoniaceae","Tabebuia","species",,"ACCEPTED",,,"Tabebuia cassinoides (Lam.) DC.",,,,"Tabebuia cassinoides","Tabebuia cassinoides",,,"https://collections.nmnh.si.edu/media/?i=13465175",,,,"GBIF","US",,"Gentry, A.H.","49295","1985",,,"Zardini, E.M.","Gentry",,"brazil","sao paulo","ubatuba","ubatuba",,"locality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.08,"coord_original","miliseconds","Tabebuia cassinoides","(Lam.) DC.","name_w_authors","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",333242,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2547189",,,"NY","NY",,"PRESERVED_SPECIMEN","NY00402780","49295","A. H. Gentry",,"1985-01-08","1985","1","8","1985-01-08",,,"Brazil","BR","São Paulo",,"Ubatuba",,,,"-22.5","-45.08",,,,,,,,"Tabebuia cassinoides (Lam.) DC.","Bignoniaceae","Tabebuia","species","(Lam.) DC.","ACCEPTED",,,"Tabebuia cassinoides (Lam.) DC.",,,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia cassinoides",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/0/40/27/80/ny_00402780.dzi",,,,"GBIF","NY",,"Gentry, A.H.","49295","1985",,,,"Gentry",,"brazil","sao paulo","ubatuba",,,"municipality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.08,"coord_original","miliseconds","Tabebuia cassinoides","(Lam.) DC.","name_w_authors","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","ok_same_resolution","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",513646,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2226821",,,"K","K",,"PRESERVED_SPECIMEN","K000991922","49295","A. Gentry;E. Zardini",,"1985-01-08","1985","1","8","1985-01-08",,,"Brasil","BR","São Paulo",,"Ubatuba","Swamps at edge of town.",,,"-22.5","-45.083333",,,,,,,,"Tabebuia cassinoides (Lam.) DC.","Bignoniaceae","Tabebuia","species","(Lam.) DC.","ACCEPTED",,,"Tabebuia cassinoides (Lam.) DC.",,,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia cassinoides",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/9/91/92/2/k000991922.dzi",,,,"GBIF","K",,"Gentry, A.","49295","1985",,,"Zardini, E.","Gentry",,"brazil","sao paulo","ubatuba","swamps at edge of town",,"locality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.083333,"coord_original","minutes","Tabebuia cassinoides","(Lam.) DC.","name_w_authors","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",558451,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,,"67",,"NY","NY",,"PRESERVED_SPECIMEN","402780","49295","A. H. Gentry",,,"1985","01","08",,,,"Brazil",,"São Paulo","Ubatuba Mun.","Ubatuba Mun.",,,,"-22.5","-45.08",,,,,,,,"Tabebuia cassinoides","Bignoniaceae","Tabebuia",,"(Lam.) DC.",,,,,,,,,,,,,,,"NY00402780","Splink","NY",,"Gentry, A.H.","49295","1985",,,,"Gentry",,"brazil","sao paulo","ubatuba",,,"municipality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.08,"coord_original","miliseconds","Tabebuia cassinoides","(Lam.) DC.","possibly_ok","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","ok_same_resolution","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",1246165,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 3057418","49295","A. H. Gentry & E. M. Zardini",,,"1985","1","8",,,,"Brazil",,"São Paulo",,,"Ubatuba.",,,"-22.5","-45.08",,,,,,,,"Tabebuia cassinoides","Bignoniaceae","Tabebuia",,"(Lam.) DC.",,,,,,,,,,,,,,,"US03207148","Splink","US",,"Gentry, A.H.","49295","1985",,,"Zardini, E.M.","Gentry",,"brazil","sao paulo","ubatuba","ubatuba",,"locality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge",TRUE,-22.5,-45.08,"coord_original","miliseconds","Tabebuia cassinoides","(Lam.) DC.","possibly_ok","Bignoniaceae","Tabebuia cassinoides","(Lam.) DC.","species","name accepted","bfo-114267",,,"Tabebuia cassinoides (Lam.) DC.","Tabebuia","Bignoniaceae","high","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","Tabebuia cassinoides",1291573,"Low","coord_original","MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ"
