"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,,,"MBM","MBM",,"PRESERVED_SPECIMEN","444338","10132",,"<nO>Taquarinha, ramos alongados, escandentes e apoiantes, trepador na vegetação. Planta verde. Infrutescência castanhas.UNICATA.</nO>",,"2022","1","17",,,"<nO>Taquarinha, ramos alongados, escandentes e apoiantes, trepador na vegetação. Planta verde. Infrutescência castanhas.UNICATA.</nO>","Brasil",,"São Paulo","São Bernardo do Campo","São Bernardo do Campo","Represa Billings.",,,"-23.7655556","-46.5094444",,"23º45'56''S","46º30'34''W",,,,,"Poaceae",,,"Poaceae",,,,,"-23.7655556","-46.5094444",,,,,,,,,,,,"MBM444338","Splink","MBM",,,"10132","2022",,,,,,"brazil","sao paulo","sao bernardo do campo","represa billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1790580,"Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.7655556,-46.5094444,"coord_original","miliseconds","unknown",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","MBM_444338",,"cc","cc",,,,"coord_original","Low","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,,,,"UFBA","ALCB",,"PRESERVED_SPECIMEN","155055","1419",,"<nO>Flor amarela.; Montana.</nO>",,"2020","10","26",,,"<nO>Flor amarela.; Montana.</nO>","Brasil",,"São Paulo","São Bernado do Campo","São Bernado do Campo",,,,"-23.759444","-46.510556",,"-23.759444","-46.510556",,,"0-0-   0",,"Malpighiaceae",,,"Malpighiaceae",,,,,"-23.759444","-46.510556",,"0","0","0",,,,,,,,"ALCB088042","Splink","ALCB",,,"1419","2020",,"0-0-",,,,"brazil","sao paulo","sao bernado do campo",,,"municipality","brazil_sao paulo_sao bernado campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1783358,"Malpighiaceae","Juss.","family_as_genus","Malpighiaceae","Malpighiaceae","Juss.","family","name accepted","bfo-155",,,"Malpighiaceae Juss.",,"Malpighiaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.759444,-46.510556,"coord_original","seconds","unknown",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ALCB_155055",,"cc","cc",,,,"coord_original","Low","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,,,,"IBt","SP",,"PRESERVED_SPECIMEN","526079","2364",,,,"2021","3","16",,,,"Brasil",,"São Paulo","São Bernardo do Campo","São Bernardo do Campo","Parque Estadual das Águas da Billings",,,"-23.754467","-46.507817",,"-23.754467","-46.507817",,,,,"Lauraceae",,,"Lauraceae",,,,,"-23.754467","-46.507817",,,,,,,,,,,,,"Splink","SP",,,"2364","2021",,,,,,"brazil","sao paulo","sao bernardo do campo","parque estadual das aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1788826,"Lauraceae","Juss.","family_as_genus","Lauraceae","Lauraceae","Juss.","family","name accepted","bfo-143",,,"Lauraceae Juss.",,"Lauraceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.754467,-46.507817,"coord_original","miliseconds","unknown",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SP_526079",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,,,,"IBt","SP",,"PRESERVED_SPECIMEN","526075","2360",,,,"2021","3","16",,,,"Brasil",,"São Paulo","São Bernardo do Campo","São Bernardo do Campo","Parque Estadual das Águas da Billings",,,"-23.7558","-46.5198",,"-23.7558","-46.5198",,,,,"Lauraceae",,,"Lauraceae",,,,,"-23.7558","-46.5198",,,,,,,,,,,,,"Splink","SP",,,"2360","2021",,,,,,"brazil","sao paulo","sao bernardo do campo","parque estadual das aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1790127,"Lauraceae","Juss.","family_as_genus","Lauraceae","Lauraceae","Juss.","family","name accepted","bfo-143",,,"Lauraceae Juss.",,"Lauraceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.7558,-46.5198,"coord_original","miliseconds","unknown",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SP_526075",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6163409",,,"MBM","MBM",,"PRESERVED_SPECIMEN","MBM00444339","10133","Engels, M.E.;Mazziero, F.F.F.,Dall´Agnol, R.T.",,"2022-01-17","2022","1","17","2022-01-17",,,"Brasil","BR","Sp",,"São Bernardo do Campo","Represa Billings",,,"-23.765556","-46.509444",,,,,,,,"Polybotrya Willd.","Polypodiopsida","Polypodiales","Dryopteridaceae","Polybotrya","genus",,"ACCEPTED",,,"Polybotrya Willd.",,,,"Polybotrya",,,"WGS84","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/43/39/mbm00444339_1.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/43/39/mbm00444339_2.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/43/39/mbm00444339.dzi",,,,"GBIF","MBM",,"Engels, M.E.","10133","2022",,,"Mazziero, F.F.F.; Dall´agnol, R.T.","Engels",,"brazil","sao paulo","sao bernardo do campo","represa billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1661840,"Polybotrya","Willd.","name_w_authors","Dryopteridaceae","Polybotrya","Willd.","genus","name accepted","bfo-91122",,,"Polybotrya Willd.","Polybotrya","Dryopteridaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.765556,-46.509444,"coord_original","seconds","high",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","MBM_444339","HCF_37267|MBM_444339","1","0.25",,"HCF_37267","HCF_37267","coord_original","Low","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6497786",,,"HCF","HCF",,"PRESERVED_SPECIMEN","HCF00038051","10133","M.E. Engels F.F.F. Mazziero;R.T. Dall'Agnol",,"2022-01-17","2022","1","17","2022-01-17",,,"Brasil","BR","São Paulo",,"São Bernardo do Campo",,,,"-23.765556","-46.509444",,,,,,,,"Polybotrya Willd.","Polypodiopsida","Polypodiales","Dryopteridaceae","Polybotrya","genus",,"ACCEPTED",,,"Polybotrya Willd.",,,,"Polybotrya",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hcf/hcf/000/38/5/1/hcf00038051_2.dzi",,,,"GBIF","HCF",,"Mazziero, M.E.E.F.F.F.","10133","2022",,,"Dall'agnol, R.T.","Mazziero",,"brazil","sao paulo","sao bernardo do campo",,,"municipality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1673176,"Polybotrya","Willd.","name_w_authors","Dryopteridaceae","Polybotrya","Willd.","genus","name accepted","bfo-91122",,,"Polybotrya Willd.","Polybotrya","Dryopteridaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.765556,-46.509444,"coord_original","seconds","high",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","HCF_38051","HCF_38051|HCF_38052|HCF_38053","1","0.25",,"HCF_38051","HCF_38051","coord_original","Low","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6497788",,,"HCF","HCF",,"PRESERVED_SPECIMEN","HCF00038053","10133","M.E. Engels F.F.F. Mazziero;R.T. Dall'Agnol",,"2022-01-17","2022","1","17","2022-01-17",,,"Brasil","BR","São Paulo",,"São Bernardo do Campo",,,,"-23.765556","-46.509444",,,,,,,,"Polybotrya Willd.","Polypodiopsida","Polypodiales","Dryopteridaceae","Polybotrya","genus",,"ACCEPTED",,,"Polybotrya Willd.",,,,"Polybotrya",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hcf/hcf/000/38/5/3/hcf00038053_3.dzi",,,,"GBIF","HCF",,"Mazziero, M.E.E.F.F.F.","10133","2022",,,"Dall'agnol, R.T.","Mazziero",,"brazil","sao paulo","sao bernardo do campo",,,"municipality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1673177,"Polybotrya","Willd.","name_w_authors","Dryopteridaceae","Polybotrya","Willd.","genus","name accepted","bfo-91122",,,"Polybotrya Willd.","Polybotrya","Dryopteridaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.765556,-46.509444,"coord_original","seconds","high",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","HCF_38053","HCF_38051|HCF_38052|HCF_38053","1","0.25",,"HCF_38051","HCF_38051","coord_original","Low","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6497787",,,"HCF","HCF",,"PRESERVED_SPECIMEN","HCF00038052","10133","M.E. Engels F.F.F. Mazziero;R.T. Dall'Agnol",,"2022-01-17","2022","1","17","2022-01-17",,,"Brasil","BR","São Paulo",,"São Bernardo do Campo",,,,"-23.765556","-46.509444",,,,,,,,"Polybotrya Willd.","Polypodiopsida","Polypodiales","Dryopteridaceae","Polybotrya","genus",,"ACCEPTED",,,"Polybotrya Willd.",,,,"Polybotrya",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hcf/hcf/000/38/5/2/hcf00038052_1.dzi",,,,"GBIF","HCF",,"Mazziero, M.E.E.F.F.F.","10133","2022",,,"Dall'agnol, R.T.","Mazziero",,"brazil","sao paulo","sao bernardo do campo",,,"municipality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1673178,"Polybotrya","Willd.","name_w_authors","Dryopteridaceae","Polybotrya","Willd.","genus","name accepted","bfo-91122",,,"Polybotrya Willd.","Polybotrya","Dryopteridaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",TRUE,-23.765556,-46.509444,"coord_original","seconds","high",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","HCF_38052","HCF_38051|HCF_38052|HCF_38053","1","0.25",,"HCF_38051","HCF_38051","coord_original","Low","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,,,,"UPCB","UPCB",,"PRESERVED_SPECIMEN","UPCB00081484","12459","Engels, M.E.","Hemiepífita até 1,5 m dp solo, no sub-bosque.",,"2022","1","15",,,"Hemiepífita até 1,5 m dp solo, no sub-bosque.","Brasil",,"São Paulo",,"São Bernardo do Campo","Parque Estadual Águas da Billings",,"808","23º 45' 31"""" S","46º 30' 39"""" W",,"23º 45' 31"""" S","46º 30' 39"""" W","não","Engels, M.E.","15/01/2022",,"Polybotrya",,,"Dryopteridaceae","Polybotrya","genus",,,,,,,,,"DRYOPTERIDACEAE",,,,,,"UPCB 111341",,"Reflora","UPCB",,"Engels, M.E.","12459","2022","Engels, M.E.","2022",,"Engels",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1757183,"Polybotrya","Willd.","indet","Dryopteridaceae","Polybotrya","Willd.","genus","name accepted","bfo-91122",,,"Polybotrya Willd.","Polybotrya","Dryopteridaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",FALSE,-23.7586111111111,-46.5108333333333,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","UPCB_81484",,"0","0",,,,"plantr_exact","High","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
,,,,"UPCB","UPCB",,"PRESERVED_SPECIMEN","UPCB00081486","12461","Engels, M.E.","Hemiepífita ca 1 m do solo, no sub-bosque.",,"2022","1","15",,,"Hemiepífita ca 1 m do solo, no sub-bosque.","Brasil",,"São Paulo",,"São Bernardo do Campo","Parque Estadual Águas da Billings",,"808","23º 45' 31"""" S","46º 30' 39"""" W",,"23º 45' 31"""" S","46º 30' 39"""" W","não","Engels, M.E.","15/01/2022",,"Polybotrya",,,"Dryopteridaceae","Polybotrya","genus",,,,,,,,,"DRYOPTERIDACEAE",,,,,,"UPCB 111343",,"Reflora","UPCB",,"Engels, M.E.","12461","2022","Engels, M.E.","2022",,"Engels",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",1757185,"Polybotrya","Willd.","indet","Dryopteridaceae","Polybotrya","Willd.","genus","name accepted","bfo-91122",,,"Polybotrya Willd.","Polybotrya","Dryopteridaceae","brazil_sao paulo_sao bernardo campo","Brazil","São Paulo","São Bernardo do Campo",,"ibge",FALSE,-23.7586111111111,-46.5108333333333,"coord_original","miliseconds","high",,"check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","UPCB_81486",,"0","0",,,,"plantr_exact","High","PARQUE ESTADUAL ÁGUAS DA BILLINGS"
