"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","107901","89","Sztutman, M; Cezare, CHG; Santos, JD; Brito, MCC; Santos, MJC; Felipim, AP",,"1999-01-05","1999","1","5",,,,"Brazil","BR","São Paulo",,"Pariquera-Açu","Parque Estadual de Pariquera-abaixo, Floresta Ombrófila Densa. Trilha da Campina.",,,"-25.194381","-48.474872",,,,,"Breier, TB","2004-02-01",,"Rodriguezia venusta (Lindl.) Rchb.f.","Orchidaceae","Rodriguezia","species","Rchb.f.","SYNONYM",,,"Rodriguezia bracteata (Vell.) Hoehne",,,,"Rodriguezia venusta","Rodriguezia bracteata",,,"https://images.cria.org.br/viewer/UEC027164",,,,"GBIF","UEC",,"Sztutman, M.","89","1999","Gomes, G.S.","4525","Cezare, C.H.G.; Santos, J.D.; Brito, M.C.C.; Santos, M.J.C.; Felipim, A.P.","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual de pariquera-abaixo",,"locality","brazil_sao paulo_pariquera acu_parque estadual pariquera abaixo","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Orchidaceae","A.Juss.","family_as_genus","Orchidaceae","Rodriguezia venusta","Rchb.f.","family","name accepted","bfo-179",,,"Orchidaceae A.Juss.",,"Orchidaceae",,99885,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_107901","ESA_76856|SPSF_25217|UEC_107901","4","1","ESA_76856","SPSF_25217","UEC_107901","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4884117",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA076856","89","Sztutman, M. et al.",,"1999-05-01","1999","5","1","1/5/1999",,,"Brazil","BR","São Paulo",,"Pariquera-Açu","Parque Estadual de Pariquera-abaixo, Floresta Ombrófila Densa. Trilha da Campina.",,,,,,,,,"Gomes, G.S.",,,"Rodriguezia bracteata (Vell.) Hoehne","Orchidaceae","Rodriguezia","species",,"ACCEPTED",,,"Rodriguezia bracteata (Vell.) Hoehne",,,,"rodriguezia bracteata","Rodriguezia bracteata",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/7/68/56/esa00076856.dzi",,,,"GBIF","ESA",,"Sztutman, M.","89","1999","Gomes, G.S.","4525",,"Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual de pariquera-abaixo",,"municipality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Orchidaceae","A.Juss.","family_as_genus","Orchidaceae","Rodriguezia bracteata","(Vell.) Hoehne","family","name accepted","bfo-179",,,"Orchidaceae A.Juss.",,"Orchidaceae",,480871,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","ESA_76856","ESA_76856|SPSF_25217|UEC_107901","4","1","ESA_76856","SPSF_25217","UEC_107901","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","25217","89","M.Sztutman",,,"1999","01","05",,,,"Brazil",,"São Paulo","Pariquera-Açu","Pariquera-Açu","Parque Estadual de Pariquera-abaixo, Floresta Ombrófila Densa. Trilha da Campina.",,,"-24.709999","-47.880001","17990",,,,,,,"Rodriguezia venusta","Orchidaceae","Rodriguezia",,,,,,,,,,,,,,,,,"SPSF00025217","Splink","SPSF",,"Sztutman, M.","89","1999","Gomes, G.S.","4525",,"Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual de pariquera-abaixo",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Orchidaceae","A.Juss.","family_as_genus","Orchidaceae","Rodriguezia venusta","Rchb.f.","family","name accepted","bfo-179",,,"Orchidaceae A.Juss.",,"Orchidaceae",,834643,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_25217","ESA_76856|SPSF_25217|UEC_107901","4","1","ESA_76856","SPSF_25217","UEC_107901","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","107370","39","Godoy, JRL; Carneiro, PHM; Silva, CR; Mendonça, RR",,"1999-01-07","1999","1","7",,,,"Brasil","BR","SP",,"Pariquera-Açú","P.E. Pariquera Abaixo",,,"-25.192067","-48.4616",,,,,,,,"Ocimum L.","Lamiaceae","Ocimum","genus",,"ACCEPTED",,,"Ocimum L.",,,,"Ocimum",,,,"https://images.cria.org.br/viewer/UEC059614",,,,"GBIF","UEC",,"Godoy, J.R.L.","39","1999",,,"Carneiro, P.H.M.; Silva, C.R.; Mendonca, R.R.","Godoy",,"brazil","sao paulo","pariquera-acu","parque estadual pariquera abaixo",,"locality","brazil_sao paulo_pariquera acu_parque estadual pariquera abaixo","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Ocimum","L.","name_w_authors","Lamiaceae","Ocimum","L.","genus","name accepted","bfo-8276",,,"Ocimum L.","Ocimum","Lamiaceae",,1551874,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","UEC_107370","ESA_76193|SPSF_24736|UEC_107370","4","1",,"SPSF_24736","SPSF_24736","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4884013",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA076193","39","Godoy, J.R.L. et al.",,"1999-07-01","1999","7","1","1/7/1999",,,"Brasil","BR","SP",,"Pariquera-Açú","P.E. Pariquera Abaixo",,,,,,,,,,,,"Ocimum L.","Lamiaceae","Ocimum","genus",,"ACCEPTED",,,"Ocimum L.",,,,"Ocimum",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/7/61/93/esa00076193.dzi",,,,"GBIF","ESA",,"Godoy, J.R.L.","39","1999",,,,"Godoy",,"brazil","sao paulo","pariquera-acu","parque estadual pariquera abaixo",,"municipality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Ocimum","L.","name_w_authors","Lamiaceae","Ocimum","L.","genus","name accepted","bfo-8276",,,"Ocimum L.","Ocimum","Lamiaceae",,1586716,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_76193","ESA_76193|SPSF_24736|UEC_107370","4","1",,"SPSF_24736","SPSF_24736","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","24736","39","J.R.L.Godoy",,,"1999","01","07",,,,"Brasil",,"SP","Pariquera-Açú","Pariquera-Açú","P.E. Pariquera Abaixo",,,"-24.709999","-47.880001","17990",,,,,,,"Ocimum","Lamiaceae","Ocimum",,,,,,,,,,,,,,,,,"SPSF00024736","Splink","SPSF",,"Godoy, J.R.L.","39","1999",,,,"Godoy",,"brazil","sao paulo","pariquera-acu","parque estadual pariquera abaixo",,"locality","brazil_sao paulo_pariquera acu_parque estadual pariquera abaixo","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Ocimum","L.","indet","Lamiaceae","Ocimum","L.","genus","name accepted","bfo-8276",,,"Ocimum L.","Ocimum","Lamiaceae",,1631966,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","SPSF_24736","ESA_76193|SPSF_24736|UEC_107370","4","1",,"SPSF_24736","SPSF_24736","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","351230","15859","Martinelli, G; et al.",,"1999-10-06","1999","10","6",,,,"Brasil","BR","São Paulo",,"Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera Açú.",,,"-24.637639","-47.766556",,,,,,,,"Neoregelia L.B.Sm.","Bromeliaceae","Neoregelia","genus",,"ACCEPTED",,,"Neoregelia L.B.Sm.",,,,"Neoregelia",,,"WGS84",,,,,"GBIF","SP","code not found","Martinelli, G.","15859","1999",,,,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county","Neoregelia","L.B.Sm.","name_w_authors","Bromeliaceae","Neoregelia","L.B.Sm.","genus","name accepted","bfo-6131",,,"Neoregelia L.B.Sm.","Neoregelia","Bromeliaceae",,1580051,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","high",TRUE,-24.637639,-47.766556,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SP_351230","RB_141173|RB_601383|SP_351230","4","1",,"SP_351230","SP_351230","High","plantr_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,,"https://specieslink.net/col/220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN","48392","30","Godoy, JRL; Carneiro, PHM; Silva, CR; Mendonça, RR",,"1999-01-07","1999","1","7",,,,"Brasil","BR","São Paulo",,"Pariquera-Açu","Parque Estadual do Pariquera-Abaixo",,,,,,,,,,,,"Stromanthe Sond.","Marantaceae","Stromanthe","genus",,"ACCEPTED",,,"Stromanthe Sond.",,,,"Stromanthe",,,,,,,,"GBIF","BHCB",,"Godoy, J.R.L.","30","1999",,,"Carneiro, P.H.M.; Silva, C.R.; Mendonca, R.R.","Godoy",,"brazil","sao paulo","pariquera-acu","parque estadual do pariquera-abaixo",,"locality","brazil_sao paulo_pariquera acu_parque estadual pariquera abaixo","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Stromanthe","Sond.","name_w_authors","Marantaceae","Stromanthe","Sond.","genus","name accepted","bfo-9378",,,"Stromanthe Sond.","Stromanthe","Marantaceae",,1548335,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","unknown",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","BHCB_48392","BHCB_48392|ESA_65028|RB_783813|SP_342663|SPSF_24745|UEC_107404","4","1",,"SPSF_24745","BHCB_48392","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4881818",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA065028","30","Godoy, J.R.L. et al.",,"1999-07-01","1999","7","1","1/7/1999",,,"Brasil","BR","São Paulo",,"Pariquera-Açu","Parque Estadual do Pariquera-Abaixo",,,,,,,,,,,,"Stromanthe Sond.","Marantaceae","Stromanthe","genus",,"ACCEPTED",,,"Stromanthe Sond.",,,,"Stromanthe",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/6/50/28/esa00065028.dzi",,,,"GBIF","ESA",,"Godoy, J.R.L.","30","1999",,,,"Godoy",,"brazil","sao paulo","pariquera-acu","parque estadual do pariquera-abaixo",,"municipality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Stromanthe","Sond.","name_w_authors","Marantaceae","Stromanthe","Sond.","genus","name accepted","bfo-9378",,,"Stromanthe Sond.","Stromanthe","Marantaceae",,1589174,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","unknown",TRUE,-24.709999,-47.880001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_65028","BHCB_48392|ESA_65028|RB_783813|SP_342663|SPSF_24745|UEC_107404","4","1",,"SPSF_24745","BHCB_48392","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4881817",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA065027","42","Godoy, J.R.L. et al.",,"1999-07-01","1999","7","1","1/7/1999",,,"Brasil","BR","São Paulo",,"Pariquera-Açu","Parque Estadual do Pariquera-Abaixo.",,,,,,,,,,,,"Stromanthe Sond.","Marantaceae","Stromanthe","genus",,"ACCEPTED",,,"Stromanthe Sond.",,,,"Stromanthe",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/6/50/27/esa00065027.dzi",,,,"GBIF","ESA",,"Godoy, J.R.L.","42","1999",,,,"Godoy",,"brazil","sao paulo","pariquera-acu","parque estadual do pariquera-abaixo",,"municipality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu_pe campina encantado",-24.63858,-47.780572,"locality","Stromanthe","Sond.","name_w_authors","Marantaceae","Stromanthe","Sond.","genus","name accepted","bfo-9378",,,"Stromanthe Sond.","Stromanthe","Marantaceae",,1589176,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","unknown",TRUE,-24.6666667,-47.7833333,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_65027","ESA_65027|HUEFS_38434|RB_771938|SP_342662|SPSF_24746|UEC_150029","4","1",,"RB_771938","HUEFS_38434","High","locality_exact","PARQUE ESTADUAL CAMPINA DO ENCANTADO"
