"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","159616","s.n.","Custódio-Filho, A",,"1981-09-25","1981","9","25",,,,"Brazil","BR","São Paulo",,"São Paulo","Parque Estadual do Jaraguá",,,"-23.458333","-46.775278",,,,,"Tamashiro, JY",,,"Asteraceae","Asteraceae",,"family",,"ACCEPTED",,,"Asteraceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC032647",,,,"GBIF","UEC",,"Custodio Filho, A.",,"1981","Tamashiro, J.Y.",,,"Custodio Filho",,"brazil","sao paulo","sao paulo","parque estadual do jaragua",,"locality","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality","Asteraceae","Bercht. & J.Presl","family_as_genus","Asteraceae","Asteraceae","Bercht. & J.Presl","family","name accepted","bfo-55",,,"Asteraceae Bercht. & J.Presl",,"Asteraceae",,1723208,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","low",TRUE,-23.458333,-46.775278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","UEC_159616",,"cc","cc",,,,"High","plantr_exact","PARQUE ESTADUAL JARAGUÁ"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","40903","1297","F. A. R. D. P. Arzolla & G.C.R.de Paula & C.S.Nunes & V.Gregorato",,"2007-10-04","2007","10","4",,,,"Brasil","BR","Sp",,"São Paulo","P.E.Jaraguá",,,"-23.452778","-46.765833",,,,,,,,"Polygonaceae","Polygonaceae",,"family",,"ACCEPTED",,,"Polygonaceae",,,,,,,"WGS84",,,,,"GBIF","SPSF",,"Arzolla, F.A.R.D.P.","1297","2007",,,"Paula, G.C.R.; Nunes, C.S.; Gregorato, V.","Arzolla",,"brazil","sao paulo","sao paulo","parque estadualjaragua",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Polygonaceae","A. Juss.","family_as_genus","Polygonaceae","Polygonaceae","A. Juss.","family","name accepted","bfo-196",,,"Polygonaceae A. Juss.",,"Polygonaceae",,1720864,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.452778,-46.765833,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPSF_40903","SPSF_40903[virtual]","1","0.25","SPSF_40903","SPSF_40903","SPSF_40903","Low","coord_original","PARQUE ESTADUAL JARAGUÁ"
"Dataset",,,,"USP","USP","SinBIOTA","OCCURRENCE","17180",,"Fabio Roque",,"2005","2005",,,,"Área c/ influência fluvial arbórea- Mata ciliar |Ambiente lótico|Outros",,"Brazil","BR","Sp",,"São Paulo","Jaraguá 1","Jaraguá 1",,"-23.4729774","-46.7631978",,,,,,,,"Fabaceae","Fabaceae",,"family",,"ACCEPTED",,,"Fabaceae",,,,"Fabaceae",,"2364235","EPSG:4291",,,,,"GBIF","USP",,"Roque, F.",,"2005",,,,"Roque",,"brazil","sao paulo","sao paulo","jaragua 1",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Fabaceae","Lindl.","family_as_genus","Fabaceae","Fabaceae","Lindl.","family","name accepted","bfo-115",,,"Fabaceae Lindl.",,"Fabaceae",,1732658,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.4729774,-46.7631978,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","USP_17180",,"cc","cc",,,,"Low","coord_original","PARQUE ESTADUAL JARAGUÁ"
"Dataset",,,,"USP","USP","SinBIOTA","OCCURRENCE","17183",,"Fabio Roque",,"2005","2005",,,,"Área c/ influência fluvial arbórea- Mata ciliar |Ambiente lótico|Outros",,"Brazil","BR","Sp",,"São Paulo","Jaraguá 3","Jaraguá 3",,"-23.4562763","-46.7606997",,,,,,,,"Fabaceae","Fabaceae",,"family",,"ACCEPTED",,,"Fabaceae",,,,"Fabaceae",,"2364235","EPSG:4291",,,,,"GBIF","USP",,"Roque, F.",,"2005",,,,"Roque",,"brazil","sao paulo","sao paulo","jaragua 3",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Fabaceae","Lindl.","family_as_genus","Fabaceae","Fabaceae","Lindl.","family","name accepted","bfo-115",,,"Fabaceae Lindl.",,"Fabaceae",,1732723,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.4562763,-46.7606997,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","USP_17183",,"cc","cc",,,,"Low","coord_original","PARQUE ESTADUAL JARAGUÁ"
"Dataset",,,,"USP","USP","SinBIOTA","OCCURRENCE","17181",,"Fabio Roque",,"2005","2005",,,,"Área c/ influência fluvial arbórea- Mata ciliar |Ambiente lótico|Outros",,"Brazil","BR","Sp",,"São Paulo","Jaraguá 2","Jaraguá 2",,"-23.4668773","-46.7665018",,,,,,,,"Fabaceae","Fabaceae",,"family",,"ACCEPTED",,,"Fabaceae",,,,"Fabaceae",,"2364235","EPSG:4291",,,,,"GBIF","USP",,"Roque, F.",,"2005",,,,"Roque",,"brazil","sao paulo","sao paulo","jaragua 2",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Fabaceae","Lindl.","family_as_genus","Fabaceae","Fabaceae","Lindl.","family","name accepted","bfo-115",,,"Fabaceae Lindl.",,"Fabaceae",,1732749,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.4668773,-46.7665018,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","USP_17181",,"cc","cc",,,,"Low","coord_original","PARQUE ESTADUAL JARAGUÁ"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","159946","1082","Baitello, JB; Arzolla, FARDP; Vilela, FESP; Paula, GCR",,"2007-05-02","2007","5","2",,,,"Brasil","BR","Sp",,"São Paulo","Parque Estadual do Jaraguá",,,"-23.453611","-46.765",,,,,,,,"Ericaceae","Ericaceae",,"family",,"ACCEPTED",,,"Ericaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC017940",,,,"GBIF","UEC",,"Baitello, J.B.","1082","2007",,,"Arzolla, F.A.R.D.P.; Vilela, F.E.S.P.; Paula, G.C.R.","Baitello",,"brazil","sao paulo","sao paulo","parque estadual do jaragua",,"locality","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality","Ericaceae","Juss.","family_as_genus","Ericaceae","Ericaceae","Juss.","family","name accepted","bfo-109",,,"Ericaceae Juss.",,"Ericaceae",,1723210,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.453611,-46.765,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","UEC_159946","SPSF_38700|UEC_159946","1","0.25","SPSF_38700","SPSF_38700","SPSF_38700","High","plantr_exact","PARQUE ESTADUAL JARAGUÁ"
,,"https://specieslink.net/col/220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN","162733","1039","Fernandes, AC; Oliveira, CT; Heiden, G; Loeuille, BFP",,"2012-04-02","2012","4","2",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Estadual do Jaraguá, No Pico do Papagaio. Campo alterado",,,"-23.458944","-46.7675",,,,,,,,"Asteraceae","Asteraceae",,"family",,"ACCEPTED",,,"Asteraceae",,,,,,,"WGS84",,,,,"GBIF","BHCB",,"Fernandes, A.C.","1039","2012",,,"Oliveira, C.T.; Heiden, G.; Loeuille, B.F.P.","Fernandes",,"brazil","sao paulo","sao paulo","parque estadual do jaragua",,"locality","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality","Asteraceae","Bercht. & J.Presl","family_as_genus","Asteraceae","Asteraceae","Bercht. & J.Presl","family","name accepted","bfo-55",,,"Asteraceae Bercht. & J.Presl",,"Asteraceae",,1722502,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.458944,-46.7675,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","BHCB_162733","BHCB_162733[virtual]","1","0.25","BHCB_162733","BHCB_162733","BHCB_162733","High","plantr_exact","PARQUE ESTADUAL JARAGUÁ"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","198999","1071","Souza, FM; Sousa, RC; Souza, D; Oliveira, AN",,"2008-02-26","2008","2","26",,,,"Brazil","BR","São Paulo",,"São Paulo","Parque Estadual do Jaraguá, Trilha do Mouro. SAD69, 23K.",,,"-23.4525","-46.766111",,,,,,,,"Asteraceae","Asteraceae",,"family",,"ACCEPTED",,,"Asteraceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/UEC155692",,,,"GBIF","UEC",,"Souza, F.M.","1071","2008",,,"Sousa, R.C.; Souza, D.; Oliveira, A.N.","Souza",,"brazil","sao paulo","sao paulo","parque estadual do jaragua",,"locality","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality","Asteraceae","Bercht. & J.Presl","family_as_genus","Asteraceae","Asteraceae","Bercht. & J.Presl","family","name accepted","bfo-55",,,"Asteraceae Bercht. & J.Presl",,"Asteraceae",,1726668,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","unknown",TRUE,-23.4525,-46.766111,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","UEC_198999","SPSF_40883|UEC_198999","4","1","SPSF_40883","SPSF_40883","UEC_198999","High","plantr_exact","PARQUE ESTADUAL JARAGUÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","39312","209","R.Esteves & R.C.Sousa & J.B.Silva & L.G.L.Araújo",,,"2007","08","09",,,,"Brasil",,"Sp","São Paulo","São Paulo","Parque Estadual do Jaraguá",,,"-23.459722","-46.757222",,,,,"J.B.Baitello","2007-09-20",,"Licaria","Lauraceae","Licaria",,"(Ness) Kosterm",,,,,"20","09","2007","Licaria",,,"WGS84",,,,"SPSF00039312","Splink","SPSF",,"Esteves, R.","209","2007","Baitello, J.B.","2007","Sousa, R.C.; Silva, J.B.; Araujo, L.G.L.","Esteves",,"brazil","sao paulo","sao paulo","parque estadual do jaragua",,"locality","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality","Licaria","Aubl.","name_w_authors",,"Licaria sp.","(Ness) Kosterm","genus","not found","bfo-8418",,,"Licaria Aubl.","Licaria","Lauraceae",,1702617,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.459722,-46.757222,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","no_match","SPSF_39312","SPSF_39312[virtual]","4","1","SPSF_39312","SPSF_39312","SPSF_39312","High","plantr_exact","PARQUE ESTADUAL JARAGUÁ"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","40243","1041","F.M.Souza & R.C.Sousa & D.Souza & R.L.M.Garcia",,"2008-01-30","2008","1","30",,,,"Brazil","BR","São Paulo",,"São Paulo","Parque Estadual do Jaraguá, Trilha do Pai Zé.",,,"-23.452778","-46.765833",,,,,"M.M.Egea","2008-12-10",,"Grazielia intermedia (DC.) R.M.King & H.Rob.","Asteraceae","Grazielia","species","((DC.) R.M.King & H.Rob.)","ACCEPTED",,,"Grazielia intermedia (DC.) R.M.King & H.Rob.",,,,"Grazielia intermedia","Grazielia intermedia",,"WGS84",,,,,"GBIF","SPSF",,"Souza, F.M.","1041","2008","Monge, M.","2014","Sousa, R.C.; Souza, D.; Garcia, R.L.M.","Souza",,"brazil","sao paulo","sao paulo","parque estadual do jaragua",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality","Eupatorium","L.","name_w_authors","Asteraceae","Grazielia intermedia","(DC.) R.M.King & H.Rob.","genus","name accepted","bfo-22208",,,"Eupatorium L.","Eupatorium","Asteraceae",,47969,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.452778,-46.765833,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_40243","SPSF_40243|UEC_181844","4","1","UEC_181844","SPSF_40243","UEC_181844","High","plantr_exact","PARQUE ESTADUAL JARAGUÁ"
