"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","47009","10","S.Honda & R.J.F.Garcia & A.Indriunas & S.A.P.Godoy & L.R.Jacinto & Karen",,,"2006","11","21",,,,"Brasil",,"SP","São Paulo","São Paulo","Parque Natural Municipal da Cratera de Colônia",,,"-23.540001","-46.630001","53584",,,,"J.B.Baitello","2009-12-30",,"Endlicheria","Lauraceae","Endlicheria",,"(Spreng.) J. F. Macbr.",,,,,"30","12","2009","Endlicheria",,,,,,,"SPSF00047009","Splink","SPSF",,"Honda, S.","10","2006","Baitello, J.B.","2009","Garcia, R.J.F.; Indriunas, A.; Godoy, S.A.P.; Jacinto, L.R.; Karen","Honda",,"brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Endlicheria sp.","(Spreng.) J. F. Macbr.","indet",,"Endlicheria sp.","(Spreng.) J. F. Macbr.","genus","not found",,,,"Endlicheria sp. (Spreng.) J. F. Macbr.","Endlicheria","Lauraceae","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match",,1717994,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","12217","126","Marçon, S.L.; Ara, A.L.S.C.",,"2008-10-27","2008","10","27",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal da Cratera de Colônia",,,,,,,,,,,,"Myrsine L.","Primulaceae","Myrsine","genus",,"ACCEPTED",,,"Myrsine L.",,,,"Myrsine",,,"WGS84",,,,,"GBIF","SPFR",,"Marcon, S.L.","126","2008",,,"Ara, A.L.S.C.","Marcon",,"brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Myrsine","L.","name_w_authors","Primulaceae","Myrsine","L.","genus","name accepted","bfo-10223",,,"Myrsine L.","Myrsine","Primulaceae","unknown","check_local.2municip.","ok_county_gazet",,FALSE,"no_cannot_check","full_name_match",,1528523,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","12217","126","Marçon, S.L.; Ara, A.L.S.C.",,,"2008","10","27",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal da Cratera de Colônia",,,"-23.540001","-46.630001","53584",,,,,,,"Myrsine","Primulaceae","Myrsine",,,,,,,,,,,,,,,,,"SPFR012217","Splink","SPFR",,"Marcon, S.L.","126","2008",,,"Ara, A.L.S.C.","Marcon",,"brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Myrsine","L.","indet","Primulaceae","Myrsine","L.","genus","name accepted","bfo-10223",,,"Myrsine L.","Myrsine","Primulaceae","unknown","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1557613,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","12256","100","Marçon, S.L.; Santos,C.F.C.;Ara,A.L.S.C.",,"2008-05-29","2008","5","29",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal da Cratera de Colônia.",,,,,,,,,"De Sordi,S.J.","2008-12-01",,"Vernonanthura beyrichii (Less.) H.Rob.","Asteraceae","Vernonanthura","species","(Less.) H.Rob.","ACCEPTED",,,"Vernonanthura beyrichii (Less.) H.Rob.",,,,"Vernonanthura beyrichii","Vernonanthura beyrichii",,"WGS84",,,,,"GBIF","SPFR",,"Marcon, S.L.","100","2008","Sordi, S.J.","2008","Santos, C.F.C.; Ara, A.L.S.C.","Marcon",,"brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Vernonanthura beyrichii","(Less.) H.Rob.","name_w_authors","Asteraceae","Vernonanthura beyrichii","(Less.) H.Rob.","species","name accepted","bfo-27440",,,"Vernonanthura beyrichii (Less.) H.Rob.","Vernonanthura","Asteraceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Vernonanthura beyrichii",591536,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","12256","100","Marçon, S.L.; Santos,C.F.C.;Ara,A.L.S.C.",,,"2008","05","29",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal da Cratera de Colônia.",,,"-23.540001","-46.630001","53584",,,,"De Sordi,S.J.","2008-12-NA",,"Vernonanthura beyrichii","Asteraceae","Vernonanthura",,"(Less.) H.Rob.",,,,,,"12","2008",,,,,,,,"SPFR012256","Splink","SPFR",,"Marcon, S.L.","100","2008","Sordi, S.J.","2008","Santos, C.F.C.; Ara, A.L.S.C.","Marcon",,"brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Vernonanthura beyrichii","(Less.) H.Rob.","possibly_ok","Asteraceae","Vernonanthura beyrichii","(Less.) H.Rob.","species","name accepted","bfo-27440",,,"Vernonanthura beyrichii (Less.) H.Rob.","Vernonanthura","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Vernonanthura beyrichii",917142,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99559","586","Pereira, FG",,"2012-06-28","2012","6","28",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Cratera de Colônia",,,,,,,,,"Sordi, SJ","2023-05-11",,"Piptocarpha longipedunculata Volet","Asteraceae","Piptocarpha","species","Volet","ACCEPTED",,,"Piptocarpha longipedunculata Volet",,,,"Piptocarpha longipedunculata","Piptocarpha longipedunculata",,"WGS84",,,,,"GBIF","UFP",,"Pereira, F.G.","586","2012","Sordi, S.J.","2023",,"Pereira",,"brazil","sao paulo","sao paulo","parque natural municipal cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Piptocarpha longipedunculata","Volet","name_w_authors","Asteraceae","Piptocarpha longipedunculata","Volet","species","name accepted","bfo-603685",,,"Piptocarpha longipedunculata Volet","Piptocarpha","Asteraceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Piptocarpha longipedunculata",772393,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99559","586","Pereira, FG",,,"2012","06","28",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Cratera de Colônia",,,"-23.540001","-46.630001","53584","0","0",,"Sordi, SJ","2023-05-11",,"Piptocarpha longipedunculata","Asteraceae","Piptocarpha",,"Volet",,,,,"11","05","2023",,,,,,,,"UFP099559","Splink","UFP",,"Pereira, F.G.","586","2012","Sordi, S.J.","2023",,"Pereira",,"brazil","sao paulo","sao paulo","parque natural municipal cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Piptocarpha longipedunculata","Volet","possibly_ok","Asteraceae","Piptocarpha longipedunculata","Volet","species","name accepted","bfo-603685",,,"Piptocarpha longipedunculata Volet","Piptocarpha","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Piptocarpha longipedunculata",1277429,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,,,"HUEFS","HUEFS",,"PRESERVED_SPECIMEN","HUEFS196907","42","Marçon, S.L.",,,"2008","01","10",,,,"Brasil",,"São Paulo",,"São Paulo","Parque Natural Municipal da Cratera de Colônia Mata de Turfeira.",,,"0","0",,,,"não","S.A.P.de Godoy & S.L.Marçon","--/05/2008",,"Miconia racemifera (DC.) Triana","Melastomataceae","Miconia","species","(DC.) Triana",,,,,,,,"MELASTOMATACEAE Miconia racemifera (DC.) Triana","racemifera",,,,,,,"Reflora","HUEFS",,"Marcon, S.L.","42","2008","Godoy, S.A.P.","2008",,"Marcon","Marcon, S.L.","brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia mata de turfeira",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",FALSE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Miconia racemifera","(DC.) Triana","name_w_authors","Melastomataceae","Miconia racemifera","(DC.) Triana","species","name accepted","bfo-9757",,,"Miconia racemifera (DC.) Triana","Miconia","Melastomataceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Miconia racemifera",1423776,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,,,"UPCB","UPCB",,"PRESERVED_SPECIMEN","UPCB0002735","580","Pereira, F.G.","Feto ereto bifurcado, 0,4m alt. Soros apenas nas folhas centrais, densamente agrupados. Folhas vegetativas com 60cm de comprimento; férteis, com até 80cm.",,"2012","06","26",,,"Feto ereto bifurcado, 0,4m alt. Soros apenas nas folhas centrais, densamente agrupados. Folhas vegetativas com 60cm de comprimento; férteis, com até 80cm.","Brasil",,"São Paulo",,"São Paulo","Parque Natural Municipal da Cratera de Colônia. Campo úmido.",,,"0","0",,,,"não","Matos, F.B. & Hoffmann, I.K.","--/06/2017",,"Lomariocycas schomburgkii (Klotzsch) Gasper & A.R. Sm.","Blechnaceae","Lomariocycas","species","(Klotzsch) Gasper & A.R. Sm.",,,,,,,,"BLECHNACEAE Lomariocycas schomburgkii (Klotzsch) Gasper & A.R. Sm.","schomburgkii",,,,,"UPCB 77744",,"Reflora","UPCB",,"Pereira, F.G.","580","2012","Matos, F.B.","2017",,"Pereira","Hoffmann, I.K.","brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",FALSE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Lomariocycas schomburgkii","(Klotzsch) Gasper & A.R. Sm.","name_w_authors","Blechnaceae","Lomariocycas schomburgkii","(Klotzsch) Gasper & A.R. Sm.","species","name accepted","bfo-602593",,,"Lomariocycas schomburgkii (Klotzsch) Gasper & A.R. Sm.","Lomariocycas","Blechnaceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Lomariocycas schomburgkii",1412755,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
,,"https://specieslink.net/col/455",,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","12236","75","Marçon, S.L.; Santos, C.F.C.",,"2008-03-07","2008","3","7",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal da Cratera de Colônia",,,,,,,,,"Aguiar, O.T.","2008-11-01",,"Eucalyptus robusta Sm.","Myrtaceae","Eucalyptus","species","Sm.","ACCEPTED",,,"Eucalyptus robusta Sm.",,,,"Eucalyptus robusta","Eucalyptus robusta",,"WGS84","https://images.cria.org.br/viewer/SPFR012236",,,,"GBIF","SPFR",,"Marcon, S.L.","75","2008","Aguiar, O.T.","2008","Santos, C.F.C.","Marcon",,"brazil","sao paulo","sao paulo","parque natural municipal da cratera de colonia",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Eucalyptus robusta","Sm.","name_w_authors","Myrtaceae","Eucalyptus robusta","Sm.","species","name accepted","bfo-614642",,,"Eucalyptus robusta Sm.","Eucalyptus","Myrtaceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Eucalyptus robusta",668480,"High","locality_exact","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA"
