"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","406592","53","Rodrigues, VT; Vinhos, F",,"2006-03","2006","3",,,,,"Brasil","BR","São Paulo",,"Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.477222","-46.178333",,,,,"Rodrigues, VT","2006-01-01",,"Zygopetalum maxillare G.Lodd.","Orchidaceae","Zygopetalum","species","Lodd.","ACCEPTED",,,"Zygopetalum maxillare G.Lodd.",,,,"Zygopetalum maxillare","Zygopetalum maxillare",,"WGS84",,,,,"GBIF","SP","code not found","Rodrigues, V.T.","53","2006","Rodrigues, V.T.","2006","Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Zygopetalum maxillare","Lodd.","name_w_authors","Orchidaceae","Zygopetalum maxillare","Lodd.","species","author misspelled","bfo-12385",,,"Zygopetalum maxillare Lodd.","Zygopetalum","Orchidaceae","Zygopetalum maxillare",415870,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.477222,-46.178333,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","406592","53","Rodrigues, VT; Vinhos, F",,,"2006","03",,,,,"Brasil",,"São Paulo","Mogi das Cruzes","Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.477222","-46.178333",,"-23.477222","-46.178333",,"Rodrigues, VT","2006-NA-NA",,"Zygopetalum maxillare","Orchidaceae","Zygopetalum",,"Lodd.",,,,,,,"2006",,,,,,,,,"Splink","SP",,"Rodrigues, V.T.","53","2006","Rodrigues, V.T.","2006","Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Zygopetalum maxillare","Lodd.","possibly_ok","Orchidaceae","Zygopetalum maxillare","Lodd.","species","name accepted","bfo-12385",,,"Zygopetalum maxillare Lodd.","Zygopetalum","Orchidaceae","Zygopetalum maxillare",1058256,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.477222,-46.178333,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","406568","123","Rodrigues, VT; Vinhos, F",,"2007-12","2007","12",,,,,"Brasil","BR","São Paulo",,"Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.481958","-46.177517",,,,,"Rodrigues, VT",,,"Lophiaris pumila (Lindl.) Braem","Orchidaceae","Trichocentrum","species","(Lindl.) Braem","SYNONYM",,,"Trichocentrum pumilum (Lindl.) M.W.Chase & N.H.Williams",,,,"Lophiaris pumila","Trichocentrum pumilum",,"WGS84",,,,,"GBIF","SP","code not found","Rodrigues, V.T.","123","2007","Rodrigues, V.T.",,"Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Trichocentrum pumilum","(Lindl.) M.W.Chase & N.H.Williams","name_w_authors","Orchidaceae","Trichocentrum pumilum","(Lindl.) M.W.Chase & N.H.Williams","species","replaced synonym","bfo-25928","Trichocentrum pumilum","(Lindl.) M.W.Chase & N.H.Williams","Trichocentrum pumilum (Lindl.) M.W.Chase & N.H.Williams","Trichocentrum","Orchidaceae","Trichocentrum pumilum",415786,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.481958,-46.177517,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","406568","123","Rodrigues, VT; Vinhos, F",,,"2007","12",,,,,"Brasil",,"São Paulo","Mogi das Cruzes","Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.481958","-46.177517",,"-23.481958","-46.177517",,"Rodrigues, VT",,,"Lophiaris pumila","Orchidaceae","Lophiaris",,"(Lindl.) Braem",,,,,,,,,,,,,,,,"Splink","SP",,"Rodrigues, V.T.","123","2007","Rodrigues, V.T.",,"Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Trichocentrum pumilum","(Lindl.) M.W.Chase & N.H.Williams","possibly_ok","Orchidaceae","Trichocentrum pumilum","(Lindl.) M.W.Chase & N.H.Williams","species","replaced synonym","bfo-25928","Trichocentrum pumilum","(Lindl.) M.W.Chase & N.H.Williams","Trichocentrum pumilum (Lindl.) M.W.Chase & N.H.Williams","Trichocentrum","Orchidaceae","Trichocentrum pumilum",991836,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.481958,-46.177517,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","406557","122","Rodrigues, VT; Vinhos, F",,"2007-12-17","2007","12","17",,,,"Brasil","BR","São Paulo",,"Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.474469","-46.187225",,,,,"Rodrigues, VT",,,"Gomesa recurva R.Br.","Orchidaceae","Gomesa","species","R.Br.","ACCEPTED",,,"Gomesa recurva R.Br.",,,,"Gomesa recurva","Gomesa recurva",,"WGS84",,,,,"GBIF","SP","code not found","Rodrigues, V.T.","122","2007","Rodrigues, V.T.",,"Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Gomesa recurva","R.Br.","name_w_authors","Orchidaceae","Gomesa recurva","R.Br.","species","name accepted","bfo-11619",,,"Gomesa recurva R.Br.","Gomesa","Orchidaceae","Gomesa recurva",415877,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.474469,-46.187225,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","406558","89","Rodrigues, VT; Vinhos, F",,"2007-04","2007","4",,,,,"Brasil","BR","São Paulo",,"Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.474469","-46.187225",,,,,"Mamede, MCH","2011-03-01",,"Gomesa forbesii (Hook.) M.W.Chase & N.H.Williams","Orchidaceae","Gomesa","species","(Hook.) M.W.Chase & N.H.Williams","ACCEPTED",,,"Gomesa forbesii (Hook.) M.W.Chase & N.H.Williams",,,,"Gomesa forbesii","Gomesa forbesii",,"WGS84",,,,,"GBIF","SP","code not found","Rodrigues, V.T.","89","2007","Mamede, M.C.H.","2011","Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Gomesa forbesii","(Hook.) M.W.Chase & N.H.Williams","name_w_authors","Orchidaceae","Gomesa forbesii","(Hook.) M.W.Chase & N.H.Williams","species","name accepted","bfo-122054",,,"Gomesa forbesii (Hook.) M.W.Chase & N.H.Williams","Gomesa","Orchidaceae","Gomesa forbesii",415919,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.474469,-46.187225,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","406558","89","Rodrigues, VT; Vinhos, F",,,"2007","04",,,,,"Brasil",,"São Paulo","Mogi das Cruzes","Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.474469","-46.187225",,"-23.474469","-46.187225",,"Mamede, MCH","2011-03-NA",,"Gomesa forbesii","Orchidaceae","Gomesa",,"(Hook.) M.W.Chase & N.H.Williams",,,,,,"03","2011",,,,,,,,,"Splink","SP",,"Rodrigues, V.T.","89","2007","Mamede, M.C.H.","2011","Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Gomesa forbesii","(Hook.) M.W.Chase & N.H.Williams","possibly_ok","Orchidaceae","Gomesa forbesii","(Hook.) M.W.Chase & N.H.Williams","species","name accepted","bfo-122054",,,"Gomesa forbesii (Hook.) M.W.Chase & N.H.Williams","Gomesa","Orchidaceae","Gomesa forbesii",1034248,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.474469,-46.187225,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","406585","111","Rodrigues, VT; Vinhos, F",,"2007-10-20","2007","10","20",,,,"Brasil","BR","São Paulo",,"Mogi das Cruzes",,,,"-23.474464","-46.185",,,,,"Rodrigues, VT",,,"Epidendrum secundum Jacq.","Orchidaceae","Epidendrum","species","Jacq.","ACCEPTED",,,"Epidendrum secundum Jacq.",,,,"Epidendrum secundum","Epidendrum secundum",,"WGS84",,,,,"GBIF","SP","code not found","Rodrigues, V.T.","111","2007","Rodrigues, V.T.",,"Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes",,,"municipality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Epidendrum secundum","Jacq.","name_w_authors","Orchidaceae","Epidendrum secundum","Jacq.","species","name accepted","bfo-11573",,,"Epidendrum secundum Jacq.","Epidendrum","Orchidaceae","Epidendrum secundum",416153,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.474464,-46.185,"coord_original","miliseconds","low","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","406585","111","Rodrigues, VT; Vinhos, F",,,"2007","10","20",,,,"Brasil",,"São Paulo","Mogi das Cruzes","Mogi das Cruzes",,,,"-23.474464","-46.185",,"-23.474464","-46.185",,"Rodrigues, VT",,,"Epidendrum secundum","Orchidaceae","Epidendrum",,"Jacq.",,,,,,,,,,,,,,,,"Splink","SP",,"Rodrigues, V.T.","111","2007","Rodrigues, V.T.",,"Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes",,,"municipality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Epidendrum secundum","Jacq.","possibly_ok","Orchidaceae","Epidendrum secundum","Jacq.","species","name accepted","bfo-11573",,,"Epidendrum secundum Jacq.","Epidendrum","Orchidaceae","Epidendrum secundum",1026837,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.474464,-46.185,"coord_original","miliseconds","low","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","406588","107","Rodrigues, VT; Vinhos, F",,"2007-10-20","2007","10","20",,,,"Brasil","BR","São Paulo",,"Mogi das Cruzes","Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo",,,"-23.475014","-46.180019",,,,,"Rodrigues, VT",,,"Bifrenaria harrisoniae (Hook.) Rchb.f.","Orchidaceae","Bifrenaria","species","(Hook.) Rchb.f.","ACCEPTED",,,"Bifrenaria harrisoniae (Hook.) Rchb.f.",,,,"Bifrenaria harrisoniae","Bifrenaria harrisoniae",,"WGS84",,,,,"GBIF","SP","code not found","Rodrigues, V.T.","107","2007","Rodrigues, V.T.",,"Vinhos, F.","Rodrigues",,"brazil","sao paulo","mogi das cruzes","serra do itapeti, parque natural municipal afonso de mello-chiquinho verissimo","serra do itapeti","locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","Bifrenaria harrisoniae","(Hook.) Rchb.f.","name_w_authors","Orchidaceae","Bifrenaria harrisoniae","(Hook.) Rchb.f.","species","name accepted","bfo-11196",,,"Bifrenaria harrisoniae (Hook.) Rchb.f.","Bifrenaria","Orchidaceae","Bifrenaria harrisoniae",416077,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.475014,-46.180019,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY"
