"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","verbatimBasisOfRecord","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","tax.check","species.new"
"gbif","2.47073463377266e-314",,"2023-10-05 10:51:33",,,"https://specieslink.net/col/437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/437/15120","15120","7717","Aquática Consultoria Ambiental",,,,,"PRESENT",,,,,,"2021-04-09","2021","4","9",,,,,,,"BR","Sao Paulo",,"Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR8-C-P6",,,,"-23.784203","-46.093625",,,,,,,,,,,,,,,,,"Plantae",,,,,,,"Plantae",,,,,,,,,,,,,,,,"kingdom",,"ACCEPTED",,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,,"Plantae","Plantae","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF","PRESERVED_SPECIMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","7717","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Plantae sp.",,"indet",,"Plantae sp.",,"kingdom","not found",,,,"Plantae sp.",,"Plantaginaceae",914574,"TRUE","-23.784203",-46.093625,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","no_match","High","locality_exact","unknown",
"gbif","2.4707352315921e-314",,"2023-11-09 09:45:37",,,"https://specieslink.net/col/437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/437/15269","15269","3538","Aquática Consultoria Ambiental",,,,,"PRESENT",,,,,,"2021-04-13","2021","4","13",,,,,,,"BR","Sao Paulo",,"Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR4-C-P6",,,,"-23.792503","-46.110036",,,,,,,,,,,,,,,,,"Plantae",,,,,,,"Plantae",,,,,,,,,,,,,,,,"kingdom",,"ACCEPTED",,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,,"Plantae","Plantae","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF","PRESERVED_SPECIMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","3538","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Plantae sp.",,"indet",,"Plantae sp.",,"kingdom","not found",,,,"Plantae sp.",,"Plantaginaceae",915534,"TRUE","-23.792503",-46.110036,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","no_match","High","locality_exact","unknown",
"user",,,,,,,,"ESA","ESA",,"PRESERVED_SPECIMEN",,,,"ESA103797","199","Monteiro, R.F. et al.",,,,,,,,,,,,"2007","10","25",,,,,,,,"São Paulo",,"Bertioga","Ao lado do rio Itaguaré, restinga arbórea",,,,"-23.7769444444444","-45.9725",,,,,,,,,,,"não","Chautems, A.",,"23/10/2022",,,"gracilis",,,,,,,,,,,,"Gesneriaceae",,,,"codonanthe",,,,,,,"species",,,,,,,,,"gracilis",,"GESNERIACEAE ",,,,,,,"Brasil",,,,,,,"23º 46' 37"""" S","45º 58' 21"""" W",,"Reflora",,,,,,,,,,,,,,,,,"ESA",,,,,"25/10/2007",,"2","METRO",,,"Alain Chautems",2020-05-12,"ESA",,"Monteiro, R.F.","199","2007","Chautems, A.","2022",,"Monteiro",,"brazil","sao paulo","bertioga","ao lado do rio itaguare",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Gesneriaceae","Rich. & Juss. ex DC.","family_as_genus","Gesneriaceae","Gesneriaceae","Rich. & Juss. ex DC.","family","name accepted","bfo-119",,,"Gesneriaceae Rich. & Juss. ex DC.",,"Gesneriaceae",1696191,"TRUE","-23.7769444444444",-45.9725,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","no_match","Low","coord_original","high",
"speciesLink",,,"2025-05-20T14:41:20",,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,,"15930","6","T. Malaquias; E. Malaquias",,,,,,,,,,,,"2023","10","22",,,,,,,,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,,"-24.258333","-46.555833",,,,,,,,,,,,"P.S.P. Sampaio; T. Malaquias",,"2024-03-NA",,,"Rubiaceae",,,,,,,"Plantae","Angiosperma",,,,"Rubiaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-24.258333","-46.555833",,"Splink","PreservedSpecimen",,,,"03",,"2024",,,,"HUSC015930",,,,,,,,,,,,,,,,,,,"HUSC",,"Malaquias, T.","6","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",1615824,"TRUE","-24.258333",-46.555833,"coord_original","seconds","shore",,0,"no_cannot_check","no_match","High","locality_exact","low",
"speciesLink",,,"2025-05-20T14:41:19",,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,,"15937","13","T. Malaquias; E. Malaquias",,,,,,,,,,,,"2023","10","22",,,,,,,,"São Paulo","Bertioga","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga",,,,"-24.256944","-46.56",,,,,,,,,,,,"P.S.P. Sampaio; T. Malaquias",,"2024-03-NA",,,"Myrtaceae",,,,,,,"Plantae","Angiosperma",,,,"Myrtaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-24.256944","-46.56",,"Splink","PreservedSpecimen",,,,"03",,"2024",,,,"HUSC015937",,,,,,,,,,,,,,,,,,,"HUSC",,"Malaquias, T.","13","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Myrtaceae","Juss.","family_as_genus","Myrtaceae","Myrtaceae","Juss.","family","name accepted","bfo-171",,,"Myrtaceae Juss.",,"Myrtaceae",1614925,"TRUE","-24.256944",-46.56,"coord_original","seconds","shore",,0,"no_cannot_check","no_match","High","locality_exact","low",
"gbif","2.47073469256648e-314",,"2024-08-28 17:11:23",,,"https://specieslink.net/col/437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/437/12933","12933","23","Aquática Consultoria Ambiental",,,,,"PRESENT",,,,,,"2021-08-02","2021","8","2",,,,,,,"BR","Sao Paulo",,"Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR7",,,,"-23.793358","-46.093781",,,,,,,,,,,,,,,,,"Solanaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales",,"Solanaceae",,,,,,,,,,,"family",,"ACCEPTED",,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,,"Solanaceae",,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF","PRESERVED_SPECIMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","23","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Solanaceae","A.Juss.","family_as_genus","Solanaceae","Solanaceae","A.Juss.","family","name accepted","bfo-225",,,"Solanaceae A.Juss.",,"Solanaceae",914681,"TRUE","-23.793358",-46.093781,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","full_name_match","High","locality_exact","unknown",
"speciesLink",,,"2024-08-28T17:11:23",,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,,"12933","23","Aquática Consultoria Ambiental",,,,,,,,,,,,"2021","08","02",,,,,,,,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR7",,,,"-23.793358","-46.093781",,,,,,,,,,,,,,,,,"Solanaceae",,,,,,,"Plantae","Angiosperma",,,,"Solanaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-23.793358","-46.093781",,"Splink","PreservedSpecimen",,,,,,,,,,"HUSC012933",,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","23","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Solanaceae","A.Juss.","family_as_genus","Solanaceae","Solanaceae","A.Juss.","family","name accepted","bfo-225",,,"Solanaceae A.Juss.",,"Solanaceae",1620280,"TRUE","-23.793358",-46.093781,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","no_match","High","locality_exact","unknown",
"gbif","2.47073456608567e-314",,"2024-08-28 17:11:18",,,"https://specieslink.net/col/437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/437/15524","15524","776","Aquática Consultoria Ambiental",,,,,"PRESENT",,,,,,"2021-02-02","2021","2","2",,,,,,,"BR","Sao Paulo",,"Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR2",,,,"-23.804728","-46.120583",,,,,,,,,,,,,,,,,"Rubiaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",,"Rubiaceae",,,,,,,,,,,"family",,"ACCEPTED",,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,,"Rubiaceae",,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF","PRESERVED_SPECIMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","776","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",914442,"TRUE","-23.804728",-46.120583,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","full_name_match","High","locality_exact","unknown",
"gbif","2.47073480620157e-314",,"2024-08-28 17:11:18",,,"https://specieslink.net/col/437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/437/15400","15400","865","Aquática Consultoria Ambiental",,,,,"PRESENT",,,,,,"2021-04-10","2021","4","10",,,,,,,"BR","Sao Paulo",,"Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR7-A",,,,"-23.795781","-46.095036",,,,,,,,,,,,,,,,,"Rubiaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",,"Rubiaceae",,,,,,,,,,,"family",,"ACCEPTED",,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,,"Rubiaceae",,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF","PRESERVED_SPECIMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","865","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",914854,"TRUE","-23.795781",-46.095036,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","full_name_match","High","locality_exact","unknown",
"gbif","2.4707350374243e-314",,"2024-08-28 17:11:18",,,"https://specieslink.net/col/437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/437/15397","15397","862","Aquática Consultoria Ambiental",,,,,"PRESENT",,,,,,"2021-04-08","2021","4","8",,,,,,,"BR","Sao Paulo",,"Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1-A",,,,"-23.801347","-46.119778",,,,,,,,,,,,,,,,,"Rubiaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",,"Rubiaceae",,,,,,,,,,,"family",,"ACCEPTED",,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,,"Rubiaceae",,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF","PRESERVED_SPECIMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","862","2021",,,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge","check_local.2municip.","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",915218,"TRUE","-23.801347",-46.119778,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","full_name_match","High","locality_exact","unknown",
