"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","confidenceLocality","selectionCategory","tax.check","species.new"
"gbif","2.47073254140465e-314",,"2024-12-02 16:04:04",,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/155/99557","99557","3371","Barretto, EHP",,,,,"PRESENT",,,,,,"2023-11-27","2023","11","27",,,,,,,"BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha OLA",,,,,,,,,,,,,,,,,"Sordi, SJ",,"2024-02-19",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Symphyopappus","Symphyopappus",,,"itatiayensis",,,"species",,"ACCEPTED",,"1e0f3d99-eb02-4806-b6a4-e903568129ec",,,FALSE,FALSE,"Symphyopappus itatiayensis","Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus itatiayensis","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,"(Hook.) Donnell","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UFP",,"Barretto, E.H.P.","3371","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","check_local.2municip.","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","name_w_authors","Asteraceae","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","species","name accepted","bfo-103488",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus","Asteraceae",914298,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Symphyopappus itatiayensis"
"speciesLink",,,"2024-12-02T16:04:04",,,"155",,"UFPE","UFP",,"PreservedSpecimen",,,,"99557","3371","Barretto, EHP",,,,,,,,,,,,"2023","11","27",,,,,,,,"São Paulo","São Paulo","São Paulo","Parque natural Municipal Itaim, Trilha OLA",,,,"-23.540001","-46.630001",,"53584",,,,,,,,,,"Sordi, SJ",,"2024-02-19",,,"Symphyopappus itatiayensis",,,,,,,"Plantae",,,"Asterales",,"Asteraceae",,,,"Symphyopappus",,,,"itatiayensis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","(Hook.) Donnell","Splink","19",,,"02",,"2024",,,,"UFP099557",,,,,,,,,,,,,,,,,,,"UFP",,"Barretto, E.H.P.","3371","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","species","name accepted","bfo-103488",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus","Asteraceae",1540058,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Symphyopappus itatiayensis"
"gbif","2.47070337670958e-314",,"2024-12-09 16:33:17",,,"https://specieslink.net/col/634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/634/003222","003222","3405","Barretto, EHP; Garcia, RJF; Gonçalves, AF; Barbosa, RS",,,,,"PRESENT",,,,,,"2023-12-04","2023","12","4",,,,,,,"BR","São Paulo",,"São Paulo","Parque Natural Municipal Itaim, Trilha MAT",,,,,,,,,,,,,,,,,"De Sordi, SJ",,"2024-04-02",,,"Piptocarpha reitziana Cabrera",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Piptocarpha","Piptocarpha",,,"reitziana",,,"species",,"SYNONYM",,"a5e26562-5429-4878-a0d4-5cef3d5cc923",,,FALSE,FALSE,"Piptocarpha oblonga","Piptocarpha oblonga subsp. lepidota (Sch.Bip.) G.Lom.Sm.","Piptocarpha reitziana","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,"Cabrera","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUFABC",,"Barretto, E.H.P.","3405","2023","Sordi, S.J.","2024","Garcia, R.J.F.; Goncalves, A.F.; Barbosa, R.S.","Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","check_local.2municip.","Piptocarpha reitziana","Cabrera","name_w_authors","Asteraceae","Piptocarpha reitziana","Cabrera","species","name accepted","bfo-134253",,,"Piptocarpha reitziana Cabrera","Piptocarpha","Asteraceae",911811,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Piptocarpha reitziana"
"speciesLink",,,"2024-12-09T16:33:17",,,"634",,"UFABC","HUFABC",,"PreservedSpecimen",,,,"003222","3405","Barretto, EHP; Garcia, RJF; Gonçalves, AF; Barbosa, RS",,,,,,,,,,,,"2023","12","04",,,,,,,,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim, Trilha MAT",,,,"-23.540001","-46.630001",,"53584",,,,,,,,,,"De Sordi, SJ",,"2024-04-02",,,"Piptocarpha reitziana",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Piptocarpha",,,,"reitziana",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","Cabrera","Splink","02",,,"04",,"2024",,,,"HUFABC003222",,,,,,,,,,,,,,,,,,,"HUFABC",,"Barretto, E.H.P.","3405","2023","Sordi, S.J.","2024","Garcia, R.J.F.; Goncalves, A.F.; Barbosa, R.S.","Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","Piptocarpha reitziana","Cabrera","possibly_ok","Asteraceae","Piptocarpha reitziana","Cabrera","species","name accepted","bfo-134253",,,"Piptocarpha reitziana Cabrera","Piptocarpha","Asteraceae",1073642,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Piptocarpha reitziana"
"gbif","2.47073254634531e-314",,"2024-12-02 16:04:04",,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/155/99555","99555","3184","Barretto, EHP",,,,,"PRESENT",,,,,,"2023-09-04","2023","9","4",,,,,,,"BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha CEA",,,,,,,,,,,,,,,,,"Sordi, SJ",,"2024-02-22",,,"Mikania lasiandrae DC.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Mikania","Mikania",,,"lasiandrae",,,"species",,"ACCEPTED",,"1e0f3d99-eb02-4806-b6a4-e903568129ec",,,FALSE,FALSE,"Mikania lasiandrae","Mikania lasiandrae DC.","Mikania lasiandrae","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,"DC.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UFP",,"Barretto, E.H.P.","3184","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","check_local.2municip.","Mikania lasiandrae","DC.","name_w_authors","Asteraceae","Mikania lasiandrae","DC.","species","name accepted","bfo-5389",,,"Mikania lasiandrae DC.","Mikania","Asteraceae",914303,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Mikania lasiandrae"
"speciesLink",,,"2024-12-02T16:04:04",,,"155",,"UFPE","UFP",,"PreservedSpecimen",,,,"99555","3184","Barretto, EHP",,,,,,,,,,,,"2023","09","04",,,,,,,,"São Paulo","São Paulo","São Paulo","Parque natural Municipal Itaim, Trilha CEA",,,,"-23.540001","-46.630001",,"53584",,,,,,,,,,"Sordi, SJ",,"2024-02-22",,,"Mikania lasiandrae",,,,,,,"Plantae",,,"Asterales",,"Asteraceae",,,,"Mikania",,,,"lasiandrae",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","DC.","Splink","22",,,"02",,"2024",,,,"UFP099555",,,,,,,,,,,,,,,,,,,"UFP",,"Barretto, E.H.P.","3184","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","Mikania lasiandrae","DC.","possibly_ok","Asteraceae","Mikania lasiandrae","DC.","species","name accepted","bfo-5389",,,"Mikania lasiandrae DC.","Mikania","Asteraceae",1540352,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Mikania lasiandrae"
"gbif","2.19465289215708e-314",,"2023-09-13 08:45:35",,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/1/413142","413142","2396","Shirasuna, RT",,,,,"PRESENT",,,,,,"2009-05-21","2009","5","21",,,,,,,"BR","São Paulo",,"Sâo Paulo","Parelheiros, Rodoanel trecho Sul, lote 4",,,,"-23.802167","-46.72045",,,,,,,,,,,,"Shirasuna, RT",,"2009-05-01",,,"Merostachys neesii Rupr.",,,,,,,"Plantae","Tracheophyta","Liliopsida","Poales",,"Poaceae",,,,"Merostachys","Merostachys",,,"neesii",,,"species",,"ACCEPTED",,"17efa320-7312-4b55-bf0a-a4cfc4613169",,,TRUE,FALSE,"Merostachys neesii","Merostachys neesii Rupr.","Merostachys neesii","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil","737","737",,,"WGS84",,,,"Rupr.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SP","code not found","Shirasuna, R.T.","2396","2009","Shirasuna, R.T.","2009",,"Shirasuna",,"brazil","sao paulo","sao paulo","parelheiros",,"locality","brazil_sao paulo_sao paulo_parelheiros","brazil_sao paulo_sao paulo_parelheiros",-23.8275,-46.72694444,"locality",TRUE,-23.802167,-46.72045,"coord_original","miliseconds","ok_same_resolution","Merostachys neesii","Rupr.","name_w_authors","Poaceae","Merostachys neesii","Rupr.","species","name accepted","bfo-13340",,,"Merostachys neesii Rupr.","Merostachys","Poaceae",773238,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","Low","coord_original","high","Merostachys neesii"
"speciesLink",,,"2025-05-09T11:12:28",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"413142","2396","Shirasuna, RT",,,,,,,,,,,,"2009","05","21",,,,,,,,"São Paulo","São Paulo","São Paulo","Parelheiros, Rodoanel trecho Sul, lote 4",,,,"-23.802167","-46.72045",,,,,,,,,,,,"Shirasuna, RT",,"2009-05-NA",,,"Merostachys neesii",,,,,,,"Plantae",,,,,"Poaceae",,,,"Merostachys",,,,"neesii",,,,,,,,,,,,,,,,,,,,,"Brasil","737","737",,,,,"-23.802167","-46.72045","Rupr.","Splink",,,,"05",,"2009",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","2396","2009","Shirasuna, R.T.","2009",,"Shirasuna",,"brazil","sao paulo","sao paulo","parelheiros",,"locality","brazil_sao paulo_sao paulo_parelheiros","brazil_sao paulo_sao paulo_parelheiros",-23.8275,-46.72694444,"locality",TRUE,-23.802167,-46.72045,"coord_original","miliseconds","ok_same_resolution","Merostachys neesii","Rupr.","possibly_ok","Poaceae","Merostachys neesii","Rupr.","species","name accepted","bfo-13340",,,"Merostachys neesii Rupr.","Merostachys","Poaceae",1176708,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","Low","coord_original","high","Merostachys neesii"
"gbif","2.47073254585124e-314",,"2024-12-02 16:04:04",,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/155/99554","99554","3383","Barretto, EHP",,,,,"PRESENT",,,,,,"2023-12-04","2023","12","4",,,,,,,"BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha PES",,,,,,,,,,,,,,,,,"Sordi, SJ",,"2024-02-19",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Clibadium","Clibadium",,,"armanii",,,"species",,"ACCEPTED",,"1e0f3d99-eb02-4806-b6a4-e903568129ec",,,FALSE,FALSE,"Clibadium armanii","Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Clibadium armanii","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,"(Balb.) Sch.Bip. & O.E.Schulz","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UFP",,"Barretto, E.H.P.","3383","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","check_local.2municip.","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","name_w_authors","Asteraceae","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","species","name accepted","bfo-16067",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Clibadium","Asteraceae",914302,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Clibadium armanii"
"speciesLink",,,"2024-12-02T16:04:04",,,"155",,"UFPE","UFP",,"PreservedSpecimen",,,,"99554","3383","Barretto, EHP",,,,,,,,,,,,"2023","12","04",,,,,,,,"São Paulo","São Paulo","São Paulo","Parque natural Municipal Itaim, Trilha PES",,,,"-23.540001","-46.630001",,"53584",,,,,,,,,,"Sordi, SJ",,"2024-02-19",,,"Clibadium armanii",,,,,,,"Plantae",,,"Asterales",,"Asteraceae",,,,"Clibadium",,,,"armanii",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","(Balb.) Sch.Bip. & O.E.Schulz","Splink","19",,,"02",,"2024",,,,"UFP099554",,,,,,,,,,,,,,,,,,,"UFP",,"Barretto, E.H.P.","3383","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","possibly_ok","Asteraceae","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","species","author misspelled","bfo-16067",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Clibadium","Asteraceae",1539644,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","High","locality_exact","high","Clibadium armanii"
