"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","confidenceLocality","selectionCategory","tax.check","species.new"
"gbif","1.48055810893078e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5257946",,,,,,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"5257946","MBM406171","44","Ferreira, PC;Marinero, F.,Marinero, F,Ariati, V.,Ariati, V,Ferreira, P.C.",,,,,"PRESENT",,,,,,"2015-07-17","2015","7","17","2015-7-17",,,"Subarbusto.; Floresta Ombrófila Densa Submontana.",,,"BR","São Paulo",,"Cajati","RDS Lavras",,,,"-24.846944","-48.243889",,,,,,,,,,,,"Ferreira, P.C.",,,,,"Solanum L.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales",,"Solanaceae",,,,"Solanum","Solanum",,,,,,"genus",,"ACCEPTED",,"5c9a924c-8d45-4452-8604-415a118578aa",,,TRUE,FALSE,,"Solanum L.","Solanum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/61/71/mbm00406171.dzi","Brazil","337","0",,,,,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","44","2015","Ferreira, P.C.",,"Marinero, F.; Marinero, F.A.V.; Ariati, V.F.C.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","Solanum","L.","name_w_authors","Solanaceae","Solanum","L.","genus","name accepted","bfo-14716",,,"Solanum L.","Solanum","Solanaceae",588923,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","low",
"gbif","9.13156273114101e-315",,"2025-01-01 00:01:03",,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/40/406171","406171","44","Ferreira, PC; Ariati, V; Marinero, F",,,,,"PRESENT",,,,,,"2015-07-17","2015","7","17",,,,,,,"BR","São Paulo",,"Cajati","RDS Lavras.",,,,,,,,,,,,,,,,,"Ferreira, PC",,"2016-02-01",,,"Solanum L.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales",,"Solanaceae",,,,"Solanum","Solanum",,,,,,"genus",,"ACCEPTED",,"3b8e9d83-b2d4-4a97-973c-31d98b67b1e9",,,FALSE,FALSE,,"Solanum L.","Solanum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/MBM406171","Brazil","337",,,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","44","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.77180482,-48.19476358,"coord_gazet","seconds_centroid","check_local.2municip.","Solanum","L.","name_w_authors","Solanaceae","Solanum","L.","genus","name accepted","bfo-14716",,,"Solanum L.","Solanum","Solanaceae",330904,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","low",
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406171","44","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","17",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Ferreira, PC",,"2016-2-1",,,"Solanum",,,,,,,"Plantae",,,,,"Solanaceae",,,,"Solanum",,,,,,,,,,,,,,,,,,,,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889",,"Splink","1",,,"2",,"2016",,,,"MBM406171",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","44","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.73,-48.119999,"coord_original","miliseconds","check_local.2municip.","Solanum","L.","indet","Solanaceae","Solanum","L.","genus","name accepted","bfo-14716",,,"Solanum L.","Solanum","Solanaceae",1483671,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","low",
"gbif","1.48064413070037e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5257939","2020-02-08 16:57:25",,,,,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"5257939","MBM406164","37","Ferreira, PC;Marinero, F.,Marinero, F,Ariati, V.,Ariati, V,Ferreira, P.C.",,,,,"PRESENT",,,,,,"2015-07-13","2015","7","13","2015-7-13",,,"Terrícola.; Floresta Ombrófila Densa Submontana.",,,"BR","São Paulo",,"Cajati","RDS Lavras",,,,"-24.846944","-48.243889",,,,,,,,,,,,"Engels, M.E.",,,,,"Microchilus C.Presl",,,,,,,"Plantae","Tracheophyta","Liliopsida","Asparagales",,"Orchidaceae",,,,"Microchilus","Microchilus",,,,,,"genus",,"ACCEPTED",,"5c9a924c-8d45-4452-8604-415a118578aa",,,TRUE,FALSE,,"Microchilus C.Presl","microchilus caraguatatubensis (m.r.miranda, engels & e.c.smidt) e.c.smidt & m.w.chase","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/61/64/mbm00406164.dzi","Brazil","337","0",,,,,,,"(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","37","2015","Engels, M.E.",,"Marinero, F.; Marinero, F.A.V.; Ariati, V.F.C.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","Microchilus","C.Presl","name_w_authors","Orchidaceae","Microchilus","C.Presl","genus","name accepted","bfo-11843",,,"Microchilus C.Presl","Microchilus","Orchidaceae",589210,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","low",
"gbif","9.13156217778749e-315",,"2025-01-01 00:01:03",,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/40/406164","406164","37","Ferreira, P.C.; Ariati, V.; Marinero, F.",,,,,"PRESENT",,,,,,"2015-07-13","2015","7","13",,,,,,,"BR","São Paulo",,"Cajati","RDS Lavras",,,,"-24.846944","-48.243889",,,,,,,,,,,,"Engels, M.E.",,"2024-02-05",,,"Microchilus C.Presl",,,,,,,"Plantae","Tracheophyta","Liliopsida","Asparagales",,"Orchidaceae",,,,"Microchilus","Microchilus",,,,,,"genus",,"ACCEPTED",,"3b8e9d83-b2d4-4a97-973c-31d98b67b1e9",,,TRUE,FALSE,,"Microchilus C.Presl","Microchilus caraguatatubensis","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/MBM406164","Brazil","337",,,,"WGS84",,,,"(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","37","2015","Engels, M.E.","2024","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","Microchilus","C.Presl","name_w_authors","Orchidaceae","Microchilus","C.Presl","genus","name accepted","bfo-11843",,,"Microchilus C.Presl","Microchilus","Orchidaceae",330900,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","low",
"speciesLink",,,"2024-12-06T17:28:54",,,"546",,"PUCPR","HUCP",,"S",,,,"27926","44","Ferreira, PC; Ariati, V; Marinero, FEC",,,,,,,,,,,,"2015","07","17",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras",,,,"-24.846944","-48.243889",,,,,,,,,,,,,,,,,"Solanum",,,,,,,"Plantae","Eudicotiledonea",,,,"Solanaceae",,,,"Solanum",,,,,,,,,,,,,,,,,,,,,,,,,"Brasil","337","337",,,,,"-24.846944","-48.243889","L.","Splink",,,,,,,,,,"HUCP00027926",,,,,,,,,,,,,,,,,,,"HUCP",,"Ferreira, P.C.","44","2015",,,"Ariati, V.; Marinero, F.E.C.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","Solanum","L.","indet","Solanaceae","Solanum","L.","genus","name accepted","bfo-14716",,,"Solanum L.","Solanum","Solanaceae",1634084,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","unknown",
"gbif","9.1315629139453e-315",,"2025-01-01 00:01:03",,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/40/406176","406176","49","Ferreira, PC; Ariati, V; Marinero, F",,,,,"PRESENT",,,,,,"2015-07-19","2015","7","19",,,,,,,"BR","São Paulo",,"Cajati","RDS Lavras.",,,,,,,,,,,,,,,,,,,,,,"Mendoncia Vell. ex Vand.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Acanthaceae",,,,"Mendoncia","Mendoncia",,,,,,"genus",,"ACCEPTED",,"3b8e9d83-b2d4-4a97-973c-31d98b67b1e9",,,FALSE,FALSE,,"Mendoncia Vell. ex Vand.","Mendoncia","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/MBM406176","Brazil","337",,,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","49","2015",,,"Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.77180482,-48.19476358,"coord_gazet","seconds_centroid","check_local.2municip.","Mendoncia","Vell. ex Vand.","name_w_authors","Acanthaceae","Mendoncia","Vell. ex Vand.","genus","name accepted","bfo-4178",,,"Mendoncia Vell. ex Vand.","Mendoncia","Acanthaceae",330907,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","unknown",
"gbif","1.48055663661515e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5257951",,,,,,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"5257951","MBM406176","49","Ferreira, PC;Marinero, F.,Marinero, F,Ariati, V.,Ariati, V,Ferreira, P.C.",,,,,"PRESENT",,,,,,"2015-07-19","2015","7","19","2015-7-19",,,"Trepadeira; em área em estágio médio de sucessão.; Floresta Ombrófila Densa Submontana.",,,"BR","São Paulo",,"Cajati","RDS Lavras",,,,"-24.846944","-48.243889",,,,,,,,,,,,,,,,,"Mendoncia Vell. ex Vand.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Acanthaceae",,,,"Mendoncia","Mendoncia",,,,,,"genus",,"ACCEPTED",,"5c9a924c-8d45-4452-8604-415a118578aa",,,TRUE,FALSE,,"Mendoncia Vell. ex Vand.","Mendoncia","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/61/76/mbm00406176.dzi","Brazil","337","0",,,,,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","49","2015",,,"Marinero, F.; Marinero, F.A.V.; Ariati, V.F.C.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","Mendoncia","Vell. ex Vand.","name_w_authors","Acanthaceae","Mendoncia","Vell. ex Vand.","genus","name accepted","bfo-4178",,,"Mendoncia Vell. ex Vand.","Mendoncia","Acanthaceae",588890,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","unknown",
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406176","49","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","19",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,,,,,,"Mendoncia",,,,,,,"Plantae",,,,,"Acanthaceae",,,,"Mendoncia",,,,,,,,,,,,,,,,,,,,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889",,"Splink",,,,,,,,,,"MBM406176",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","49","2015",,,"Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.73,-48.119999,"coord_original","miliseconds","check_local.2municip.","Mendoncia","Vell. ex Vand.","indet","Acanthaceae","Mendoncia","Vell. ex Vand.","genus","name accepted","bfo-4178",,,"Mendoncia Vell. ex Vand.","Mendoncia","Acanthaceae",1481413,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","unknown",
"gbif","9.13156321532534e-315",,"2025-01-01 00:01:03",,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/40/406177","406177","50","Ferreira, PC; Ariati, V; Marinero, F",,,,,"PRESENT",,,,,,"2015-07-19","2015","7","19",,,,,,,"BR","São Paulo",,"Cajati","RDS Lavras.",,,,,,,,,,,,,,,,,"Fiaschi, P",,"2019-10-14",,,"Oxalis debilis Kunth",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Oxalidales",,"Oxalidaceae",,,,"Oxalis","Oxalis",,,"debilis",,,"species",,"ACCEPTED",,"3b8e9d83-b2d4-4a97-973c-31d98b67b1e9",,,FALSE,FALSE,"Oxalis debilis","Oxalis debilis Kunth","Oxalis debilis","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/MBM406177","Brazil","337",,,,"WGS84",,,,"Kunth","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","50","2015","Fiaschi, P.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county",TRUE,-24.77180482,-48.19476358,"coord_gazet","seconds_centroid","check_local.2municip.","Oxalis debilis","Kunth","name_w_authors","Oxalidaceae","Oxalis debilis","Kunth","species","name accepted","bfo-12459",,,"Oxalis debilis Kunth","Oxalis","Oxalidaceae",330908,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","High","locality_exact","high","Oxalis debilis"
